Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
727,11676,0,3284,0,5763,8362,0,24315,0,792,723,2013,0,0,5341,2046,41,1877,143,1601,399,218,575,889,3880,152,5298,1631,0,867,1960
636,10949,0,2820,0,5253,5076,0,21206,0,712,660,1469,0,0,5562,1511,26,1543,109,1324,529,179,580,729,3281,163,4491,867,0,958,1961
656,10920,0,2383,0,5004,5013,0,20965,0,687,551,1338,0,0,5215,1706,38,1758,101,1265,307,153,464,694,3129,150,3593,540,0,743,1962
678,13437,0,3170,0,5471,4668,0,21614,0,683,572,1232,0,0,6498,2347,40,1991,94,1451,316,158,557,1051,3442,231,3481,551,0,825,1963
1004,8722,117,3818,2374,7716,5223,216,22588,73,657,534,1852,0,0,8485,3854,38,2838,116,1522,993,253,651,1005,3918,234,3252,511,1693,1102,1964
961,7976,121,3132,2719,7710,5538,209,24297,107,538,669,1814,0,0,8592,4286,37,2439,120,1545,1113,233,665,1163,4153,184,3668,451,2317,1171,1965
1153,9407,151,4138,2690,8046,6369,217,27399,71,663,579,1638,0,0,9374,5073,51,3133,171,1421,1094,230,861,1126,4466,192,3458,499,2275,1442,1966
1088,9548,160,4618,3319,8697,6595,406,27508,63,760,728,1108,0,0,10989,5550,47,2974,181,1365,1109,245,936,1118,4604,255,3900,506,2497,1697,1967
1374,10415,191,4884,3362,9466,6620,681,27554,57,664,698,2074,0,0,11832,7135,54,3274,168,1264,1273,280,1182,1227,4939,368,3740,381,2643,1980,1968
1282,11129,177,4247,4254,9720,7450,1090,26708,53,491,555,1198,0,0,12469,7179,42,2292,178,1356,1366,255,962,1263,4798,326,2044,359,2675,1797,1969
1355,12949,209,5961,4608,10395,7889,2746,27854,56,622,697,1991,0,0,15039,7823,51,3051,217,1463,905,305,1406,1071,5082,536,1106,1633,2338,2172,1970
1200,16677,186,5460,3964,8991,7336,4228,22699,34,537,630,1457,0,0,14697,7460,44,2691,202,1146,993,232,1414,1125,5069,588,797,283,2490,2065,1971
1471,15481,159,4666,3719,8739,11668,4088,22118,28,410,536,1538,0,0,13222,5872,29,1990,216,1086,747,317,1151,836,4601,771,726,197,2644,1995,1972
1766,24762,298,7703,9828,9409,13855,8897,24520,27,480,586,1972,0,0,20929,8155,45,3468,337,908,801,347,1487,1301,5931,1402,1139,204,4422,2474,1973
1683,20717,279,6836,5510,8013,17093,8354,24578,26,599,804,1547,0,0,17513,7232,30,2125,300,1200,541,319,1713,914,5779,1561,524,183,3691,2677,1974
1717,25026,304,8255,3803,7948,15610,9625,26625,35,825,1165,2579,0,0,19763,9118,42,2268,386,1355,700,352,2143,1133,6247,1973,476,293,3383,2822,1975
1819,24639,298,6756,2453,8012,15425,7774,27433,24,773,1103,2719,0,0,17722,9593,43,1915,298,792,640,276,1602,834,5894,1462,363,165,3564,2320,1976
1610,27198,334,7129,2463,8029,14155,8665,25755,23,821,1056,3247,0,0,16569,9513,42,2364,301,848,616,326,1652,1022,4883,1391,342,113,3265,2229,1977
1229,27070,208,6508,2038,8215,14911,9064,26299,14,759,835,3498,0,0,19178,9828,47,2230,305,630,492,362,1571,790,4820,1024,239,69,3173,2009,1978
1972,29719,259,6785,1739,8489,16417,8784,28171,26,843,1018,2742,0,0,19715,11362,50,2274,318,477,894,372,1536,733,4509,981,279,69,3772,1720,1979
1890,25198,224,5742,1500,8113,16725,6896,26911,11,710,1022,2094,0,0,19795,10566,17,1581,282,424,855,287,1369,777,4044,815,189,83,3197,1481,1980
1720,25672,196,5491,1378,7300,18259,6984,27036,11,674,878,1803,0,0,19352,10900,27,1328,198,386,1097,261,1191,859,3457,761,168,63,3001,1268,1981
