Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
251,5123,0,1538,0,2608,3513,0,12107,0,441,739,215,0,0,2508,1079,21,679,55,348,64,86,222,379,1628,207,1327,2064,0,327,1960
307,4969,0,1597,0,2582,3638,0,12255,0,613,1336,208,0,0,3029,993,24,671,43,456,71,104,271,523,1746,195,1415,2395,0,384,1961
454,5969,0,1673,0,2985,3667,0,13486,0,554,1608,181,0,0,3554,1234,44,771,52,508,82,115,287,585,1775,125,882,2041,0,383,1962
427,6262,0,1791,0,3445,3428,0,12008,0,582,2363,219,0,0,3929,913,29,885,46,410,75,101,215,567,2124,101,718,1698,0,375,1963
388,5288,52,1496,101,3588,2989,8,11328,407,491,1348,63,0,0,4337,1025,30,924,34,289,49,86,200,663,1834,73,715,1907,867,317,1964
630,6997,127,1856,338,4376,3825,29,13218,130,524,2474,200,0,0,4947,1268,50,880,60,498,47,116,218,765,2319,138,390,1979,1520,494,1965
552,6378,89,1830,465,4008,3685,21,12764,108,429,2691,190,0,0,5350,1351,35,1131,48,384,31,106,240,549,2386,186,298,1522,1517,502,1966
698,7855,123,2440,533,4004,3421,106,13163,78,515,2552,143,0,0,6010,1917,31,1155,68,359,39,129,342,520,2778,233,311,1138,1798,606,1967
873,8535,151,2738,564,4028,3695,235,13187,92,632,2531,108,0,0,6506,2076,29,1421,88,362,61,153,441,498,3257,261,225,1176,1780,742,1968
773,8621,86,2601,684,4223,3595,483,12178,97,510,2019,173,0,0,6873,2350,28,1147,77,354,58,172,510,480,3247,317,130,904,1956,866,1969
823,9015,133,2807,809,4069,3811,1044,10935,74,618,2009,218,0,0,7454,2127,30,1157,80,284,38,183,551,428,3474,331,290,903,1992,780,1970
1112,10299,102,3219,782,4627,5010,1604,11298,86,467,2123,163,0,0,7702,2667,40,1271,103,343,93,186,546,548,3906,372,192,1015,2091,779,1971
1046,9506,112,2882,565,4476,5604,1970,6102,52,387,1865,187,0,0,7222,2413,11,1114,67,260,93,160,471,460,3932,336,405,630,1760,813,1972
1170,11839,163,4301,1056,6077,5720,3295,2396,70,577,1994,225,0,0,10705,3090,24,1377,106,206,137,179,757,550,4575,439,358,586,2950,904,1973
1374,12824,161,4133,836,5595,6097,3801,2406,109,665,2806,189,0,0,10767,2781,29,1155,159,330,189,231,876,510,4523,503,502,462,2630,1034,1974
1418,12491,161,4418,918,6106,6188,3676,2807,88,629,2322,194,0,0,10783,3256,22,1321,99,237,140,200,706,408,4339,522,191,311,2535,1010,1975
1299,11284,174,3589,889,4872,6957,4043,2573,91,652,2420,336,0,0,10388,3022,28,1179,87,151,335,167,585,459,3710,452,223,202,2313,899,1976
1704,12516,155,3716,1089,6085,9095,4548,1539,136,725,2310,219,0,0,10800,3575,26,1469,110,210,224,213,710,486,4757,486,202,312,2709,941,1977
1669,13259,148,3993,822,5627,8963,3309,338,191,568,1952,83,0,0,9682,3373,20,1384,137,164,193,197,736,463,4515,459,116,152,2701,921,1978
1725,13155,177,3798,783,5829,9263,2826,221,146,645,1768,261,0,0,9647,4182,11,1328,94,128,149,187,687,483,5032,514,295,318,2553,962,1979
1891,14613,213,4143,866,5107,9547,3272,360,166,693,2017,151,0,0,9380,4728,22,1157,118,164,205,210,700,524,4955,422,150,364,2478,896,1980
1830,15912,214,4156,761,4928,10282,3462,446,174,847,2266,151,0,0,10099,4159,18,1061,141,181,344,231,768,665,5358,624,103,136,2452,987,1981
1891,16631,198,3873,607,5082,11488,3473,469,143,826,2096,224,0,0,10772,4344,14,996,114,224,383,181,684,593,5341,555,74,165,2315,924,1982
1702,16297,210,3351,606,4447,13082,3173,429,143,754,1931,101,0,0,11054,4388,17,813,80,190,228,223,530,587,5573,423,73,118,2243,789,1983
1779,17791,162,3030,500,4108,13406,3430,406,102,695,2629,62,0,0,11595,4995,19,840,76,189,236,236,460,677,5744,376,64,167,2328,818,1984
1907,21092,185,3389,446,4250,12999,3526,379,131,762,2609,155,0,0,13452,5731,19,870,91,224,292,237,510,870,5834,411,47,96,2611,810,1985
1977,21574,185,3502,477,4416,14102,3422,257,165,813,2423,60,0,0,14223,6412,21,889,90,328,314,247,418,919,6628,479,61,117,2843,954,1986
1918,24675,144,3716,666,3942,14342,3710,96,147,746,2396,66,0,0,14379,7186,10,824,103,280,324,231,470,1010,7231,480,75,67,2830,856,1987
1896,22897,168,3483,665,3549,13954,4387,30,116,808,2254,55,0,0,14247,8073,15,963,69,399,218,214,463,1490,8023,469,85,89,3215,930,1988
2087,24286,181,3368,689,3850,14839,5344,46,64,850,2359,41,0,0,12902,7984,12,1022,80,441,235,184,456,956,8917,490,64,276,2928,1024,1989
2479,29637,202,3752,577,4535,18708,5535,30,80,795,2819,47,0,0,15052,7959,11,984,93,474,493,256,584,1020,11613,468,76,84,3437,1389,1990
2869,36670,233,4167,794,4816,21559,6303,33,81,1138,3250,54,0,0,17050,7634,27,803,126,317,576,283,768,1188,13114,387,82,57,3850,1773,1991
3598,37564,244,4409,1574,5807,22335,7588,53,78,1329,3419,45,0,0,16898,7929,20,864,125,523,693,282,738,1058,19220,452,73,79,4691,2381,1992
1407,16069,97,953,0,2651,12413,6599,317,70,399,2385,0,0,0,5073,6130,3,467,23,316,21,112,104,248,9401,380,0,0,1821,389,2000
1510,21106,104,1033,67,3183,14227,7569,369,103,569,2298,4,0,0,6928,7104,11,423,44,307,129,164,148,343,11167,397,0,4,2314,533,2001
