Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
1190,5349,0,1698,0,8631,2505,0,23964,0,417,821,903,0,0,2626,415,83,792,74,1031,486,82,435,240,2578,222,172,2218,0,477,1960
1052,5982,0,1786,0,8443,2734,0,22323,0,480,761,653,0,0,3037,411,60,778,74,1060,572,104,392,274,2814,219,123,2777,0,443,1961
1159,7795,0,2086,0,9150,2906,0,22306,0,442,836,825,0,0,3308,548,44,928,84,1129,677,108,486,271,2647,260,96,2762,0,551,1962
1103,8271,0,2369,0,10431,3519,0,25802,0,516,944,1010,0,0,3398,906,47,1033,85,961,878,126,549,274,2620,339,73,2924,0,690,1963
1149,6616,134,2182,232,10939,3457,141,25696,52,591,862,1018,0,0,3865,1422,39,1134,83,789,785,132,511,465,3006,230,18,3072,614,614,1964
1191,6484,107,2373,288,11102,3014,95,26332,20,745,830,764,0,0,4034,998,40,1223,90,884,1025,120,601,691,3076,321,52,2712,674,645,1965
1470,7776,80,2248,356,10317,3929,90,32438,10,661,1085,832,0,0,3536,1621,37,1168,84,752,1073,134,570,640,2654,322,7,2872,712,766,1966
1181,8079,73,1820,146,8461,3103,116,23550,10,397,829,774,0,0,2511,1691,19,842,81,296,1631,95,515,290,2269,280,39,2209,669,794,1967
1329,7619,106,2122,861,12433,3406,241,31528,13,379,1010,973,0,0,3707,1741,29,1144,94,483,2104,133,605,440,2907,313,45,974,699,1043,1968
1769,8886,190,3449,1017,15059,5374,494,32348,6,394,1247,1284,0,0,4879,3038,55,1985,290,552,2189,206,843,485,3381,527,58,265,309,1431,1969
2928,14834,169,4137,1249,24521,14169,963,66372,28,897,4607,1520,0,0,7150,4072,33,1682,252,2095,1178,311,862,524,4033,893,71,1271,841,1979,1970
2902,18022,205,5022,1525,26983,17963,1861,67347,47,774,6003,1790,0,0,8073,4464,24,1699,301,2098,831,341,1019,430,4479,1134,410,1312,666,1981,1971
2674,16168,190,3518,1028,21000,17235,1996,62013,65,899,5484,682,0,0,6388,3601,37,1145,201,2337,575,303,897,473,3731,920,7,803,517,1929,1972
1940,11787,249,3165,1328,15242,9707,2957,31348,26,525,1792,484,0,0,6694,2797,29,1112,197,763,447,264,1045,367,3116,729,0,550,458,1613,1973
192,1154,28,322,68,954,518,332,2106,1,45,201,160,0,0,468,142,2,171,16,63,133,27,118,36,338,76,0,63,0,147,1974
4462,19096,327,6578,901,17791,39612,6172,86236,39,1567,10594,355,0,0,12878,6177,93,1531,354,2161,1121,420,1634,624,5751,1962,0,456,1468,2424,1975
4157,21382,350,5865,651,14088,41877,9932,82879,19,1548,12798,283,0,0,13458,6732,78,1459,387,2548,861,452,1388,616,5730,2173,0,172,1380,2092,1976
4174,22108,343,5815,699,12677,40000,10607,75172,37,1371,14078,205,0,0,12542,6512,96,1613,350,2201,732,444,1493,658,5773,2067,0,114,1481,1993,1977
3101,23622,352,5913,443,10248,23369,10931,65901,70,1462,11115,423,0,0,12606,6836,89,1552,317,1924,539,457,1298,604,6009,2422,0,116,1098,2047,1978
2830,24023,432,6802,541,9949,36172,11202,66927,29,1647,11691,200,0,0,13385,6083,83,1367,316,1488,365,486,1349,633,5517,2403,0,137,1218,2141,1979
3775,26847,414,6559,392,9724,37720,11432,68042,65,1944,12152,306,0,0,13120,5807,55,1287,320,1540,475,463,1339,526,5025,2783,0,117,1039,2372,1980
