Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
1136,9204,0,2007,0,11994,2836,0,16574,0,499,166,907,0,0,4064,398,29,669,121,944,191,232,573,342,4251,479,1296,23025,0,1349,1960
1168,10197,0,1993,0,15056,2395,0,13305,0,341,105,1169,0,0,4135,499,47,690,123,899,410,204,517,266,4308,464,987,25290,0,1367,1961
1243,10151,0,1917,0,14562,2696,0,14095,0,306,230,1509,0,0,4639,533,42,943,142,818,287,174,548,415,4930,475,1152,23362,0,972,1962
1496,10573,0,2017,0,14666,2477,0,16580,0,387,236,1494,0,0,5045,763,35,979,137,719,370,198,504,584,5185,372,648,20283,0,1144,1963
1444,9150,23,2335,241,12551,2745,447,16075,7,317,276,822,0,0,4973,503,48,1162,143,672,472,127,687,458,3437,791,366,15460,805,1231,1964
1797,9213,56,2671,336,18832,3849,560,16252,5,553,316,879,0,0,6194,317,50,1029,197,906,210,187,762,509,4544,739,544,16266,721,1400,1965
1780,9708,74,2807,241,17686,3704,547,14436,2,445,296,859,0,0,5951,232,69,1345,208,769,171,210,770,448,3558,728,444,17034,831,1400,1966
1811,10478,50,2415,220,12752,3581,632,17071,32,526,233,812,0,0,6212,348,38,1039,196,824,181,168,814,406,4544,579,426,13168,789,1290,1967
2551,15331,150,4568,780,13661,5091,1169,24905,3,530,471,1213,0,0,9070,340,61,1737,332,1171,272,240,1184,577,6352,1785,180,16638,1348,2276,1968
2506,16337,109,4336,645,12247,3453,1951,19923,2,721,976,983,0,0,10184,577,46,1598,290,1232,226,298,1498,433,6380,1216,304,13525,1571,2171,1969
2717,19826,107,5013,476,12326,4247,2587,20718,73,631,1006,1102,0,0,11546,777,64,1871,352,1302,165,248,1797,579,7215,1753,236,4537,1310,2420,1970
2701,19240,96,5565,499,13969,5560,4870,22353,26,718,881,1042,0,0,12790,606,63,1757,298,1347,370,250,1508,514,7887,1936,129,3784,1414,2472,1971
3072,24550,120,5534,734,13904,7442,7485,21947,2,697,1067,800,0,0,13923,813,54,1696,466,1311,536,300,2117,611,7800,1975,69,3078,2043,2764,1972
4180,29901,193,9196,1320,11336,9562,8901,16125,28,710,1258,748,0,0,21830,822,95,1956,467,1259,533,432,2960,685,7481,2514,96,2080,2289,3289,1973
4963,26670,234,6844,853,11961,12105,12643,16133,117,920,1461,852,0,0,19755,890,138,1256,495,1558,849,417,2324,633,7995,2488,846,3345,2232,3182,1974
5421,24537,288,7648,742,12206,11734,9335,16391,95,1252,2088,1152,0,0,20124,836,143,1365,495,1556,1200,490,2409,616,10773,2562,206,2591,2474,3114,1975
7379,28666,350,9524,1167,16536,16774,9702,18791,104,1987,3078,1227,0,0,24358,1323,179,1613,506,2094,1045,578,2246,697,13530,2912,344,2086,3033,3268,1976
7921,33230,384,9777,996,14215,21083,10517,18481,107,1596,4637,1012,0,0,24888,1182,127,1842,619,2306,570,710,2210,693,13061,2539,321,364,3231,3382,1977
8985,36107,321,9805,1220,15623,19652,9606,19593,49,1835,5902,631,0,0,25114,897,72,1625,562,1981,590,680,2447,681,14279,2670,119,223,3935,3746,1978
8563,38716,306,9301,945,15898,13875,7607,22329,9,1571,4997,585,0,0,24598,791,54,1664,639,1884,973,704,3670,594,13895,3053,94,251,3451,4811,1979
7753,34888,298,8397,941,12704,14908,5543,18498,8,1548,5590,652,0,0,21549,751,53,1441,493,1460,714,679,2422,667,11411,2642,312,217,3182,3337,1980
8043,37735,354,8974,617,12722,17199,7964,19863,19,1960,4504,681,0,0,23106,919,77,1380,573,1285,804,729,2429,815,12200,3101,115,184,3351,3475,1981
8562,41715,339,8518,558,12688,17588,9304,19281,14,1832,4209,558,0,0,24397,982,68,1301,553,1681,1259,687,2594,967,12376,3145,272,208,3438,3662,1982
7947,41718,304,7682,498,10626,17341,8275,16028,71,1807,3748,489,0,0,23299,729,40,1011,453,1357,765,661,2388,996,11919,2902,188,209,3440,2974,1983
8076,42488,269,7133,528,10701,19239,7372,16838,13,1967,4254,573,0,0,24049,1046,47,1085,448,1748,783,748,2310,1319,12376,3072,282,191,3640,3171,1984
8307,43108,259,7032,703,10076,16906,9308,15066,18,1717,3956,359,0,0,23566,826,38,1072,354,1587,593,709,2090,1125,12433,2904,232,230,3545,2789,1985
8684,48144,278,8261,555,10470,16707,8421,16434,8,2000,3897,442,0,0,25321,930,34,1155,426,1462,524,660,2299,1135,13184,3385,227,219,3773,2951,1986
7870,43487,257,8066,454,8660,14296,9437,12731,84,2000,3836,263,0,0,24255,1011,36,996,356,1463,484,620,1622,1114,11652,3047,172,188,3460,2303,1987
7966,45455,268,7290,592,9378,14244,12419,11270,181,1718,3585,226,0,0,21419,953,47,1084,356,1378,347,593,1932,1179,12352,3700,240,314,3604,2526,1988
8375,51007,206,7627,651,9023,12747,16207,8163,11,1876,3083,136,0,0,24550,1002,35,1255,440,1236,304,594,2106,1161,13232,3938,261,297,3571,2688,1989
9519,55244,245,7293,867,11741,14977,12605,8054,15,1873,3282,185,0,0,25224,982,53,1607,494,1308,432,707,2225,1316,15266,3973,378,342,4484,3081,1990
7726,37224,221,5761,704,9154,11925,9475,6076,10,1517,3135,88,0,0,20494,737,32,1225,340,995,306,443,1386,917,11706,2511,476,243,4116,1922,1991
9338,65965,288,7371,1099,11817,13163,15357,9094,5,1995,2986,414,0,0,24592,917,50,1686,529,1324,550,623,2555,1476,16292,4522,380,505,4519,3533,1992
9608,70355,249,6869,1049,12429,13719,16131,9570,14,2500,3104,344,0,0,26203,1358,64,1499,579,1621,372,589,2585,1311,19097,4565,1062,757,4552,4210,1993
10090,57944,238,7133,1935,13817,15207,15398,7032,20,2502,2845,257,0,0,27158,2285,54,1657,530,1482,363,535,1862,1279,20724,3260,786,578,4782,3333,1994
10373,63717,301,7171,2082,16034,16114,17515,7278,16,2244,2793,164,0,0,29071,2288,44,1737,512,1582,427,538,1617,1309,24316,3434,261,714,4836,2976,1995
10366,66599,255,7882,1953,16320,14262,18419,6677,30,1999,2461,215,0,0,30073,2154,54,1632,496,1748,369,564,1743,1305,24723,3509,245,963,4446,2533,1996
12403,100878,292,8462,6316,19028,15641,25499,8484,18,2221,3070,447,0,0,33153,2510,55,1616,680,2298,524,685,2689,1397,31573,5417,186,929,4639,3190,1997
12007,101826,345,8538,5784,19394,16430,26169,9566,19,1914,3080,468,0,0,32313,4687,33,1564,519,2685,720,578,2541,1378,31919,4770,90,530,5288,3195,1998
10644,86200,253,7319,2293,17532,16621,25293,6190,14,1675,2621,168,0,0,27691,7847,20,1501,326,2213,583,512,1635,1632,29901,3243,130,665,5306,2316,1999
9768,67439,257,6509,1836,16787,15881,22205,5191,38,1590,2569,166,0,0,24831,6131,20,1381,376,2170,449,487,1482,1463,29649,2602,167,545,4647,1996,2000
9713,76697,215,6035,1916,17747,15221,23257,4613,39,1600,2820,193,0,0,26045,3777,14,1616,289,2147,433,475,1540,1336,30728,2562,193,491,4506,1904,2001
8820,74932,233,5805,1552,17828,13551,23463,4345,54,1490,3265,168,0,0,23898,3478,25,1391,308,2173,415,548,1415,1451,30065,2552,169,622,4689,1742,2002
8823,80746,184,6219,1667,17253,12530,25837,4375,31,1620,3010,138,0,0,24240,5159,23,1325,292,2089,556,485,1517,1376,30645,2606,104,338,4801,1691,2003
8637,85963,227,5898,1212,18879,12354,27822,4452,82,1575,2683,92,0,0,23385,5465,16,1285,311,2085,547,484,1282,1327,30561,2319,359,564,4573,1827,2004
8288,69115,187,5603,910,19631,10474,28311,4132,122,1331,2881,105,0,0,18721,6808,19,1218,315,1828,554,369,1232,1084,27797,1946,115,412,4708,2129,2005
8873,51465,153,5114,683,20213,10249,29225,3245,182,1089,2578,98,0,0,15491,7329,32,1324,341,1637,575,467,1237,1069,24164,1985,328,417,4169,2201,2006
7624,52919,176,5854,731,17695,10443,23056,3424,334,976,2356,141,0,0,18177,6532,16,1294,283,2030,552,377,1230,1166,24676,1858,84,626,3655,2261,2007
9260,44495,183,4685,572,14064,9382,21922,3290,300,690,2056,89,0,0,17366,6972,23,1136,205,1684,444,292,1221,767,18788,1719,106,441,3174,2100,2008
11739,60407,175,6037,565,15431,11644,27134,3969,254,841,2455,162,0,0,24160,8253,27,1183,273,2085,577,331,1575,1119,23444,2108,44,460,3705,2533,2009
10308,59352,152,5569,213,12381,10990,25742,3641,164,818,2457,95,0,0,23708,5478,23,1007,240,1722,382,323,1276,915,23229,1821,324,264,3503,2368,2010
9442,54255,181,5902,227,12955,9878,24634,3657,111,701,2142,127,0,0,24246,7658,15,889,229,1478,498,294,1327,1063,25503,1832,305,860,3635,2414,2011
8473,48551,148,5635,169,11935,9030,23999,3978,89,591,1778,100,0,0,25008,5345,25,856,236,1318,555,284,1190,916,22002,1747,307,232,3095,2233,2012
8556,56061,122,5382,177,10267,8560,26146,3871,169,786,1931,101,0,0,28627,3212,20,1119,262,1561,692,331,1223,925,22336,1664,64,449,3398,2381,2013
7212,50843,96,5152,240,8663,7424,23783,3813,127,725,1637,53,0,0,24699,2550,23,1069,294,1440,673,345,1263,762,21208,1732,112,205,2928,2395,2014
8737,55063,117,5214,360,9299,8782,27599,3827,134,683,1389,58,0,0,28241,3464,33,1259,342,1509,618,470,1598,982,23385,2273,34,392,3425,3271,2015
9364,59792,136,5788,308,10708,8046,30052,3756,175,802,1498,79,0,0,26460,3673,49,1444,359,1632,527,516,1708,1402,24764,2398,142,313,3911,3963,2016
8851,58407,131,5959,301,9706,7070,31368,3334,140,799,1642,53,30,35,24916,3170,29,1781,439,1921,597,490,1619,1405,23963,2826,17,261,3661,4096,2017
9159,57781,110,5894,260,8399,6763,34130,3102,140,777,1369,52,9,4,25290,2085,32,1703,402,1920,450,488,1612,1201,23980,3147,13,277,3561,4180,2018
9753,56846,153,5493,246,8531,6841,33591,2641,132,730,1228,106,8,3,24192,2293,38,1616,417,2026,466,484,1383,1100,22055,2777,774,369,3468,4340,2019
9267,39662,107,4443,230,6269,4105,24120,1152,91,482,945,52,4,8,18467,1214,37,1231,413,1222,280,396,1087,811,18106,2561,57,203,3364,3829,2020
6900,17036,74,3156,124,4385,2796,19141,51,82,298,453,124,1,0,11462,772,33,1050,420,764,150,250,749,444,16339,2354,0,11,3339,2783,2021
6809,16677,126,3290,51,3331,2852,19191,61,145,366,687,124,1,2,13763,930,16,1139,275,615,107,285,883,549,17173,2750,0,4,3184,3704,2022
