Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
672,10933,0,2365,0,1576,2645,0,44622,0,284,548,1136,0,0,4346,214,58,1408,62,2713,284,151,561,1641,2577,230,2346,501,0,279,1960
718,10520,0,2756,0,2030,2982,0,43837,0,393,437,1040,0,0,4717,214,60,1786,43,3390,278,189,498,1619,2937,265,1691,591,0,331,1961
795,11652,0,2946,0,2363,3435,0,42882,0,504,487,954,0,0,5021,341,68,2044,58,3517,372,150,531,1728,3016,280,1680,629,0,282,1962
909,9450,0,3014,0,2174,3436,0,48468,0,492,489,812,0,0,5895,350,63,2417,90,3671,456,169,580,1674,3032,343,1602,559,0,305,1963
1210,8247,146,3579,63,2946,3583,248,49387,52,394,616,614,0,0,5839,511,67,2720,88,3655,557,189,634,1619,3561,411,1315,545,1032,323,1964
1430,7988,150,3516,107,3341,3861,323,51336,62,464,517,666,0,0,6057,504,57,3024,106,3726,650,177,689,1554,3735,469,1035,560,1219,371,1965
1498,8168,109,3575,94,3465,4038,472,51692,13,459,551,897,0,0,5867,830,55,2859,83,3445,493,172,780,1328,3759,588,864,617,1361,446,1966
1643,8111,161,4186,301,3729,4019,975,51345,10,535,594,606,0,0,6044,1668,46,3330,98,2977,523,251,884,1178,3638,764,671,547,1403,509,1967
1913,10146,181,5001,266,4555,4445,2972,55337,17,629,475,585,0,0,7170,2269,47,3941,134,2888,994,274,1171,1236,4083,1255,306,54,1508,740,1968
2182,10982,175,5590,256,4714,5532,4406,52531,8,586,497,705,0,0,8036,2671,51,4106,127,2258,993,309,1123,1198,4092,1534,164,19,1600,778,1969
2414,12217,168,5944,125,6824,6054,7055,53388,32,782,521,873,0,0,9742,3210,85,4598,157,2000,986,364,1259,1111,4383,2267,89,112,1556,922,1970
2797,12478,216,6840,240,7096,6641,8952,50881,3,804,530,921,0,0,11086,3802,49,4703,167,1878,1433,309,1799,1162,4364,2870,59,119,1636,1152,1971
3497,12708,265,7016,177,7399,8128,7510,50657,4,772,638,719,0,0,11590,2968,44,4729,178,1892,1942,437,2109,989,4118,2278,168,75,1991,1164,1972
4174,13594,361,11298,207,12011,10168,6868,27317,15,725,564,931,0,0,16227,2071,60,7214,218,1591,2570,501,2965,1091,5104,2288,49,43,3196,1374,1973
4172,14116,333,9898,199,12511,10454,8009,4922,12,815,549,1051,0,0,15885,1814,52,5883,196,1450,3374,517,2935,1063,4365,2723,184,105,2709,1514,1974
4845,14668,444,10443,252,12842,11779,5640,6374,17,965,761,988,0,0,15818,2336,49,5515,199,1393,2352,584,3042,865,4511,2740,189,102,3142,1203,1975
5161,14486,497,9975,218,11049,13142,6622,3234,29,962,728,920,0,0,15802,2679,44,4483,145,1327,2660,547,2637,945,4588,2912,74,90,3422,1166,1976
6283,20211,567,11489,211,11879,17773,10066,23791,27,1117,888,1363,0,0,16995,3432,60,4872,190,1204,2051,667,2687,1083,5111,3218,222,64,3543,1190,1977
7451,24545,656,11446,171,14208,19343,12146,405,17,1013,831,1202,0,0,15857,4327,50,4867,205,1179,2465,734,2816,1048,5412,3259,174,129,3938,1211,1978
7824,26260,677,11156,28,15218,20250,11319,511,32,1037,541,972,0,0,16861,8840,45,4924,216,1172,3044,799,3080,920,4772,3153,225,140,4362,1407,1979
7595,22075,586,11615,45,16190,22267,10054,2694,23,1258,599,795,0,0,15737,10024,33,4093,172,1119,2684,796,2911,1008,4424,3407,90,140,4210,1284,1980
6343,18618,433,10066,96,12720,22157,10586,224,10,1152,581,414,0,0,14381,7806,24,3634,132,1156,1522,653,2658,912,3864,3113,68,110,3424,1243,1981
6996,20088,420,9298,110,12720,25759,11029,469,15,1171,550,880,0,0,16650,8551,25,3892,139,1181,1882,744,2802,1079,3865,3236,30,330,3386,1412,1982
7068,23620,403,8008,190,12832,30946,12904,2,10,1133,535,835,0,0,15505,7690,25,3206,169,1177,2229,678,2892,1148,3613,3149,1,173,3118,1370,1983
7411,25601,296,7370,104,13449,34672,15174,126,4,1169,470,538,0,0,15820,7005,29,3308,150,1289,1873,957,2398,1138,3620,2818,14,202,3427,1410,1984
7710,29134,355,7304,175,14194,32715,15845,165,20,1606,558,588,0,0,17144,7263,13,3471,151,1227,2162,895,2641,1069,3908,2890,40,220,3526,1350,1985
6736,29090,264,6334,118,11594,30111,12520,173,7,972,607,296,0,0,14618,8438,10,2973,105,1216,1670,746,2060,824,3793,2191,17,142,3227,1130,1986
7494,29380,267,5996,68,13539,24575,16617,14,9,748,449,329,0,0,15509,8443,21,3422,108,1265,1924,788,2408,952,4327,2841,4,136,3106,1194,1987
9826,30390,286,6504,57,14461,24245,21982,40,22,631,591,278,0,0,17586,8192,7,3642,139,1670,2001,791,2378,980,6229,3294,19,269,3282,1459,1988
