Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
1960,9397,0,2223,0,22022,1829,0,11494,0,286,1013,830,0,0,5367,771,168,841,142,1257,248,252,501,584,8100,271,4310,620,0,826,1960
1919,10614,0,2607,0,19111,2010,0,11510,0,207,1225,765,0,0,5207,976,128,808,132,1278,271,311,657,542,7579,254,4707,680,0,832,1961
195,3823,0,1099,0,3056,1229,0,3984,0,121,788,97,0,0,1910,878,56,288,29,536,3,74,135,246,2737,94,1024,212,0,169,1962
1682,14030,0,2594,0,16725,1965,0,10604,0,256,1288,1068,0,0,5066,1044,167,923,155,1066,320,254,658,526,7792,212,4611,481,0,1008,1963
2987,12676,177,2579,99,15546,1483,289,13808,46,271,1030,1031,0,0,6095,1173,83,567,158,1121,298,236,702,561,6270,195,4126,533,1326,1119,1964
644,9076,189,2914,58,6177,1489,43,6550,45,331,1611,141,0,0,6015,1422,121,1055,70,1203,35,104,348,528,6122,129,715,288,2215,381,1965
992,5103,97,2222,68,5329,1536,95,5389,17,195,1504,130,0,0,3451,1495,105,999,38,943,26,137,302,324,5623,178,744,280,1431,359,1966
2426,9214,176,2563,96,14103,293,851,13637,14,232,1049,1458,0,0,5081,3148,133,1870,213,646,367,267,1307,831,7908,294,319,530,1338,1779,1967
4548,11773,169,3581,116,13302,313,839,5466,9,161,1009,1607,0,0,5750,1527,92,1822,256,653,378,345,1341,463,6140,329,1968,511,1364,1679,1968
2688,9109,154,3201,86,14583,289,1874,257,11,209,1002,1674,0,0,5442,1306,99,1786,256,559,613,459,1870,503,9434,370,1583,673,1312,1726,1969
2415,14885,128,3763,102,12182,877,3258,545,18,245,572,1616,0,0,6820,2648,42,1773,336,340,742,374,1953,409,10631,467,281,555,1679,1752,1970
3277,20843,256,7415,406,18343,3918,7478,526,45,629,1633,1438,0,0,15603,4436,40,3155,404,599,660,526,3877,807,14118,1051,443,445,3706,2675,1971
3045,22261,270,7816,645,15955,4842,8679,495,69,654,1601,1750,0,0,15256,3329,39,3273,525,356,428,545,4256,944,13339,1065,401,514,3642,2762,1972
5237,29727,571,14203,2340,20744,6006,13572,679,63,777,1885,1452,0,0,24690,4471,76,5490,469,525,295,849,5796,1181,14922,1404,741,712,5366,2920,1973
5840,21599,320,12560,563,18538,6783,13482,377,153,983,3621,1413,0,0,23651,3078,42,4367,546,1335,376,773,5329,1051,13668,1836,1281,346,5029,3628,1974
5894,22521,459,12871,681,18466,7179,12447,0,142,1108,4359,1751,0,0,26300,3000,32,3930,512,1510,613,772,5512,974,14504,1928,1600,885,5258,3835,1975
