Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
93,1971,0,645,0,547,1775,0,7529,0,154,192,34,0,0,1095,1282,12,376,12,334,2,18,41,186,657,39,339,135,0,41,1960
60,1467,0,544,0,583,781,0,5624,0,150,112,23,0,0,846,424,8,162,7,213,1,23,41,147,448,27,258,111,0,26,1961
65,1836,0,506,0,500,694,0,5952,0,122,119,19,0,0,904,602,8,251,4,293,3,9,46,164,482,22,368,156,0,22,1962
86,1838,0,564,0,637,761,0,5992,0,142,115,32,0,0,1030,763,4,275,7,202,9,14,17,179,521,23,134,114,0,31,1963
103,1575,16,539,135,936,1560,1,6324,22,154,185,36,0,0,1211,1779,10,458,7,286,2,32,38,186,732,35,580,127,127,44,1964
104,1382,21,548,96,1006,1308,1,4569,21,93,185,24,0,0,1166,1841,13,342,9,249,4,21,31,133,728,59,576,94,217,35,1965
275,1298,11,410,156,986,1367,0,6086,14,105,102,17,0,0,1404,1996,13,269,9,145,0,30,34,140,515,29,548,86,357,48,1966
95,1255,15,389,246,895,595,15,5712,7,60,105,23,0,0,1121,1096,7,228,14,157,2,18,42,110,532,34,390,137,304,34,1967
91,1883,14,642,267,1011,1656,41,5677,3,96,155,23,0,0,1197,2606,2,408,13,114,1,32,45,141,700,73,246,118,452,72,1968
140,2329,28,773,337,1250,2024,74,6116,20,116,132,31,0,0,1597,2693,5,459,16,84,4,43,60,109,726,96,211,98,449,68,1969
137,3160,23,819,371,1104,2157,338,6330,29,104,153,7,0,0,1672,2310,10,382,10,88,0,25,70,139,599,110,204,92,280,80,1970
225,3199,21,1039,340,1219,3163,671,6082,15,143,122,0,0,0,1645,2839,2,425,6,84,5,38,74,91,689,155,292,51,312,96,1971
225,2947,40,1070,172,1021,4268,1092,5749,16,188,114,36,0,0,1552,2210,11,358,27,63,6,29,66,66,669,192,375,31,355,126,1972
286,3685,37,1614,544,2051,3114,1766,5116,9,166,106,11,0,0,2819,1093,3,433,10,65,7,38,152,107,814,221,511,15,549,125,1973
579,3545,87,2091,424,3274,5254,1631,1778,16,224,252,4,0,0,3025,1108,11,430,22,160,1,40,182,134,929,321,162,57,832,167,1974
784,5269,105,2834,546,3753,7195,1879,100,23,317,309,15,0,0,3727,1556,12,572,30,69,3,45,212,154,1318,355,0,138,1013,164,1975
802,5571,109,2555,356,3699,7409,1306,688,17,199,264,16,0,0,3837,1462,8,499,14,90,28,47,249,164,1398,319,0,74,1193,163,1976
740,6331,165,2697,365,3812,7291,1648,799,12,250,173,5,0,0,4753,1541,6,612,18,74,78,77,280,205,1438,336,1,95,1289,176,1977
797,6374,126,2859,200,3420,7809,2273,130,3,288,284,3,0,0,5402,2178,12,719,19,39,26,54,214,166,1485,339,12,29,1499,182,1978
776,7322,135,2820,140,3893,8305,2309,143,8,374,288,6,0,0,5805,3276,11,679,21,46,32,69,208,215,1694,326,1,29,1691,165,1979
859,7954,132,2862,129,3337,8930,2211,100,5,269,301,9,0,0,6327,2881,17,636,21,41,47,69,189,213,1935,443,1,78,1942,169,1980
877,8457,156,2891,96,2248,9927,1899,49,6,312,253,5,0,0,6053,2454,7,584,19,93,78,69,195,254,1952,329,0,18,1600,187,1981
798,7852,122,2857,60,2140,10240,1423,77,2,316,229,21,0,0,5913,1940,6,531,29,83,114,53,193,291,2070,330,0,6,1709,223,1982
748,8165,133,2675,106,2008,10763,1452,43,7,236,216,27,0,0,5594,2113,13,486,14,72,68,91,191,368,2305,292,0,19,1990,238,1983
635,8179,114,2137,65,2033,9899,1522,53,4,246,210,49,0,0,5688,2138,11,526,27,106,140,67,178,546,2754,334,0,45,1943,242,1984
642,8854,184,2345,60,2173,8900,1720,92,6,282,396,3,0,0,5986,2274,7,492,23,146,123,72,143,598,3199,394,0,56,2274,290,1985
744,8561,140,2280,73,2250,8858,1734,33,7,249,384,1,0,0,5934,2595,7,558,24,116,164,77,147,555,3391,389,0,45,2070,221,1986
694,9170,157,1830,101,1909,8993,1840,64,9,219,371,3,0,0,5964,2680,11,599,23,172,73,71,185,431,3949,356,0,13,2151,289,1987
774,9957,130,1883,56,1928,9092,1828,23,6,222,528,3,0,0,6083,2782,3,595,15,156,71,89,157,442,4275,350,0,14,1945,274,1988
829,12093,131,1840,67,2230,9741,2296,32,8,277,821,11,0,0,6306,3309,4,516,20,155,158,86,143,431,5070,406,0,7,1781,286,1989
930,13598,124,1952,113,2730,10519,2289,25,19,320,778,0,0,0,6596,3314,4,516,28,168,97,92,139,372,5550,430,0,6,1943,360,1990
895,13384,120,2261,110,2204,9261,1968,33,12,260,956,2,0,0,7558,2644,3,581,11,207,108,82,106,384,6185,462,0,1,2091,298,1991
958,12031,115,1929,77,1985,8588,2441,14,10,249,940,9,0,0,7060,2477,3,449,13,258,110,96,138,365,6471,449,0,0,2212,337,1992
770,11210,131,1897,84,1814,7523,2359,23,14,247,653,2,0,0,6366,2028,4,452,2,246,36,116,110,441,6383,404,0,0,1930,285,1993
605,12108,133,1838,164,1665,7029,3030,39,12,251,740,7,0,0,6728,2133,5,529,12,266,69,95,122,480,6794,408,0,1,1879,340,1994
522,13321,134,1798,92,1631,7008,3199,32,12,249,1125,0,0,0,6774,2441,7,486,20,270,73,87,202,349,6530,413,0,0,1952,303,1995
622,14948,146,2119,100,1984,8083,4026,35,14,244,1361,3,0,0,7219,2837,3,528,15,217,50,76,189,320,7031,442,0,0,1992,313,1996
522,15950,145,1864,305,2182,7544,4206,26,13,251,1108,0,0,0,6961,2799,1,538,12,184,99,82,180,294,6935,381,0,1,1889,372,1997
647,17233,76,1664,216,2155,7893,4502,33,5,313,1159,1,0,0,6405,3150,4,452,9,291,91,74,145,278,6854,426,0,40,1871,355,1998
508,17670,92,1544,260,2103,7189,4370,27,10,315,1024,2,0,0,6197,3154,0,468,11,409,55,101,125,266,6889,368,19,70,1795,277,1999
