Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
4860,23742,0,11811,0,11799,7967,0,25149,0,1576,2802,5999,0,0,19891,12174,104,4758,608,4152,3054,728,3698,2432,6318,670,1098,2444,0,1707,1960
5148,24971,0,12987,0,14535,7522,0,27108,0,1719,2969,6021,0,0,23001,14391,183,5161,616,4370,3667,795,3946,2520,7125,882,1099,2593,0,1887,1961
2647,24799,0,9864,0,13022,7426,0,27261,0,1453,2766,2114,0,0,21062,12953,176,5494,294,4680,3385,484,2148,2561,7001,769,1493,2836,0,1667,1962
2766,25016,0,9824,0,15372,7398,0,27416,0,1420,2730,2079,0,0,20624,12334,197,6331,279,4526,2993,497,2496,2266,6303,902,927,2555,0,1811,1963
3702,19005,480,10590,1655,14442,8537,210,29638,478,1639,2236,1847,0,0,24128,16584,232,7183,228,4432,2765,601,2402,2333,7060,1086,962,2336,6209,1938,1964
3814,19587,452,10034,1610,16350,8432,294,30082,472,1532,2113,1566,0,0,23172,20699,206,7424,315,4669,3425,668,2394,2390,8052,1240,567,2061,5746,2773,1965
4027,22617,466,10574,1912,15297,8920,313,31710,439,1853,2452,1431,0,0,23059,22509,219,6899,343,4810,3422,704,2801,2025,8567,1472,23663,2660,5875,3916,1966
4808,27663,585,16212,2674,16895,10846,874,31935,375,2263,2719,1221,0,0,26836,23846,186,7066,471,4933,3199,707,3233,1941,9733,2398,30982,2309,6364,5467,1967
4290,29142,694,13525,2829,16657,16947,2025,32080,514,2101,2694,1046,0,0,27013,24259,247,6031,516,4474,2550,822,3290,1953,10148,2487,27786,1551,7168,5459,1968
4205,21623,556,11203,2731,14965,15168,3105,30287,285,1396,2413,739,0,0,29041,14635,162,5357,567,4076,2570,732,3672,1550,9485,2870,27348,1568,6025,4836,1969
5024,64431,769,16667,3583,17025,23543,11768,36537,519,2367,3469,808,0,0,40823,23516,191,5049,637,4856,3314,833,4563,1731,10875,4333,0,1526,7149,6278,1970
