Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
150,8760,0,1962,0,3584,4265,0,18001,0,280,1254,77,0,0,6625,4607,42,1525,29,983,80,34,238,514,1469,249,2176,757,0,226,1960
195,8730,0,2065,0,3898,5523,0,19062,0,308,1269,145,0,0,6723,4294,25,1474,25,806,188,58,306,579,1553,205,1930,660,0,216,1961
192,9342,0,2189,0,4066,5504,0,18472,0,363,1360,119,0,0,7351,4446,20,1583,27,696,122,33,293,684,1645,177,1689,637,0,197,1962
240,11129,0,2374,0,4191,4642,0,17948,0,419,1072,84,0,0,8015,5028,22,1796,28,782,138,25,311,664,1843,186,963,412,0,217,1963
409,7937,150,3005,1851,4745,4521,82,15961,144,456,1464,57,0,0,9080,6180,27,2196,42,716,160,53,416,754,2045,255,895,390,2608,272,1964
482,7435,130,2931,1892,4439,4163,68,17231,57,423,1529,129,0,0,9516,7194,12,2196,38,771,157,62,433,490,2145,194,938,363,2531,291,1965
462,7720,127,3253,2080,4590,3936,63,17203,45,404,1124,44,0,0,9551,7911,11,2501,65,724,188,76,552,499,2520,269,1052,336,2895,323,1966
542,8236,175,3406,2294,5215,4370,166,17701,25,478,1159,15,0,0,11131,9491,15,2853,46,701,210,104,623,556,2729,380,1217,399,3366,548,1967
575,8452,185,3787,2927,5666,5727,467,18077,18,634,1169,29,0,0,12569,11431,24,2940,66,633,135,134,736,618,3042,367,1151,364,3228,595,1968
783,8657,166,3621,2995,5586,6610,861,18209,3,604,1457,2,0,0,13943,11434,23,3063,38,672,151,173,814,563,3423,428,1271,269,2633,879,1969
680,7519,159,3701,2613,5142,7445,2281,17553,28,612,1446,170,0,0,16121,10445,27,2537,61,602,90,118,765,529,3404,575,1481,394,2857,732,1970
763,8445,183,4053,2491,6414,8110,3127,7352,8,695,1698,48,0,0,16690,9919,15,2437,58,497,192,125,849,558,3813,769,1343,284,3100,598,1971
860,6880,179,4679,1710,6425,10556,3739,0,7,650,1724,22,0,0,16552,7705,25,2406,68,478,189,131,896,590,3515,752,1324,155,2802,855,1972
773,5832,397,7474,1935,7202,14380,6817,0,18,791,1868,9,0,0,23962,8544,103,3702,103,420,216,321,1229,751,4116,1292,996,108,5691,1176,1973
721,4596,213,4647,1976,5983,14554,5459,0,7,729,1944,11,0,0,15620,4372,30,2123,79,341,204,141,775,585,3052,804,816,60,3143,983,1974
864,5885,230,5416,1851,6512,13989,4418,32,23,749,1884,34,0,0,17803,4706,35,2180,90,350,337,147,919,500,3182,1325,924,78,3493,1034,1975
845,4486,191,3226,841,3321,9249,3326,7,11,589,1160,50,0,0,10664,2930,18,1603,63,196,398,108,577,391,2402,787,407,70,2561,718,1976
1224,7975,289,4959,1118,5361,12364,5433,0,12,932,1815,14,0,0,16324,6491,31,2597,72,299,753,168,781,757,3799,1131,920,90,4071,1108,1977
1705,6132,281,4802,877,5161,13813,5174,0,13,1099,2385,59,0,0,16711,7136,26,2477,96,296,878,261,800,718,2835,1085,0,45,3846,1024,1978
2402,7928,369,5314,796,6563,14720,5222,1,28,1131,2510,70,0,0,19522,8312,43,2635,74,246,1487,291,946,758,4184,1196,0,71,5229,1204,1979
1625,8873,252,5575,843,6838,18230,5352,0,40,1175,3766,52,0,0,20977,8298,31,2273,102,342,1391,295,801,1532,4998,1250,0,196,5132,1229,1980
1574,15262,344,6038,741,6818,20783,5038,0,49,1368,3915,74,0,0,22735,9286,30,1915,72,467,1091,271,1118,1164,5750,1462,0,91,5180,1291,1981
1549,18132,257,5528,725,6380,21881,4180,0,41,1310,3553,25,0,0,22798,8912,24,1811,98,273,1340,255,988,1116,5447,1446,0,78,4283,1007,1982
1100,16444,187,4135,928,6456,23594,3858,0,44,988,3338,11,0,0,19883,8921,7,1456,53,235,1157,209,554,1248,5363,1153,0,44,4060,882,1983
2216,20239,301,4314,1431,7586,29543,5387,0,43,1524,3100,38,0,0,22281,9989,2,1982,80,373,1446,343,791,1817,8625,1312,0,44,4905,1208,1984
2612,20393,239,4641,1608,7845,28471,5513,0,8,1818,5561,26,0,0,22620,8220,6,2487,77,309,917,480,782,1392,8590,1472,0,4,5393,1382,1985
2740,21267,255,4623,2049,8482,29313,4655,1,8,1969,5865,21,0,0,25070,8125,9,2756,96,299,896,414,922,1408,9801,1612,0,5,5492,1390,1986
3190,24028,259,4748,1795,9070,28324,5286,0,11,2100,6224,43,0,0,25472,13688,8,2950,112,364,1333,519,995,1554,11108,1603,0,6,5385,1424,1987
3559,29091,249,4581,2108,10505,26911,6406,0,8,1948,6759,71,0,0,23156,18096,3,3434,131,421,1449,521,957,1476,13693,1741,0,5,5507,1416,1988
3556,30209,296,4213,1921,10970,28953,7009,0,0,2012,7849,44,0,0,24189,19065,11,4098,102,456,1126,502,960,1381,15354,1906,0,1,5635,1468,1989
3346,18328,265,3756,1824,9236,29227,5523,1,2,1527,8544,66,0,0,22919,20565,9,2759,89,438,377,389,600,1156,12710,1761,0,6,6384,1131,1990
2339,15331,192,3530,1909,8031,27635,4480,0,4,1396,9173,73,0,0,21959,17620,1,2132,55,375,50,316,315,1046,11319,1962,0,0,5065,1085,1991
2888,17793,241,3808,1630,9182,26036,5121,0,6,1654,8476,62,0,0,23160,15513,1,2146,110,375,42,319,397,1281,12197,1987,0,81,5648,1330,1992
5824,29389,345,4806,2935,11877,32486,9289,0,5,2325,11414,79,0,0,25437,15466,0,3570,231,530,1370,1079,1427,1078,20376,2555,0,205,7458,2721,1993
4370,33581,360,4520,3702,14905,32094,12963,0,6,2427,9900,92,0,0,25748,19349,1,3615,172,680,1315,1087,1475,891,21988,2641,0,103,8168,2951,1994
