Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
907,14794,0,5078,0,15982,5413,0,19198,0,476,675,3237,0,0,6345,2029,21,1529,109,1375,2376,128,834,1050,2134,233,29827,2534,0,1993,1960
916,17631,0,5711,0,17744,5823,0,18652,0,445,873,2924,0,0,8641,2268,18,1712,136,1289,3039,208,1069,1103,2606,325,32169,3026,0,1699,1961
957,20161,0,6267,0,17539,5488,0,16936,0,347,858,3170,0,0,10487,2412,25,2270,147,1273,2141,234,1178,1095,2342,250,27654,2848,0,1665,1962
1799,15223,0,6926,0,14699,5654,0,19203,0,491,1215,4017,0,0,10306,2919,30,2559,203,2039,1878,399,1691,1111,2792,301,5510,2873,0,1389,1963
1849,17576,113,11198,887,14710,5787,535,15422,15,473,1111,3657,0,0,12747,2911,37,2863,227,1453,1635,389,1757,1088,3061,309,4752,3956,1460,1631,1964
2024,16000,145,11181,770,14958,4999,287,13273,97,462,1211,3965,0,0,12804,3304,62,3236,316,1204,2329,424,1852,1080,3171,280,4864,2844,2273,1941,1965
2281,10282,101,9447,934,14449,6457,700,14116,14,413,1347,3941,0,0,11721,3324,40,2698,245,1119,2188,471,1952,1140,3094,297,4030,1585,2427,1887,1966
2443,10817,122,9227,1535,14937,6334,900,13355,47,338,1310,2797,0,0,11672,3437,37,3446,333,1062,2396,473,2518,1026,3460,280,2871,1443,2357,1967,1967
2851,13188,203,10205,1207,15337,6393,938,13736,36,305,1491,2781,0,0,13217,3691,33,3864,331,895,2783,508,2571,995,4069,415,2650,1780,2422,2549,1968
2965,13864,200,9693,1410,14577,6483,1662,14883,29,438,1654,3542,0,0,14475,4076,63,4210,421,1117,2509,573,2610,1086,4243,409,2716,2551,2407,2977,1969
3101,14181,240,9409,1349,12813,6709,2868,13510,41,387,1850,3739,0,0,14789,4011,50,3452,523,1136,2557,676,3185,968,4583,512,2411,2309,2122,2975,1970
3608,19752,256,9677,1494,12739,7834,3035,12007,52,535,1873,4061,0,0,15958,4281,56,3394,466,1187,2164,658,2605,1113,6787,598,3082,2537,2237,2646,1971
3360,19975,261,7831,1334,11672,5988,4825,9533,41,471,1905,3462,0,0,15040,3925,59,2595,372,837,2088,577,2488,1129,6930,3251,2454,657,2399,2592,1972
4281,23885,373,12177,1748,14005,12173,7000,7657,81,643,1742,3629,0,0,21228,4465,52,3520,431,816,2153,772,3863,1229,8276,845,2449,811,4064,3353,1973
4418,26216,407,11845,1447,12446,12817,6887,9448,85,802,2680,2833,0,0,21133,4316,53,2250,440,755,2790,692,4039,1345,9390,947,2362,450,3875,3554,1974
