Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
248,2638,0,715,0,1873,1860,0,12488,0,162,228,758,0,0,1250,944,3,101,60,103,19,29,59,132,2041,50,1293,379,0,607,1960
260,3080,0,575,0,1642,1839,0,12986,0,123,169,500,0,0,1176,669,4,145,33,83,20,22,76,104,2082,67,1107,375,0,475,1961
177,4126,0,512,0,1446,2025,0,13522,0,121,150,467,0,0,1310,650,9,137,31,31,13,10,68,76,2523,86,1026,311,0,495,1962
220,4174,0,397,0,1577,1979,0,12930,0,107,75,558,0,0,1198,773,4,151,40,52,15,5,24,131,2085,51,1058,356,0,468,1963
202,3323,12,388,15,759,1510,2,11655,20,112,138,492,0,0,1529,554,14,142,32,56,14,18,35,102,1758,98,749,192,258,340,1964
264,4490,12,580,46,973,1849,8,12916,28,100,149,613,0,0,1712,866,17,139,45,115,13,21,102,88,1945,88,872,192,276,530,1965
396,4304,21,494,28,1328,2103,18,12759,19,100,143,633,0,0,1696,581,3,149,52,116,25,14,62,102,1993,66,817,152,344,472,1966
441,5072,18,596,139,1744,3117,4,15931,22,125,130,681,0,0,1866,430,13,170,52,42,7,29,61,101,2120,34,906,219,472,651,1967
415,4553,24,787,82,2024,3246,16,14399,31,121,231,467,0,0,2216,426,17,149,44,34,22,22,37,109,2501,118,783,242,296,747,1968
338,3288,44,917,37,2099,3120,56,13836,36,116,189,375,0,0,2323,492,26,303,46,129,15,43,89,111,2459,128,702,630,231,805,1969
647,6445,19,1286,86,2663,3395,248,15519,38,185,230,651,0,0,3391,518,12,367,71,74,16,65,111,116,2970,261,727,241,397,1082,1970
871,5490,10,1316,71,3000,3712,406,14076,37,168,239,658,0,0,3353,634,22,294,85,76,41,51,166,131,3506,242,444,156,440,1103,1971
1382,6300,54,1600,109,3048,6651,706,17859,55,187,373,703,0,0,3967,1128,19,378,120,223,29,110,246,191,3754,259,571,134,512,1409,1972
2350,9733,58,3704,192,4451,9531,1954,21771,57,327,486,871,0,0,7958,1448,23,676,154,232,38,168,424,281,4442,534,318,46,854,1760,1973
2378,8071,61,2898,108,3650,10579,2367,21684,78,360,664,855,0,0,6089,1674,32,414,164,344,68,159,375,248,4386,489,947,81,564,1966,1974
1828,8461,59,3002,164,4010,10950,2438,19087,85,449,865,860,0,0,6846,1630,14,484,158,291,67,147,485,213,4831,444,519,115,605,1937,1975
1437,7816,80,3072,142,5286,12902,4083,22769,110,460,970,1216,0,0,6931,2724,46,492,208,395,115,188,524,219,4948,548,399,145,511,1967,1976
1399,9144,91,3584,155,5603,12985,4707,20255,126,630,1016,923,0,0,6946,2195,24,796,209,419,184,205,580,165,5806,670,308,99,566,2025,1977
1242,8817,89,2736,212,5722,13131,3549,16715,151,604,1094,995,0,0,6511,2083,22,589,160,418,244,171,484,165,6312,603,362,70,643,2036,1978
1095,7928,45,2502,102,4783,10029,2350,13911,139,465,1080,924,0,0,6105,1469,13,642,153,258,138,151,483,124,6119,413,147,67,661,1775,1979
1391,9333,75,3367,185,5336,11370,2590,15699,139,608,1112,923,0,0,6596,1734,27,622,160,373,126,194,552,207,6361,451,118,78,857,1920,1980
1876,10622,138,3987,109,6155,15734,3992,17768,199,809,1407,846,0,0,7889,2611,22,653,201,455,100,226,694,282,6796,618,83,88,845,2097,1981
2077,10891,104,4253,271,5941,17702,3468,18201,226,950,1449,676,0,0,9044,2167,19,564,246,434,160,250,728,271,6779,689,118,69,914,2206,1982
1899,10992,118,3794,174,5425,19588,2741,16613,193,715,973,806,0,0,8611,1895,9,441,180,351,76,251,640,265,6749,611,147,67,843,2103,1983
2169,10256,86,3430,187,5205,21540,3203,16857,268,823,1009,734,0,0,9690,1948,21,495,168,296,96,302,514,253,7199,729,79,90,802,1868,1984
2174,10589,78,3175,153,5033,16296,2515,15501,322,705,1292,679,0,0,9934,2053,22,535,160,322,68,270,524,330,7548,744,71,84,815,1943,1985
1943,11692,143,3079,138,4330,14024,2150,13407,319,700,1208,630,0,0,9061,1898,13,489,176,358,25,231,491,300,6864,689,113,50,823,1868,1986
1548,13190,99,3187,161,3821,11823,2609,11453,301,719,1539,499,0,0,8427,2405,20,529,173,275,20,302,424,252,7084,580,190,31,889,1684,1987
2057,13619,112,3256,204,4704,11370,3227,11710,364,862,1478,390,0,0,8833,2839,17,609,123,323,21,279,545,287,7185,457,146,51,826,1850,1988
1865,14890,114,3191,162,5420,10959,3736,11401,395,1133,1117,405,0,0,9584,2921,14,604,154,413,21,315,545,282,8415,496,93,124,627,1898,1989
1776,14212,101,2927,259,6586,11257,3150,11448,404,746,1705,389,0,0,9703,2884,6,805,151,383,46,269,586,568,9403,376,13,64,948,2242,1990
1492,13633,89,2725,256,5364,10490,2642,11280,335,820,1020,326,0,0,8920,2009,9,883,198,453,144,270,664,254,7971,393,22,86,622,1854,1991
1375,14967,89,2525,211,5288,8966,3165,8434,356,706,903,335,0,0,8947,2351,12,783,181,549,72,249,596,255,7588,376,22,42,647,1412,1992
1576,16283,88,2362,193,6199,8267,3111,8379,308,794,1244,278,0,0,9194,2436,10,818,223,683,119,238,666,273,7751,352,71,18,821,1418,1993
1375,17372,110,2351,679,6368,7727,4114,7489,381,701,1123,261,0,0,8245,3084,13,1116,184,1013,43,230,647,223,7900,445,46,31,663,1144,1994
1472,17778,104,2493,1069,6722,8070,7245,7087,427,902,1604,315,0,0,8681,3278,15,1090,154,1317,75,219,608,207,9055,532,75,40,776,1051,1995
2376,27419,140,3252,1456,8989,11078,8101,7292,545,1269,1794,315,0,0,9648,3378,5,1021,259,1683,141,294,836,406,10931,820,113,32,1114,1125,1996
1959,27664,102,2870,1122,8846,11253,8959,6951,635,1022,1918,277,0,0,9441,3253,8,955,220,2366,104,243,832,470,11091,832,89,66,975,1006,1997
1718,28005,183,2933,1287,8498,12354,10117,6217,682,920,2167,227,0,0,8760,3249,7,788,162,2635,154,236,782,237,11005,688,72,150,938,921,1998
1597,33575,101,2688,1331,8668,12147,11951,7597,606,1056,2417,172,0,0,9349,3528,9,895,181,2821,203,244,683,297,12113,769,63,46,1118,956,1999
1648,39312,153,2418,973,9307,11797,12285,7571,709,1120,2273,311,0,0,10208,3963,13,801,158,2938,96,229,668,336,12658,730,64,94,1174,869,2000
1373,37300,417,2289,666,8759,11828,11168,6527,639,1077,2419,328,0,0,8994,3768,8,574,122,2708,70,185,532,312,12915,547,110,75,1087,838,2001
1543,37744,256,2611,895,9211,14359,13226,7476,734,1366,3208,389,0,0,9955,3532,22,693,149,4110,87,264,743,455,13387,763,92,113,1316,930,2002
1558,38424,264,2417,704,8552,13472,13865,7277,647,1310,2441,471,0,0,9641,3010,16,622,191,4037,148,237,667,367,11960,897,91,143,1313,869,2003
1523,39629,166,2485,701,9271,13866,16024,7094,710,1180,2529,396,0,0,10032,3213,29,576,205,4470,104,250,606,394,13206,1045,129,109,1503,926,2004
1548,40357,123,2597,518,9654,11299,18499,6881,667,985,1875,376,0,0,8570,2945,11,515,189,4450,106,238,571,442,12951,1070,92,149,1371,976,2005
1434,39090,119,2549,503,9542,11973,18037,7879,847,1119,2442,434,0,0,7388,3290,14,579,185,4659,177,238,705,481,13144,1004,159,114,1391,1272,2006
1226,31838,124,2135,577,7591,10857,11709,6322,778,824,1460,439,0,0,6909,3034,11,521,107,2704,125,168,598,363,11540,758,71,77,1206,876,2007
1400,39380,127,2878,510,9258,14710,13385,7438,869,1050,2205,327,0,0,9851,2879,28,581,164,4501,126,207,754,494,11990,865,86,160,1191,1213,2008
1401,44628,127,3186,519,10109,14929,13275,6931,836,1007,2284,259,0,0,10994,2665,24,438,127,3879,227,174,738,455,14285,865,232,127,1233,1223,2009
1469,45538,98,3155,500,8586,13923,11980,6137,598,883,1896,199,0,0,10624,2335,13,440,144,3994,163,178,703,466,13497,807,202,153,1208,1100,2010
1463,36713,110,2723,370,7670,12789,11716,5232,565,763,1781,227,0,0,9886,1964,13,437,192,4541,149,175,718,376,12212,854,197,86,1042,1030,2011
1422,35763,72,2403,374,7723,12706,12169,6322,652,635,1647,223,0,0,9498,2229,14,425,102,3991,196,153,534,330,11271,855,238,140,1089,1048,2012
1250,209078,89,1673,191,36200,60349,130713,114975,552,492,1156,170,0,0,69255,91269,11,328,135,33213,157,104,429,259,28804,10605,10169,244,20753,886,2013
1214,29197,80,1663,129,5345,10054,10396,4616,529,544,1267,101,0,0,9559,1233,13,337,135,3365,124,110,446,208,8176,682,130,112,816,948,2014
1077,30266,57,1634,107,4885,9603,10894,4722,475,426,1175,100,0,0,8752,1351,15,370,151,2915,45,112,400,215,7780,786,136,110,762,1090,2015
1088,31797,70,1562,91,4487,8909,12146,4057,478,444,1157,67,0,0,7660,1088,16,379,133,2617,48,99,504,230,7908,804,75,49,892,1217,2016
1044,30473,49,1443,92,4512,8556,11859,4191,433,404,952,75,0,0,7629,1055,16,386,133,2419,28,72,454,214,7122,871,44,110,746,1248,2017
978,27767,43,1298,90,3778,7014,10099,3455,338,374,850,80,1,1,6936,863,12,384,91,2295,19,95,363,160,5966,814,8,77,628,1127,2018
1010,27192,41,1223,72,3936,6663,10406,2884,338,360,815,40,2,0,6604,787,19,422,144,2368,75,77,350,173,5978,725,22,240,659,1113,2019
1090,21031,60,1062,77,3827,6905,10351,1689,229,188,530,29,0,0,5248,487,25,431,213,1845,27,95,304,150,5202,713,55,21,603,1250,2020
842,18320,25,649,26,3686,7200,8816,0,223,128,492,9,1,0,3671,289,11,312,85,578,17,89,147,56,4681,585,0,18,681,949,2021
851,16965,28,682,37,3713,7125,8069,0,247,136,510,2,3,0,4075,335,5,268,76,548,3,84,145,64,4478,469,0,3,431,882,2022
