Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
97,2681,0,784,0,1373,648,0,6537,0,183,383,13,0,0,1491,1433,12,384,17,172,92,30,77,113,367,81,223,1297,0,64,1960
104,2867,0,633,0,1192,601,0,5268,0,139,310,2,0,0,1263,1136,11,316,8,90,81,23,79,108,336,124,71,1124,0,40,1961
98,2508,0,567,0,1461,714,0,4991,0,125,417,7,0,0,1173,1286,3,314,17,203,55,24,61,77,353,60,168,951,0,45,1962
78,3531,0,707,0,1391,731,0,4897,0,148,450,17,0,0,1328,1572,8,342,14,230,30,32,52,94,443,74,91,965,0,49,1963
119,1129,10,541,440,1216,407,7,3383,2,136,293,7,0,0,1117,1441,4,224,6,128,1,18,30,38,221,36,75,634,342,37,1964
108,1033,6,523,563,1229,456,24,3455,2,112,235,4,0,0,1169,1749,5,245,9,99,11,22,38,47,168,42,151,614,273,29,1965
105,940,13,493,665,1119,372,10,3001,5,102,324,8,0,0,1158,1498,10,212,8,173,8,14,46,35,240,79,150,548,378,40,1966
98,1889,10,595,683,1379,510,42,4814,0,130,365,5,0,0,1320,2168,7,205,11,158,19,23,60,39,346,79,82,481,357,43,1967
114,1146,14,510,631,1325,600,72,4153,2,121,384,28,0,0,1338,2150,3,193,17,166,9,25,32,62,284,70,79,370,349,43,1968
154,1204,13,617,695,1412,659,177,3961,7,88,409,21,0,0,1443,2328,11,257,20,112,13,20,25,67,373,101,97,352,347,65,1969
121,1469,2,503,777,1622,735,269,4187,3,95,215,29,0,0,1611,2362,8,216,13,76,10,16,28,54,392,59,42,222,305,54,1970
218,1720,17,581,581,1495,805,223,3214,1,106,282,24,0,0,1796,1692,11,170,22,60,18,31,55,47,422,70,45,175,332,63,1971
