Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
5144,20672,0,3293,0,6430,5724,0,47972,0,1153,3695,1460,0,0,6561,4815,63,1154,199,3854,236,187,326,1014,11309,309,2361,974,0,1244,1960
5223,19613,0,4271,0,6812,6171,0,52452,0,1104,4035,1333,0,0,8207,5219,79,1563,226,4173,160,173,367,1131,12655,452,1873,1052,0,1338,1961
5946,20006,0,4281,0,7147,6143,0,54137,0,1191,4190,1123,0,0,8589,5045,69,1407,255,4215,143,241,496,1167,12276,366,1853,920,0,1351,1962
5554,25187,0,4744,0,6967,6056,0,54120,0,1343,5168,859,0,0,8892,4453,63,1724,239,5060,165,220,435,1040,13425,411,2077,1075,0,1403,1963
6478,18660,33,4462,10,6529,6520,78,53911,1020,1364,4306,828,0,0,8405,3848,61,1621,207,4240,117,214,497,1031,12555,302,1513,1023,1622,1464,1964
5371,17198,46,3570,14,5494,6032,63,46120,904,1206,4639,587,0,0,6735,3995,68,1486,162,4891,91,193,341,1031,10933,238,947,885,1303,1222,1965
6577,20462,83,4449,11,6845,6879,58,58183,839,1013,4948,763,0,0,8759,3677,70,1867,272,4913,124,261,586,848,12457,289,1296,1026,2073,1640,1966
6938,22106,86,4394,81,6568,7473,106,57313,732,1000,4235,527,0,0,8739,3540,71,1795,249,4603,181,242,581,708,11366,297,1152,988,2072,1675,1967
7105,22587,88,4755,34,6866,7823,207,56147,522,981,5957,363,0,0,9129,3693,61,1763,268,4644,125,224,656,699,11931,406,844,787,1993,1917,1968
6898,23516,82,4755,16,6714,9625,498,57384,1009,1238,7440,410,0,0,10245,4522,60,1815,299,5673,133,220,701,862,13824,420,929,582,2221,2112,1969
7133,24535,76,5486,31,6684,12340,1277,58465,2773,1481,8155,313,0,0,11380,4763,64,1756,367,5938,237,230,911,780,15127,529,1178,244,1973,2309,1970
8160,25476,125,5881,26,6675,14346,2302,61539,2660,1279,9594,388,0,0,12556,5258,47,1719,352,6375,246,278,1013,849,16261,647,868,270,2307,2366,1971
7739,24554,108,5659,78,5396,15166,3724,57135,2487,1241,10179,487,0,0,11604,4373,45,1566,412,4983,401,312,1215,754,13985,647,403,94,2343,2343,1972
6338,14784,210,5853,138,4360,8201,3834,27331,1177,1977,5951,313,0,0,8360,2355,48,1803,388,3278,110,366,829,635,7826,599,3,367,2077,1532,1973
13928,44854,256,12384,66,5210,22172,11173,66194,1680,2584,27801,794,0,0,20081,3702,75,2282,612,8550,438,426,2202,964,18446,1146,221,205,3233,2937,1974
13524,50574,234,15125,46,4787,24414,11148,58834,4246,3518,30471,946,0,0,23499,4019,54,2226,682,9044,548,490,2387,964,20247,1481,10,144,3592,2803,1975
12876,55650,350,13755,42,4850,25313,13623,48498,3126,3422,31114,616,0,0,22725,4008,58,2238,667,8325,609,525,1943,828,19090,1504,5,377,3388,2628,1976
13224,66895,327,13186,36,5139,27482,12791,51266,516,3711,33403,575,0,0,23417,4888,47,2371,605,8577,620,574,1741,926,19706,1451,18,263,3872,2773,1977
13833,66174,359,12735,56,7312,70044,14771,35760,483,3305,36516,523,0,0,23956,6454,246,2476,612,8512,642,595,1581,890,19702,2145,0,150,4518,3644,1978
14197,67490,355,13981,20,13543,75062,14817,2,497,3576,39822,692,0,0,25489,8335,248,2461,626,8761,525,636,2047,825,23752,2391,0,326,5327,3939,1979
14451,72963,441,15990,33,13433,79787,16850,0,720,4081,39994,549,0,0,26184,9219,306,2456,629,9243,572,737,2114,974,26180,2866,0,117,5649,3878,1980
13795,75489,385,14912,26,12978,82801,18554,0,771,3908,41945,609,0,0,27410,9513,260,2099,522,8273,778,658,2240,1153,25535,2893,0,356,5883,3922,1981
13714,77072,408,15628,18,14003,90917,16390,0,688,4027,39900,560,0,0,29492,10305,225,1961,604,8390,1017,727,2121,1288,28416,3045,0,46,6468,4114,1982
12075,76364,475,13616,16,13267,80984,14341,0,617,3827,37284,563,0,0,27196,10187,146,1854,541,8239,856,669,1900,1224,28067,3032,0,64,6005,3602,1983
11682,82124,387,12514,16,13316,72130,15754,0,873,3769,36853,1037,0,0,27555,14858,214,1930,436,8047,787,702,1757,1512,30111,2948,0,71,5833,3852,1984
12596,88951,492,12422,28,12926,66649,16654,0,1169,3788,39015,635,0,0,28443,15322,293,2085,484,8034,828,738,1729,1707,33034,3013,0,95,6273,4249,1985
14089,98127,429,12694,19,13733,74796,16583,0,1340,4475,40508,730,0,0,28680,19585,258,2134,491,7912,1010,760,1714,1749,35393,3408,0,35,6703,4456,1986
14076,96124,419,13990,12,13147,73819,18736,0,1646,5222,41779,634,0,0,31440,21883,262,2331,507,7146,849,855,1944,1940,34578,3832,0,81,7444,4895,1987
14725,104556,594,14258,40,14237,75214,23192,0,1810,4926,46538,671,0,0,32795,25146,275,2305,477,6785,818,798,2335,1956,36040,4620,0,31,7949,5852,1988
15308,112829,466,15145,13,15379,79170,27122,0,1962,5383,47954,481,0,0,35551,22632,170,2590,602,6322,1069,789,2597,2057,37652,4774,0,104,8308,6732,1989
20069,124856,549,15781,31,18477,85052,25318,38,1877,5269,48423,571,0,0,37135,20279,54,2495,727,6480,669,824,2808,2303,38808,4917,0,250,9833,7758,1990
20508,121851,578,16710,69,16212,69982,26926,0,1717,5658,52022,493,0,0,40920,14441,54,2402,753,5974,953,894,3513,2254,39971,5803,0,204,9683,7709,1991
21122,128603,588,17133,82,15446,73289,29226,0,1987,5892,53600,653,0,0,41914,12082,50,2296,820,6241,1285,829,3663,2732,41912,6061,0,187,9629,8021,1992
21549,136111,524,15897,75,15217,70943,26857,0,1793,5262,50552,726,0,0,39959,10510,56,2271,876,6335,1254,847,3968,2665,44418,6270,0,154,10194,8973,1993
20540,124706,529,16428,82,15964,76322,30050,0,1981,4719,50472,472,0,0,39617,9900,50,2372,763,6261,981,801,3856,2605,47852,6639,0,187,10551,9520,1994
20662,127619,435,16121,94,15249,68673,32214,0,2022,4280,52898,378,0,0,39373,8580,46,2431,760,7172,856,748,4088,2677,53251,6657,0,172,10495,8712,1995
21392,132377,509,15443,109,15170,71456,35633,0,2270,4674,53207,426,0,0,40782,9723,36,2392,698,7058,914,771,4036,2551,56419,6678,0,169,11010,7985,1996
22323,140451,520,16182,42,17034,63718,41305,0,2431,4642,48160,520,0,0,42042,11164,51,2467,762,6611,802,805,4359,2684,62250,6915,0,230,10647,8294,1997
22305,141502,455,16353,12,16278,63699,41389,0,2669,4691,47625,440,0,0,41522,11343,55,2353,738,6650,1132,732,4058,3032,63390,7305,0,211,10953,8115,1998
20422,140979,501,14315,1,15699,59068,37393,0,2926,4982,43997,409,0,0,40813,11086,56,2340,715,6462,927,542,3908,2334,61142,7102,0,233,10636,7028,1999
18495,135435,490,14053,11,18952,55995,38612,0,2904,4593,39726,763,0,0,39154,22886,57,2505,694,7058,1069,367,3754,2130,61374,7093,0,338,9900,6266,2000
19633,136134,526,16211,26,19420,35379,38705,0,3006,5251,41713,439,0,0,44879,15129,53,2404,1422,8537,1569,784,4843,2204,62575,6999,0,165,10328,7454,2001
18325,138465,493,16000,3,18700,62528,40559,0,2565,4644,41317,411,0,0,43562,16282,49,2444,723,8847,1444,818,4661,2092,60491,7109,0,252,10058,7188,2002
16877,133433,386,15880,2,18494,57825,44222,0,2116,4335,39325,382,0,0,44880,15158,46,2518,706,8453,1475,817,4693,1867,58282,7264,0,1492,9633,7319,2003
15988,133950,332,15596,9,15462,54841,40577,0,2145,4213,37560,377,0,0,41120,13792,64,2024,606,9309,1160,759,3773,1505,57259,6171,0,5,9074,6954,2004
17845,148086,418,16817,26,19243,53643,44177,0,2037,3741,33370,434,0,0,43681,14922,66,2032,709,9218,1456,802,4449,1708,61345,6844,0,90,9898,8770,2005
16640,147486,439,17312,15,17871,54123,41231,0,1985,3571,29020,606,0,0,40769,17031,70,2089,725,9063,1616,808,4603,1661,60903,6784,0,513,10421,8954,2006
15399,141120,456,16662,2,17270,50535,43711,0,1994,2951,24068,177,0,0,41964,10843,58,1798,681,8143,1586,655,4543,1620,58888,6163,0,382,9293,8558,2007
15599,137372,377,17814,4,17137,53148,41299,0,1945,2812,22289,153,0,0,50114,11586,76,1904,682,7951,1447,661,4956,1612,58969,6020,0,204,9165,8845,2008
15403,143662,363,17276,0,15911,54944,39225,0,1641,2599,20952,123,0,0,49811,10897,66,1449,587,7717,1312,630,4562,1496,59474,5367,0,216,8789,7790,2009
14819,143658,390,16283,0,15376,53136,36083,0,1555,2204,18599,85,0,0,47544,10281,56,1315,595,6892,1224,638,3883,1618,57948,4788,0,283,7927,7230,2010
14755,148070,426,17411,0,16057,53896,42495,0,1473,2371,18293,422,0,0,52602,29524,57,1447,574,7716,989,566,3911,1690,60362,4802,0,414,8729,7397,2011
14631,144490,386,16318,1,14571,48970,41326,0,1415,2189,15764,196,0,0,53141,13948,85,1327,589,7818,839,569,3943,1725,57544,4705,0,564,8144,6962,2012
12774,133340,332,14863,0,11530,42892,37858,0,1318,2212,14248,212,0,0,49681,9545,65,1231,589,7640,737,428,4002,1446,50995,4130,0,269,6891,6478,2013
12995,122487,286,13152,10,9432,41407,36919,0,1301,1937,13246,155,0,0,47989,5844,46,1169,518,6904,512,422,3485,1319,49982,4041,0,311,6967,6647,2014
11548,104782,258,11392,20,8229,40058,25140,0,1347,1773,11550,128,0,0,43260,3752,53,1132,543,6297,486,392,3443,1202,46765,3960,0,135,6150,6044,2015
11639,102548,266,11392,15,7021,36836,26219,0,1392,1759,10566,106,0,0,40639,3437,66,1211,702,5864,370,383,3614,1146,45845,4117,0,15,5735,6294,2016
11426,106175,241,10770,22,6816,34532,34041,0,1483,1805,9523,72,0,0,36282,2882,54,1509,605,5900,461,329,3230,1156,41668,4443,0,14,5535,6774,2017
10729,107030,226,9414,5,5829,33628,38768,0,1247,1452,7674,70,0,0,32597,2329,64,1724,656,5981,348,340,3282,1019,37522,4359,0,42,4929,6278,2018
7217,101912,221,6061,21,3549,14829,37950,1591,757,855,3512,29,1,0,23843,1679,19,1158,424,3741,252,243,2185,344,24057,3665,0,33,2950,3239,2019
8131,88501,261,6579,33,2799,13478,37918,855,684,719,2969,21,0,2,22072,1391,39,1436,535,3131,182,241,2320,412,24370,3799,0,93,3048,3696,2020
8222,107641,240,5458,30,3197,14360,37363,0,634,562,2503,25,1,4,17021,1528,40,1378,614,2992,98,257,1789,447,23680,3613,0,216,3017,4375,2021
7351,102688,210,5273,7,3029,13661,33156,0,720,520,2463,31,0,0,16440,1377,46,1323,509,3254,97,240,1542,406,23368,3460,0,145,2707,5146,2022
