Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
24,1702,0,286,0,527,990,0,4067,0,103,101,19,0,0,699,1388,1,131,3,105,32,14,23,54,128,29,390,470,0,29,1960
22,1524,0,325,0,631,1074,0,4290,0,79,94,1,0,0,783,1349,2,144,4,114,19,17,17,86,157,31,401,468,0,20,1961
34,1813,0,323,0,577,1460,0,4532,0,84,232,63,0,0,961,1403,5,159,4,119,10,24,26,46,148,42,238,675,0,42,1962
61,2362,0,305,0,651,1522,0,4602,0,212,129,1,0,0,946,1611,4,194,8,101,0,14,17,38,168,136,239,658,0,40,1963
52,2085,6,340,441,610,1249,0,3815,5,65,203,9,0,0,996,1669,5,206,4,93,5,32,33,49,154,76,187,669,168,81,1964
40,1982,13,410,428,901,1306,2,3655,7,94,399,1,0,0,1356,2609,4,160,4,71,3,11,13,59,183,35,121,571,186,84,1965
56,1331,3,352,359,789,1261,0,3421,11,124,245,3,0,0,1064,2547,6,143,6,56,0,13,26,58,152,66,173,518,229,43,1966
32,1511,6,442,372,753,1225,11,3588,6,72,301,0,0,0,1052,2268,6,202,1,60,3,15,15,31,198,55,183,557,198,35,1967
101,1805,9,361,396,720,1400,81,3812,15,62,237,0,0,0,1264,2024,6,132,3,50,2,14,21,32,150,76,18,561,238,36,1968
140,1466,5,474,298,755,1298,49,1629,24,28,331,0,0,0,1061,2271,3,174,4,39,1,10,18,34,119,93,12,412,201,30,1969
59,1708,1,388,292,880,1476,132,818,9,50,375,1,0,0,1372,2292,3,132,2,58,2,25,20,46,195,94,6,562,142,34,1970
96,1527,11,452,406,773,1610,272,597,13,95,436,0,0,0,1825,2801,2,125,8,38,0,13,36,40,203,118,23,335,229,35,1971
129,1455,11,662,275,912,1946,510,431,11,82,349,0,0,0,2039,2352,10,190,5,37,0,21,37,57,195,188,31,348,337,68,1972
184,2975,76,960,614,1000,2011,1107,830,16,108,344,2,0,0,3528,3600,6,400,6,71,3,46,40,38,248,280,22,132,440,85,1973
139,2479,26,578,255,758,2603,702,2811,17,93,302,0,0,0,2100,2731,1,256,16,52,21,27,58,90,248,119,31,70,319,80,1974
172,2736,32,672,321,950,2957,774,2901,14,166,424,0,0,0,2464,3106,4,276,5,50,1,22,50,75,305,92,16,113,304,96,1975
124,4018,40,687,421,1114,3713,1215,3138,23,124,632,20,0,0,2750,4173,4,271,15,64,4,8,68,69,336,93,25,66,447,87,1976
109,4996,15,691,357,1316,5746,1464,1720,4,173,1000,10,0,0,2550,5986,5,292,7,79,39,24,43,71,336,90,39,126,441,125,1977
113,3879,21,549,277,1026,4632,1245,13,0,147,1106,2,0,0,2507,5895,3,244,7,59,19,25,51,62,336,56,60,120,386,71,1978
126,3953,29,519,545,1330,4644,1172,1,5,132,1697,6,0,0,3014,6473,7,322,10,90,2,31,29,57,348,130,60,30,456,92,1979
94,4247,29,669,338,1801,5123,1018,3,3,174,2267,5,0,0,2819,6745,1,318,11,87,4,29,29,104,389,145,145,64,360,124,1980
98,4355,65,663,259,1801,5454,1115,2,4,186,1516,0,0,0,3068,5882,9,241,8,61,6,24,31,91,354,123,111,104,434,133,1981
123,4487,173,526,252,1620,5981,1110,0,10,184,1851,1,0,0,2697,6258,5,276,4,79,11,23,34,105,285,151,102,57,376,112,1982
188,4320,176,525,172,1460,7379,947,1,2,204,1540,4,0,0,2932,5471,1,294,13,105,4,33,41,112,311,178,61,120,487,88,1983
123,5021,127,595,134,1238,4314,829,0,5,208,2087,7,0,0,2890,3798,7,235,8,91,7,45,29,122,306,138,73,36,436,89,1984
191,4809,207,676,172,1281,5820,893,3,7,299,2706,4,0,0,3637,4132,1,220,4,93,15,55,31,143,353,208,117,45,488,98,1985
138,3877,168,480,240,1158,3597,655,0,7,339,2770,1,0,0,3283,3676,1,260,5,226,3,38,37,85,435,168,17,12,589,128,1986
156,4010,110,539,323,1216,3186,744,1,6,180,2658,1,0,0,3567,3649,2,239,2,148,20,27,29,112,650,209,11,16,616,149,1987
