Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
65,3551,0,528,0,2768,1211,0,10626,0,286,239,288,0,0,1669,1147,9,442,22,198,33,19,65,226,696,99,1009,2129,0,212,1960
92,3441,0,666,0,2899,1501,0,10235,0,416,328,323,0,0,1716,1251,13,449,15,223,67,28,94,269,791,124,744,2476,0,152,1961
83,1308,0,262,0,869,900,0,3661,0,162,285,11,0,0,502,824,6,186,5,197,2,20,29,61,162,33,309,220,0,14,1962
100,6109,0,651,0,2635,1564,0,11685,0,256,729,215,0,0,1798,1428,8,406,15,384,71,35,73,281,945,100,1081,1384,0,121,1963
143,3157,12,673,211,2466,1398,8,9540,31,269,366,257,0,0,1797,1217,9,406,21,307,60,27,89,174,876,91,880,894,480,90,1964
147,2525,8,653,166,2554,1367,6,9438,36,270,325,430,0,0,1791,1343,6,439,22,303,47,26,98,207,726,208,973,809,438,95,1965
156,2724,9,768,292,2203,1307,13,7381,7,326,394,225,0,0,2226,1212,10,459,15,233,17,53,153,182,740,144,502,724,528,102,1966
217,2887,12,1001,445,2743,1481,30,7596,23,356,445,404,0,0,2331,1620,5,515,32,337,40,44,170,209,1083,192,225,703,509,138,1967
248,2973,13,842,410,2698,1470,105,5348,21,240,511,240,0,0,2378,1801,8,657,31,356,44,23,175,162,1082,218,238,597,474,155,1968
239,2989,15,949,284,2042,1880,290,10406,16,230,698,302,0,0,2712,1521,2,570,23,258,42,32,247,134,1254,246,212,714,593,225,1969
268,3431,16,826,197,1623,1865,437,8290,17,200,536,156,0,0,2882,1501,6,451,28,180,52,64,219,108,1348,275,492,563,521,291,1970
