Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
32,969,0,371,0,341,621,0,2887,0,39,72,25,0,0,653,316,2,158,9,213,2,13,20,199,320,24,3233,156,0,32,1960
19,739,0,245,0,276,434,0,2197,0,36,67,5,0,0,525,136,1,198,3,188,5,9,13,153,292,23,1516,105,0,17,1961
36,917,0,338,0,381,541,0,3150,0,31,147,31,0,0,676,492,3,225,1,185,0,7,14,169,387,8,3222,101,0,22,1962
33,952,0,336,0,343,553,0,2738,0,51,88,17,0,0,760,417,3,207,4,215,6,7,32,140,504,20,2609,107,0,20,1963
47,1001,21,406,27,367,900,3,3133,2,42,115,3,0,0,904,744,3,193,3,163,2,11,28,149,494,17,3064,66,151,43,1964
36,1296,30,416,17,448,698,3,3222,9,43,136,6,0,0,932,892,5,174,5,233,1,10,27,105,609,16,3042,74,230,37,1965
74,1326,5,439,1,487,787,12,3667,10,33,155,9,0,0,935,1133,3,175,9,233,1,25,51,127,649,5,2279,68,165,44,1966
37,1504,16,335,1,585,877,89,3304,10,51,185,2,0,0,845,1060,3,166,6,184,4,15,45,94,699,21,1488,62,122,40,1967
83,1706,24,427,7,623,947,253,3365,10,19,246,1,0,0,894,1155,7,227,4,197,0,16,31,112,666,41,1350,62,270,39,1968
84,2102,33,483,15,644,1154,303,2951,17,23,276,11,0,0,1049,850,3,235,2,282,0,14,36,104,725,55,1438,59,220,41,1969
142,2631,14,766,111,726,1178,441,3480,12,48,314,3,0,0,1175,1223,9,182,7,260,11,20,52,107,886,44,3089,51,307,65,1970
129,3130,29,684,52,848,1339,896,3699,24,49,388,19,0,0,1655,1624,8,192,5,293,5,35,67,110,1015,83,1482,55,370,62,1971
113,2590,32,647,10,657,2109,680,3214,9,63,360,75,0,0,1289,1054,3,173,6,200,0,41,47,100,823,102,1474,29,245,52,1972
113,2834,38,751,16,892,2195,994,2878,14,20,402,14,0,0,1260,626,2,170,5,154,0,33,32,107,820,142,1371,27,303,66,1973
230,3522,63,1227,27,2219,3616,2056,2498,6,118,435,25,0,0,2579,715,12,248,16,365,10,28,113,139,1225,250,1420,36,708,87,1974
235,3482,89,1363,24,2334,3426,1992,2709,5,126,498,137,0,0,2748,742,14,341,21,373,5,54,155,145,1324,319,1039,11,643,87,1975
211,3896,71,1387,30,1927,3436,1745,2794,5,182,336,3,0,0,2595,645,6,305,16,201,1,46,101,168,1311,290,948,15,797,85,1976
423,5791,155,1778,183,2172,5258,2712,4012,3,198,521,13,0,0,3947,815,10,482,18,198,7,67,135,169,1789,464,1089,37,1459,85,1977
188,2402,64,774,48,1005,3492,1444,1985,2,87,237,8,0,0,1813,265,13,199,6,55,7,19,70,87,844,212,503,17,524,40,1978
560,6804,101,2018,87,2974,7272,934,3221,3,224,676,10,0,0,4513,1478,13,489,17,158,11,88,176,222,1820,583,182,16,1506,107,1979
373,6745,122,2046,51,2881,7329,2372,1499,2,198,731,3,0,0,3741,1834,17,441,7,170,3,92,193,224,1940,614,128,15,1380,96,1980
266,8181,103,1603,46,2232,7311,2234,1943,3,207,560,6,0,0,3835,1846,9,275,11,87,11,78,157,178,1669,569,129,39,1021,66,1981
228,7550,73,1549,46,2046,8647,1600,1950,3,199,581,1,0,0,4198,1527,14,271,9,62,29,98,181,240,1837,571,177,9,958,88,1982
313,7886,72,1327,61,1969,7731,1695,1715,4,166,408,3,0,0,3636,1589,19,194,13,66,1,111,126,218,1831,534,222,23,963,96,1983
324,7506,66,1095,63,1938,8579,1354,1613,7,142,393,0,0,0,3371,1380,8,197,9,57,12,98,116,245,1802,505,155,5,890,88,1984
262,8562,68,1110,96,1794,7911,1818,1791,3,196,381,7,0,0,3679,1831,11,202,7,23,1,87,138,186,2144,501,156,9,953,98,1985
267,10353,65,930,112,1960,11111,1436,2540,15,239,438,4,0,0,3655,4260,16,252,7,54,6,132,90,254,2245,527,155,20,956,141,1986
