Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
1973,12377,0,4730,0,20201,1600,0,9619,0,260,2295,3516,0,0,7057,997,275,2187,125,1406,205,321,872,1960,8011,701,669,1011,0,1004,1960
2115,14624,0,5545,0,21368,1611,0,10071,0,497,2522,3313,0,0,8663,1300,318,2537,163,1656,191,375,897,1969,9433,876,844,1153,0,1269,1961
2596,17743,0,6003,0,23652,1956,0,11072,0,515,2904,2691,0,0,9918,1777,392,2982,175,1871,177,457,1048,2329,10731,1202,1365,1093,0,1373,1962
2734,21199,0,6837,0,26125,1843,0,11497,0,580,2899,2362,0,0,10808,1970,329,3374,176,1888,192,462,1238,2453,11613,1273,1654,974,0,1390,1963
3115,17451,225,6845,1171,27347,1993,1633,11220,237,693,3169,2567,0,0,12421,2446,355,3740,175,1900,290,482,1368,2609,12260,1607,980,987,3589,1543,1964
3454,18801,225,7523,1305,28759,1647,1776,11137,207,764,3522,2808,0,0,12578,3013,401,3373,205,1800,298,483,1386,2401,13899,1940,1724,802,4089,1577,1965
3445,17868,310,7775,1563,28573,1888,2386,10971,233,527,3201,2228,0,0,12958,3046,333,3558,188,1913,261,443,1473,2228,14269,2574,1388,1240,4524,1599,1966
3509,26004,313,9310,1567,32531,4079,4269,11436,227,423,4041,1643,0,0,14211,4377,338,4044,209,1558,242,464,1725,2467,18900,4099,1378,1874,6142,2415,1967
3620,30463,404,10598,1765,34346,6919,7473,10573,244,730,4091,2511,0,0,16564,5076,363,4351,304,1770,328,527,2352,2159,20663,5545,1276,2126,7642,3372,1968
3850,35252,449,10596,3051,38714,8698,12877,10506,292,713,4165,3163,0,0,19209,5775,351,3754,310,1217,508,575,2805,2058,22584,6537,1398,2442,8731,4087,1969
4584,37230,517,11413,3327,36560,9418,22641,11035,271,720,5347,3475,0,0,21646,6044,321,3645,336,2452,747,618,3365,1988,25845,8031,1276,2268,9228,4378,1970
5236,42090,478,12786,2848,34744,12402,25392,10253,287,938,6147,3780,0,0,23508,7978,309,3392,417,2452,737,655,4758,1931,26396,8841,1756,2047,9070,5269,1971
5935,43338,557,13222,2453,32733,16273,27217,9282,294,956,6190,3099,0,0,23211,8051,272,3232,454,2846,817,820,4863,1840,27124,9657,1400,1760,9584,5912,1972
7119,63239,1018,20465,4975,46875,14285,38123,11493,500,850,6404,3016,0,0,36635,8316,199,4960,465,2704,631,925,5550,2500,34461,11972,1296,2385,18227,6182,1973
6977,50754,816,19041,3266,35851,14930,40827,11360,459,1375,7579,3031,0,0,33816,5680,192,3864,437,2860,858,960,5018,2199,31261,11542,9,2294,14091,8692,1974
7791,56126,827,20353,3365,37046,15314,31067,12141,396,1640,8552,2303,0,0,35634,6112,193,3485,517,3286,923,889,5344,1849,32796,12276,5,2811,15116,7940,1975
7119,57914,803,17366,3120,35072,14204,26444,10799,459,1097,7820,2004,0,0,35328,5897,143,2988,375,3014,778,873,4670,1903,32244,9946,3,2560,14923,5887,1976
7704,59512,829,17109,2963,33267,14883,28928,4431,413,1619,7959,1568,0,0,35509,6596,71,2608,335,3176,1023,890,4114,1816,31324,9049,1,2266,13973,5416,1977
8157,57082,846,16172,3417,38191,17289,31921,629,396,1848,7747,1797,0,0,37146,8254,72,2729,350,3429,761,886,4078,1681,33208,9195,7,2224,15704,5384,1978
8242,52116,786,16315,3081,39235,17471,25930,98,371,1238,7737,843,0,0,40728,8443,76,3303,380,3159,695,977,4509,1701,33158,9078,7,1518,15568,5581,1979
9710,56240,832,17186,2936,40406,19700,25383,70,174,993,7219,500,0,0,44533,8368,45,2833,411,2963,767,1099,5348,1724,30944,9710,3,738,14755,6494,1980
10087,60111,847,17428,3192,40093,21019,30305,0,123,1115,6757,416,0,0,46693,9583,42,2904,466,3198,956,1216,6119,1702,29361,9943,0,659,13709,7204,1981
10655,59725,784,15694,3147,40709,28883,29713,5,112,1280,7089,326,0,0,44532,11790,45,2669,371,3148,1623,1154,6383,2078,29684,9679,20,492,13522,7148,1982
10469,58331,697,13880,2023,40344,28558,29779,26,151,1021,6411,449,0,0,41964,11657,30,2455,355,3293,1603,1278,6564,2024,29313,8546,1,179,12968,6926,1983
