Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
273,6204,0,716,0,3958,1992,0,19068,0,190,193,106,0,0,1366,513,15,359,17,118,33,51,105,92,636,116,2764,1282,0,259,1960
294,7986,0,776,0,3893,3415,0,24145,0,206,300,160,0,0,1631,434,16,500,51,105,95,78,133,80,611,116,2033,2011,0,253,1961
287,7401,0,714,0,4356,2510,0,22661,0,173,282,85,0,0,1751,357,13,347,29,143,68,70,102,127,626,167,1638,1925,0,249,1962
272,8145,0,906,0,4894,2522,0,24776,0,211,262,463,0,0,2043,575,5,451,27,236,44,76,116,116,769,173,2221,1242,0,269,1963
362,4150,31,1046,878,3649,2065,45,19183,35,306,216,94,0,0,1936,642,9,520,31,508,35,37,108,195,951,112,1787,1573,279,301,1964
380,5551,39,1288,946,3812,2391,143,25398,53,196,332,50,0,0,2403,1000,5,506,43,119,62,71,140,136,1276,208,880,1167,373,262,1965
684,6064,46,1272,1122,4249,2209,167,21967,50,230,388,54,0,0,3262,1561,11,586,49,136,61,85,172,167,1077,267,656,1031,418,344,1966
837,6447,72,1264,1428,4976,2510,315,22995,56,185,359,31,0,0,3317,1426,10,564,50,118,38,86,182,163,991,283,122,1007,456,444,1967
582,6138,40,1412,1233,4095,2620,384,24485,78,186,223,49,0,0,3533,1737,13,567,39,82,15,82,192,136,1260,309,67,847,536,483,1968
531,7077,39,1567,1396,3759,3270,926,24872,87,146,238,66,0,0,3401,1981,14,1055,42,117,25,92,171,126,1464,331,196,950,418,394,1969
