Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
72,2956,0,319,0,609,677,0,4144,0,103,217,2,0,0,469,95,18,230,15,134,174,13,92,46,379,44,72,2766,0,75,1960
175,3076,0,500,0,3500,977,0,6633,0,128,392,9,0,0,736,374,14,323,14,119,169,23,217,86,579,52,136,3853,0,244,1961
169,3542,0,487,0,4284,1243,0,7034,0,173,480,6,0,0,997,605,16,323,17,155,206,35,241,111,625,57,114,3965,0,274,1962
170,3591,0,709,0,3757,1306,0,7142,0,216,403,8,0,0,1231,847,12,415,31,152,166,32,263,110,684,107,17,3998,0,351,1963
227,3923,8,932,515,4817,1421,28,7708,134,268,225,13,0,0,1613,1071,11,473,25,174,368,50,324,204,707,108,96,4395,146,380,1964
302,3586,31,1080,773,4386,1633,34,7829,89,224,385,22,0,0,1857,1151,8,628,46,141,507,49,357,182,696,152,74,4922,217,423,1965
316,4876,38,1068,1180,4188,1586,248,7390,58,212,430,19,0,0,1841,1291,6,611,43,152,671,45,290,211,668,123,56,3985,352,364,1966
290,5309,20,875,1267,1980,1622,494,7962,68,231,409,31,0,0,2102,1439,7,600,32,104,806,55,311,244,602,114,47,4041,250,382,1967
268,4337,21,1128,1036,1203,1772,835,8647,109,253,565,6,0,0,2334,1448,16,658,31,95,919,49,381,162,727,218,77,3197,339,404,1968
362,4893,26,1207,1043,1525,1775,1532,8846,81,355,553,20,0,0,2396,1318,16,560,48,86,1363,64,489,173,804,292,97,3021,288,476,1969
434,5161,29,1394,1274,1572,2352,1894,8801,108,331,686,22,0,0,3072,1484,14,707,42,129,1029,80,465,134,892,376,44,3694,275,532,1970
436,5583,34,1623,1004,1608,3025,1843,8403,106,420,725,19,0,0,3235,2603,18,729,67,95,1279,63,453,317,1082,514,69,2964,315,559,1971
505,5592,28,1566,1083,1893,5430,1956,7915,137,310,876,27,0,0,3324,2824,20,665,78,102,1317,115,431,225,1062,418,41,2308,296,576,1972
614,8024,69,2355,1662,1779,6778,3151,4595,177,325,841,47,0,0,4886,2997,35,998,78,118,1329,128,759,208,1419,604,32,2973,443,653,1973
