Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
10056,28465,0,10826,0,60342,4559,0,33618,0,1616,3150,32974,0,0,14122,1120,70,6431,470,2649,3230,921,4219,4507,14855,1757,2137,7969,0,3001,1960
10624,42775,0,11174,0,68340,5025,0,31760,0,1736,3227,29311,0,0,14552,1080,59,6457,633,2453,3794,894,4319,4685,15398,1770,1752,7678,0,3216,1961
11098,26785,0,11988,0,84467,5617,0,33430,0,1918,3498,30148,0,0,15395,1265,71,6845,614,1748,3413,1008,4920,4972,16611,2110,1694,7701,0,3503,1962
11825,27601,0,13550,0,82390,6966,0,30432,0,2150,3677,27383,0,0,19896,1271,71,8154,681,1929,3609,977,5300,4767,17678,2145,1858,5926,0,3133,1963
14293,23915,611,17645,1229,71746,10327,12052,35323,600,2606,4278,29135,0,0,24258,1461,107,9951,835,2907,4064,1189,5838,5327,21025,3407,395,6448,7611,3862,1964
14651,21298,658,15384,169,67937,8052,14531,33624,487,2613,3604,25766,0,0,21856,1211,82,9323,781,2525,3519,1319,6285,4738,19738,2937,1803,5362,7394,3749,1965
24266,24207,709,15459,169,39242,6840,16736,32645,483,2701,3537,17903,0,0,22612,1041,92,9570,796,2192,5182,1459,6965,4173,10453,3182,359,4261,7767,3219,1966
22522,27968,823,18432,248,32966,10835,20992,40721,481,3177,5362,14721,0,0,26764,1107,122,10245,901,2839,6678,1454,8868,4387,14672,4625,557,6069,9128,5097,1967
13942,33422,690,16679,402,40417,8300,26939,42607,423,3149,3290,14574,0,0,33911,863,123,9771,1077,2144,8246,1066,10861,3413,19222,6729,880,10107,10468,6481,1968
14542,35902,870,17789,327,31636,10851,41545,40061,525,4301,4191,15872,0,0,36765,1234,103,9476,1135,2579,8857,1129,12335,4163,22868,11206,898,21791,9675,7568,1969
15273,41336,890,20110,448,28384,13095,61775,35119,487,4903,4188,15843,0,0,38194,1118,97,9327,1141,2547,7377,1181,14890,3509,22986,14235,913,35096,9265,8544,1970
16186,47397,891,27912,345,26828,23625,57151,31427,470,6063,7106,13516,0,0,49600,1179,97,11620,1393,2863,8383,1334,19846,3609,25402,17061,983,22934,10978,11270,1971
19518,51642,1057,30230,306,30012,34439,44328,29678,448,6374,8051,5609,0,0,54585,918,130,13624,1526,2927,4208,1727,21984,4296,27636,12838,867,21894,13256,13564,1972
21137,54056,1378,41298,620,43777,40534,44759,30982,478,5274,8758,3633,0,0,46898,980,100,16263,1800,3022,3877,2330,21157,4914,27255,11014,2382,18049,14186,13558,1973
24547,46000,1056,32614,542,71681,26170,32159,27710,661,3931,7366,2922,0,0,63183,498,55,11884,1503,2414,4885,2565,22002,4007,23130,10691,1234,4020,15201,10154,1974
26820,86674,1471,45173,550,72663,30758,32363,26631,488,6759,10776,3069,0,0,67546,737,119,12670,1558,3123,3916,2602,23786,4572,28291,13856,1066,1837,19494,11401,1975
