Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
1204,34977,0,6820,0,13595,13483,0,67118,0,1111,2972,6004,0,0,15368,2428,157,3596,292,6764,1625,453,2060,2133,11585,762,5269,4158,0,1781,1960
1218,37643,0,6969,0,14033,12879,0,62027,0,1245,2834,4824,0,0,15411,2280,123,3101,270,6255,1582,348,1680,1979,11971,886,5544,3702,0,1624,1961
1214,40194,0,7321,0,15507,13525,0,67558,0,1358,3274,4544,0,0,16657,2261,139,4254,305,7133,1590,384,1651,2191,12267,911,5088,4280,0,1634,1962
1407,44213,0,8243,0,14737,13883,0,69572,0,1370,3428,5972,0,0,18709,2582,174,4843,293,7350,1576,407,1777,2522,13853,862,5267,3823,0,1718,1963
1852,39235,253,8535,2073,16592,14070,376,68972,408,1409,3101,5865,0,0,20836,2551,183,5400,345,6903,2231,372,1863,2623,15339,1076,5245,2582,4538,1778,1964
2021,41036,216,7875,1832,15996,13930,373,74265,333,1316,2959,6340,0,0,21779,3095,178,5304,414,6346,2492,446,2056,2424,15919,966,3570,2521,4973,1921,1965
2440,41464,369,8094,2355,16629,13999,496,73949,296,1419,3088,5576,0,0,21472,2824,201,5215,447,5926,2010,517,2105,2286,16553,940,2937,2568,4883,2000,1966
2696,47577,419,9357,3664,17219,13155,718,70168,294,1650,3427,5062,0,0,22454,2715,203,6577,528,5879,2094,597,2691,2354,17873,1281,2646,2626,5505,2228,1967
3136,42803,441,10373,3656,18178,15107,1387,71385,354,2062,3407,4109,0,0,25117,3340,182,7843,558,5581,2397,622,3023,2601,18888,1641,3305,2249,5080,3201,1968
3575,41688,359,8986,3876,13738,16525,2099,66804,349,2297,3325,4656,0,0,22217,3024,173,6985,572,3409,3309,653,2611,2452,16576,1285,2728,2016,4571,3404,1969
