Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
446,7243,0,2280,0,4935,4444,0,34231,0,578,660,1037,0,0,3081,1910,29,724,82,502,1063,116,300,456,2437,160,2065,3240,0,737,1960
597,7400,0,2009,0,5538,5509,0,37682,0,641,841,1184,0,0,3319,2206,23,783,64,390,958,137,271,407,2534,169,3184,3886,0,814,1961
643,8431,0,2308,0,5391,4564,0,38684,0,563,652,1256,0,0,3601,2190,18,1097,112,336,1532,104,403,468,2760,222,2110,2973,0,718,1962
641,7850,0,2481,0,4937,3455,0,36679,0,775,699,1238,0,0,3687,2037,26,1106,78,548,1745,109,487,412,3079,278,1562,3336,0,879,1963
508,6388,55,2782,480,4576,3584,357,38388,295,724,623,895,0,0,3511,2392,40,1001,105,543,1244,121,427,409,3339,377,902,3752,552,843,1964
919,4969,63,1930,440,4896,3537,266,34048,241,494,465,688,0,0,3328,2539,22,890,75,390,1173,119,300,392,2878,289,1371,3271,667,727,1965
709,5240,43,1954,464,4958,3263,227,34418,121,473,279,631,0,0,3259,2523,41,817,74,345,1532,148,379,370,2672,308,969,2672,509,760,1966
952,7357,77,2967,724,6092,5569,419,41185,151,742,963,762,0,0,4320,3013,63,1187,153,895,940,213,565,453,3908,538,1011,3617,1367,1309,1967
1217,6352,102,2349,730,6595,4676,338,34475,78,363,488,475,0,0,3927,3015,38,1017,125,423,784,135,452,381,3114,296,885,2322,682,1138,1968
1334,8575,59,2826,949,6285,6295,775,37772,153,717,871,660,0,0,4571,4016,44,1104,140,605,676,151,572,457,3442,379,1058,2092,417,1374,1969
1412,9123,77,2636,997,5584,7265,1375,37715,130,959,701,561,0,0,4949,3301,12,930,115,445,1010,141,495,381,3355,427,1106,2503,762,1269,1970
1673,9031,92,3086,391,5236,7836,2077,37785,149,891,832,694,0,0,5007,3287,16,1106,121,492,1221,202,682,378,3315,464,755,910,527,1318,1971
1672,8229,152,3650,446,3966,13502,3224,37105,165,562,1006,696,0,0,5554,4726,30,1010,141,377,797,249,838,499,3713,731,212,135,715,1219,1972
1240,7417,158,4534,422,3649,9035,4551,24652,130,467,576,640,0,0,7308,2742,26,1737,103,134,458,201,907,462,3888,802,27,45,1062,1084,1973
2550,13178,283,6745,1129,5846,19835,8141,54292,412,1255,1790,627,0,0,10417,6958,94,2142,214,1315,588,445,1366,897,5297,1649,0,572,1373,2129,1974
2694,15185,180,7118,871,6221,21428,7509,56631,387,1059,2262,492,0,0,11105,6164,54,1875,245,717,382,390,1289,598,6036,1699,0,26,1737,2528,1975
3243,15010,225,6354,876,6152,21876,10023,49579,300,931,1979,453,0,0,11068,5979,37,1751,169,620,553,415,1089,617,4972,1694,0,0,1611,2395,1976
3118,15633,288,6239,842,5899,24269,10891,50555,365,1058,1977,468,0,0,10334,5399,55,1829,232,515,943,412,1117,704,5147,1447,0,0,1522,2435,1977
3744,14489,223,5684,524,5475,24643,8837,45964,453,1020,2015,315,0,0,9692,5291,37,1841,212,433,1026,420,1196,729,4275,1565,0,0,1516,2375,1978
4459,14869,238,6080,758,5683,23398,8646,47113,464,1237,1872,314,0,0,10217,4983,35,1811,300,580,665,478,1334,824,3633,1936,0,0,1515,2861,1979
3696,14832,278,7041,666,5179,25939,8920,48396,482,1289,1915,258,0,0,10437,5572,33,1773,232,794,1032,471,1190,924,4172,1896,0,0,1621,2738,1980
4113,15472,289,6062,481,4812,31555,11758,51404,455,1100,1753,166,0,0,10495,5981,50,1656,235,677,646,437,1013,866,3928,1877,0,0,1277,2885,1981
4870,18273,310,6296,573,5359,35318,11622,54028,565,1243,2083,286,0,0,13580,6434,26,2085,305,551,915,448,1115,1101,4021,2159,0,0,1508,3235,1982
4008,16750,288,5517,361,4502,35896,9130,45843,383,1127,1593,194,0,0,12964,5387,29,1787,241,500,1141,463,1096,1117,4121,2102,0,0,1649,2808,1983
3341,16328,370,5475,834,3884,31419,8925,43217,443,1137,1505,198,0,0,12487,5671,35,1588,224,356,1260,503,918,996,4946,2013,0,0,1529,2533,1984
3545,18257,342,5967,663,3672,28415,8997,39182,505,1321,1514,184,0,0,15222,4990,33,2020,205,599,1256,429,827,933,4899,2101,0,0,1828,2551,1985
3370,19693,331,6549,797,3844,26509,8952,38643,480,1483,1714,111,0,0,16102,5527,32,2303,244,442,1227,426,915,976,5164,2279,0,0,2092,2672,1986
2920,19317,332,6048,854,2955,22173,9016,33821,453,1489,1517,125,0,0,15027,4605,33,1866,206,312,754,437,911,1074,4758,2571,0,0,1381,2311,1987
3241,18974,296,5508,973,2662,20807,9334,31345,479,1184,1311,84,0,0,15653,5477,29,1926,221,412,754,426,861,814,5287,2562,0,0,1421,2344,1988
3574,21459,329,5180,636,3085,19921,10467,32312,498,1015,1559,39,0,0,15656,6550,31,2408,177,474,445,411,901,1041,5607,2223,0,0,1507,2223,1989
3790,21737,371,5154,797,3027,23928,8918,35953,505,934,1802,64,0,0,15448,6703,31,3023,267,423,815,548,945,865,6733,2038,0,0,1726,2277,1990
3898,22010,456,4659,1041,3246,23953,8061,32971,499,1013,1887,58,0,0,15820,6287,27,2643,229,475,539,493,1060,1086,6464,1818,0,0,1683,2408,1991
4147,20294,390,4296,1031,2995,22911,9163,30816,470,1122,1616,53,0,0,15404,5750,32,2220,197,527,603,511,1070,1149,6736,1974,0,0,1704,2611,1992
4199,23670,460,4094,1253,2535,25074,10303,30195,493,1060,1929,70,0,0,14168,5078,34,2394,243,722,362,435,1034,1007,5831,1880,0,0,1441,2918,1993
4468,24906,451,4062,1965,2915,22802,12390,28536,515,1213,2075,74,0,0,15859,4908,30,2196,241,890,289,455,1032,988,6257,2110,0,0,1615,3059,1994
5401,25621,395,4146,2421,2816,21319,13971,28695,603,1428,2088,51,0,0,15787,5083,28,2462,236,945,314,430,1094,888,7067,2575,0,0,1458,2923,1995
4899,24081,448,4253,4001,2791,21658,14347,27882,666,1432,2603,33,0,0,16016,4573,25,2417,216,1096,187,445,965,981,8127,2120,0,0,1438,2580,1996
4535,25652,355,4085,4372,2801,20391,17194,27424,673,1279,2739,59,0,0,16611,4449,27,2342,213,1289,548,416,915,950,9442,2158,8,2,1611,2744,1997
4667,31844,339,3967,4936,3093,21381,19916,29433,766,1233,2891,48,0,0,14575,5012,27,1964,182,1386,425,417,826,1014,10100,1997,2,2,1589,3119,1998
4018,33896,203,2591,1416,2689,20559,19467,26705,689,1220,2972,11,0,0,10598,4217,20,1411,201,1297,352,308,561,940,8704,1511,0,0,976,2317,1999
4782,37074,279,2798,3748,3020,22071,22114,25500,724,1019,3181,13,0,0,12332,3737,25,1626,182,1378,284,396,682,897,9845,1714,0,0,1338,2530,2000
4911,37635,233,3139,3556,2757,21972,21695,24848,711,1069,3040,13,0,0,11223,3490,21,1699,161,1193,421,385,696,974,10313,1522,0,0,1412,2291,2001
4902,38972,242,3105,3242,3003,22165,22114,24574,629,1020,3162,23,0,0,11836,3139,35,1775,174,1258,316,436,759,865,10592,1577,0,3,1538,2485,2002
4845,37779,298,3227,3102,3021,20942,23013,24795,597,1121,3317,11,0,0,13307,3029,24,1277,159,1111,346,365,678,786,10215,2091,0,0,1567,2315,2003
4744,35972,229,3059,2402,3373,19485,22712,24341,564,1294,3666,320,0,0,13394,4010,35,1121,175,1194,561,354,639,831,10330,2273,0,26,1411,2335,2004
4622,35842,307,3010,2255,3044,16827,22464,23102,542,1144,3217,21,0,0,11749,3245,27,1166,171,1059,457,348,697,729,10466,2500,0,1407,1411,2390,2005
4372,37499,375,3054,2295,3273,17124,22321,23996,540,943,2659,49,0,0,9785,3795,14,1024,166,847,451,277,769,771,10378,2276,0,0,1440,2651,2006
4370,39579,278,3067,2200,3474,18238,22338,25176,642,977,2667,5,0,0,10810,3295,28,1010,183,1072,434,320,793,782,10309,2558,0,2,1553,2520,2007
4688,40307,278,3128,2230,3401,19069,20720,25530,661,835,2513,7,0,0,13088,3055,11,596,160,979,412,316,836,727,10243,2274,0,0,1567,2136,2008
4782,41578,258,3103,1894,3656,19603,20959,23477,573,833,2773,10,0,0,16333,2751,13,502,200,962,411,271,868,794,10001,2463,0,3,1502,2018,2009
4518,41902,255,3037,1976,2882,17597,19886,22000,487,799,2282,46,0,0,14915,2566,16,448,161,895,247,243,762,662,9481,2244,0,1111,1438,1945,2010
4294,38474,185,2896,1853,2795,15291,16828,20609,459,734,2002,10,0,0,15007,2008,10,542,153,900,191,248,698,563,8901,2165,0,166,1269,1855,2011
3986,32894,198,2663,1395,2682,14442,17173,20032,427,633,1746,5,0,0,14941,1913,5,538,135,763,366,237,614,572,8944,2431,0,4,1337,2058,2012
3940,31608,229,2390,1249,2449,13370,17049,17129,441,620,1686,11,0,0,15726,1664,8,529,157,671,330,218,662,491,8462,2594,0,6,1254,2175,2013
3677,30093,163,2367,1002,2126,12894,17726,16347,487,556,1625,40,0,0,16329,1614,10,597,131,745,140,241,732,476,8847,2545,0,696,1177,2033,2014
3841,27131,146,2180,1044,2330,11653,19061,14655,514,607,1727,12,0,0,15980,1553,21,600,184,677,8,235,725,446,8859,2547,111,201,1382,2276,2015
3740,22929,215,2130,1069,2004,12440,22573,13712,391,691,1664,35,0,0,13286,1440,20,653,185,629,6,217,662,418,8392,2816,9,34,1245,2252,2016
3777,23742,148,2316,860,2116,11007,20996,12982,410,622,1509,51,10,2,11298,1414,11,730,161,560,358,183,726,461,8278,2908,2,59,1284,2250,2017
