Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
187,4805,0,862,0,2128,1853,0,16764,0,437,521,175,0,0,2736,3441,10,628,32,203,84,90,135,190,754,195,14,2537,0,232,1960
233,6223,0,1206,0,2336,2182,0,18779,0,371,915,186,0,0,3582,4198,19,750,37,408,78,95,195,290,909,293,19,3443,0,274,1961
264,6028,0,1018,0,2039,1862,0,17360,0,323,827,39,0,0,3410,3722,4,650,40,263,70,78,178,272,825,254,9,3576,0,286,1962
337,7706,0,1287,0,2393,2094,0,17433,0,414,909,51,0,0,3986,4150,11,713,34,409,79,67,143,313,963,275,78,3227,0,319,1963
348,5786,54,1404,1914,2307,2814,65,16742,90,338,846,163,0,0,4438,5242,16,892,22,345,81,77,182,326,1079,278,84,2101,630,296,1964
452,6551,80,1821,2845,2583,3431,93,17209,231,437,861,98,0,0,5381,6267,20,979,53,406,94,83,264,396,1282,439,36,2549,867,317,1965
540,6712,104,1955,2927,2724,3824,121,15865,294,374,750,96,0,0,5657,7645,10,1156,44,473,80,103,221,291,1188,359,25,2123,822,398,1966
615,10264,103,2361,2440,2937,4188,487,18481,215,291,804,44,0,0,6240,6561,10,1131,39,401,144,92,308,289,1363,564,70,2349,867,453,1967
671,9518,160,2541,4063,2747,4451,1068,17218,233,369,736,224,0,0,6644,8422,16,1347,53,330,212,108,390,391,1382,839,28,1625,1021,540,1968
608,7706,108,2233,3025,2034,3263,1187,8198,51,268,549,82,0,0,5318,9106,21,1125,47,303,9,85,216,277,802,566,78,973,840,318,1969
846,12258,205,3034,4034,3147,5274,2881,16330,218,493,691,202,0,0,9709,10191,17,1452,96,248,208,105,546,331,2251,1211,2,955,1130,760,1970
1130,12287,181,3447,3442,2999,7532,3971,14932,92,495,856,282,0,0,10885,11103,33,1663,67,342,188,149,612,421,2211,1347,14,684,1218,790,1971
945,13769,129,3639,3260,3295,10462,3803,4439,55,508,640,51,0,0,11243,7717,20,1483,86,301,172,163,562,322,1647,492,12,325,1198,686,1972
1074,15321,238,7017,5277,2486,12879,7251,1312,66,666,752,46,0,0,16354,11301,36,3025,119,289,255,243,715,414,1921,707,19,123,2374,881,1973
1546,14816,217,6219,3027,3716,16379,8632,1230,15,655,766,55,0,0,14910,13384,48,2432,99,173,626,221,899,519,1812,464,51,261,2340,1164,1974
2295,7966,302,6120,2757,4236,20729,8198,687,1,575,1007,81,0,0,16029,13441,28,2269,122,115,632,211,784,470,1573,514,11,153,2875,1058,1975
2472,6807,304,5444,2484,4572,23031,10262,15,5,641,1199,141,0,0,16663,12473,36,2223,107,86,677,267,899,606,1767,475,0,55,3216,1318,1976
2851,7743,316,5833,2978,5065,26302,10006,3,7,684,1120,146,0,0,17967,13513,33,2110,108,76,664,272,1031,621,2176,509,0,62,3130,1352,1977
