Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
2992,32359,0,6884,0,35729,3297,0,65627,0,438,791,14938,0,0,9944,5454,207,2996,263,735,920,719,1905,2758,5977,484,2182,3749,0,1697,1960
2828,34155,0,7325,0,32558,3026,0,59514,0,434,920,13807,0,0,10938,5277,197,3238,237,779,878,675,1923,3662,6197,606,2361,3827,0,1709,1961
2662,38204,0,7280,0,30933,3570,0,62762,0,420,828,13876,0,0,11398,6932,157,3328,256,507,950,813,2150,4601,6431,525,2068,3419,0,1931,1962
3240,37917,0,9728,0,28286,3718,0,58541,0,452,893,10740,0,0,14045,6149,223,4374,327,922,879,776,2245,4874,6591,782,2552,3083,0,1956,1963
3303,24023,494,10755,13190,25544,3968,1261,54908,73,488,668,13401,0,0,15180,10964,151,4612,477,911,1107,798,2148,3820,6943,992,3385,2742,4742,2131,1964
3368,22246,584,10411,13718,24933,3853,1294,56188,66,432,657,11692,0,0,14944,13322,296,4403,352,680,1037,842,2344,3068,6476,699,1599,1999,4940,2281,1965
3768,25113,598,10875,16604,24225,4514,1870,57648,75,484,660,10206,0,0,14642,14271,269,4682,399,665,873,905,2422,2803,6802,708,915,2151,5297,2235,1966
4183,25493,579,12164,19144,24647,5453,2754,61263,82,570,756,8534,0,0,14998,15918,232,5596,452,742,731,826,2913,2381,7289,882,3066,1691,5813,2606,1967
4836,25683,704,13582,16697,26931,6121,4534,54356,65,629,765,8367,0,0,16958,14715,255,6446,489,706,809,787,3700,1833,8022,1163,1022,2399,5563,3596,1968
4999,26845,650,13593,18089,25356,8577,7226,56323,59,752,753,8619,0,0,17701,15054,229,6254,639,659,967,999,3990,2034,7922,1352,1377,3036,6057,3745,1969
5179,25953,526,13751,15427,24505,8803,11971,52620,48,869,864,7948,0,0,19648,13948,210,6370,696,611,1029,846,4592,1879,7604,1759,2693,3049,5917,3961,1970
5213,32377,540,12240,18185,25814,8831,13371,53240,76,832,1015,7074,0,0,20617,13126,85,5648,759,399,844,796,5380,1631,7251,1754,1166,2639,6517,5039,1971
5290,34873,701,14725,39949,22965,9229,13596,51736,77,1163,975,6973,0,0,19846,15445,227,5177,750,415,1088,1171,5945,1991,6931,1920,753,1486,7139,5382,1972
7401,46677,1254,22289,85299,32139,11193,19526,50404,68,1222,1049,4610,0,0,31905,23011,1769,8739,814,370,1505,1375,7464,2478,8620,2618,1740,828,13219,6154,1973
