Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
81,1761,0,653,0,1058,137,0,2958,0,57,64,80,0,0,849,115,3,314,4,20,17,6,44,166,332,36,443,32,0,62,1960
103,1988,0,703,0,900,169,0,2990,0,53,72,139,0,0,796,105,5,265,7,20,6,10,55,160,350,51,475,84,0,91,1961
163,2145,0,851,0,705,181,0,3091,0,80,79,54,0,0,906,390,19,339,5,18,8,13,31,213,476,116,457,69,0,97,1962
204,2971,0,951,0,779,125,0,3136,0,69,110,102,0,0,1051,561,15,365,13,10,19,10,69,162,493,109,498,57,0,98,1963
204,1967,6,988,357,970,140,38,3388,30,73,34,98,0,0,1267,644,9,347,8,10,19,10,82,157,525,83,393,47,484,149,1964
248,1573,14,995,200,622,95,77,2804,14,43,76,77,0,0,927,588,9,323,16,12,45,24,90,186,485,136,130,106,523,135,1965
232,1807,12,879,109,626,223,97,2694,4,80,81,69,0,0,951,624,16,483,12,9,28,19,110,139,434,84,224,39,696,115,1966
358,2221,14,1148,23,909,562,175,3003,12,157,95,126,0,0,1274,696,5,492,11,12,45,19,98,119,549,143,623,71,757,186,1967
365,2062,32,1241,126,837,574,381,2474,10,117,171,61,0,0,1240,587,10,534,17,11,58,30,184,109,630,284,863,47,514,217,1968
406,2679,81,1200,25,951,509,482,2532,22,94,169,60,0,0,1845,548,9,391,21,15,66,35,210,112,635,299,977,91,659,241,1969
567,4469,60,1368,249,1298,727,1039,3197,27,179,284,184,0,0,2502,1059,10,386,36,21,96,27,215,166,1121,559,2077,70,753,353,1970
690,6266,58,1669,171,1477,990,2241,3996,31,191,366,295,0,0,3005,1247,17,522,25,51,40,44,288,239,1464,1001,3190,136,1294,334,1971
821,7120,69,1736,59,1972,1240,2709,1158,22,169,442,147,0,0,3069,917,24,508,20,38,129,59,251,202,1493,830,2890,152,1478,437,1972
863,8147,104,2092,188,2438,954,3133,116,19,114,376,77,0,0,3766,649,8,580,21,83,121,69,522,210,1514,994,2757,129,1875,390,1973
946,7361,98,2221,165,2600,1258,2518,172,23,137,567,60,0,0,4657,916,14,380,32,40,145,42,320,207,1335,1069,3147,365,1976,371,1974
960,5291,81,1981,135,2513,1132,1247,313,19,73,550,18,0,0,4162,693,6,250,18,37,8,36,180,177,838,752,2786,284,1674,302,1975
859,5398,86,1936,111,2501,1046,1355,382,40,105,587,46,0,0,2458,607,7,296,7,36,29,21,166,192,1111,813,2995,214,1853,383,1976
982,6889,123,2357,197,2463,1367,2117,206,41,161,661,63,0,0,3771,793,8,284,38,38,357,62,324,230,1700,937,1496,190,1849,453,1977
1043,7113,92,2354,166,2801,1305,2486,85,44,85,450,88,0,0,3664,955,4,267,37,66,402,50,346,208,1773,842,1819,87,2036,526,1978
1218,7367,140,2537,146,3406,1388,2453,141,43,103,565,111,0,0,4390,901,10,276,28,71,637,64,352,201,2001,845,1603,140,2124,613,1979
1081,8134,147,2466,89,3554,1479,2425,84,52,116,636,140,0,0,4668,2290,10,363,45,89,503,111,385,192,2320,894,1581,44,1960,589,1980
1403,8735,165,2464,105,3500,1660,2871,79,65,188,774,125,0,0,5255,1441,4,387,41,87,750,134,363,176,2596,1042,1498,54,2247,740,1981
1325,8850,162,2375,108,4119,2414,3226,135,55,145,769,88,0,0,5132,1698,6,304,39,73,623,138,405,186,2777,970,1442,27,2281,748,1982
