Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
458,6315,0,1064,0,9831,2203,0,25715,0,251,203,1045,0,0,2264,1738,6,328,119,201,110,62,112,152,1058,127,2966,1152,0,1073,1960
462,6269,0,1332,0,8988,2197,0,26332,0,305,263,996,0,0,2479,1845,21,365,98,216,145,83,99,145,894,104,3276,1224,0,1230,1961
450,6257,0,1065,0,9098,2074,0,26202,0,222,40,789,0,0,2493,1763,2,309,87,50,104,43,92,140,726,77,3221,852,0,1117,1962
514,4157,0,1153,0,9159,2017,0,26251,0,190,39,748,0,0,2243,1441,19,334,100,84,75,78,107,136,897,86,3124,723,0,1058,1963
637,4653,50,1727,41,8510,2128,6,24670,0,289,318,1096,0,0,3165,1353,25,526,75,93,91,83,173,192,1024,93,1202,664,197,1130,1964
645,3143,36,1287,29,8185,2051,35,25997,6,281,138,496,0,0,2868,1201,36,410,107,78,170,91,187,240,1299,129,2312,660,132,1124,1965
734,3119,29,1374,41,8577,2259,56,26898,2,238,207,694,0,0,3125,837,23,534,119,211,105,88,216,271,1563,120,2058,675,177,1336,1966
671,3516,22,1312,26,7781,1960,29,27539,1,177,71,547,0,0,3636,941,22,592,103,98,14,67,221,239,1460,94,1295,746,313,1425,1967
849,4345,34,1687,35,8228,2372,126,25904,2,218,336,378,0,0,3445,1575,13,623,131,338,15,109,243,181,1936,161,628,589,268,1459,1968
1255,6562,39,2545,55,8893,2693,173,30417,2,440,1055,640,0,0,4671,2322,21,769,185,383,37,138,397,285,2680,253,699,857,578,1731,1969
1829,8032,47,3014,43,9165,6513,591,32522,4,456,918,593,0,0,5353,1865,27,831,198,307,76,165,479,359,2937,354,871,826,448,1994,1970
1676,7483,48,2652,23,8497,5295,1072,30236,2,361,976,892,0,0,5869,2267,27,671,260,328,151,140,493,334,2914,377,732,800,522,1979,1971
1728,7153,76,2614,67,8173,6669,1703,30194,3,477,439,836,0,0,5180,2488,31,599,688,273,122,232,523,397,2782,371,543,852,428,2075,1972
2761,8914,83,4084,86,8709,6990,3342,33026,9,506,741,941,0,0,7624,2890,28,1048,275,204,206,272,738,379,3530,434,498,840,830,2387,1973
4585,16868,145,7254,206,15561,20989,7699,55434,41,1132,1519,1278,0,0,11644,4849,70,1094,523,735,378,416,1490,424,4920,1030,349,787,1162,3956,1974
4914,14952,151,6876,141,13248,20639,6527,48945,22,1327,1625,889,0,0,12100,5033,52,1008,457,961,297,388,1289,475,4398,981,206,352,1189,3232,1975
4242,10140,127,5481,143,11699,16906,7857,36539,25,1041,2866,674,0,0,10340,4123,40,915,299,823,454,371,905,507,3691,661,0,125,1342,2333,1976
4044,8593,140,5336,61,11102,19334,6707,40740,16,1066,3527,841,0,0,10833,5460,34,797,342,539,396,434,902,629,5189,590,0,92,1630,2433,1977
