Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
22,723,0,216,0,439,595,0,2398,0,42,81,3,0,0,321,144,0,116,1,15,0,10,16,37,46,11,23,125,0,8,1960
23,647,0,221,0,535,675,0,3304,0,88,100,11,0,0,392,135,2,102,6,65,1,6,17,20,75,30,47,331,0,1,1961
11,952,0,208,0,665,576,0,3485,0,62,66,1,0,0,483,139,2,119,3,16,0,19,9,20,90,17,113,194,0,13,1962
41,1451,0,354,0,967,718,0,5054,0,75,114,29,0,0,638,264,4,195,6,28,1,14,17,37,192,40,116,471,0,25,1963
62,892,13,374,153,848,819,2,4425,36,73,60,9,0,0,902,370,5,195,3,15,1,15,28,24,132,32,71,400,293,21,1964
81,1177,22,247,98,698,634,5,3974,5,35,28,1,0,0,942,475,1,103,3,16,0,7,8,35,116,18,1,228,373,19,1965
50,1185,13,237,190,808,598,1,3963,7,46,65,2,0,0,949,602,1,150,1,28,2,12,12,35,145,12,13,213,249,18,1966
137,1458,11,440,229,774,767,15,5135,14,75,59,21,0,0,1108,958,0,185,21,53,1,18,24,31,204,36,22,227,331,72,1967
100,1744,15,499,201,833,928,38,5308,20,77,71,5,0,0,1200,1110,0,181,15,42,4,27,46,52,180,74,51,167,416,66,1968
119,1859,3,395,268,820,974,86,5075,47,47,133,5,0,0,1386,991,6,141,7,54,10,17,23,54,265,57,82,205,212,39,1969
93,1482,23,562,211,876,938,94,4952,38,68,235,0,0,0,1666,882,4,133,12,55,11,25,42,49,235,85,68,231,347,81,1970
138,2369,13,597,173,861,1288,300,5971,22,55,248,2,0,0,1946,1048,2,123,7,64,6,19,49,46,320,58,292,144,354,52,1971
100,1379,9,506,192,860,1879,279,6271,13,31,202,1,0,0,1904,1028,1,155,6,61,2,15,31,55,300,88,249,88,355,48,1972
110,2063,33,897,472,999,1946,573,5779,48,69,216,8,0,0,2685,1530,6,374,16,55,4,34,64,67,387,136,8,67,715,109,1973
189,1495,19,593,268,1072,3099,645,1447,54,123,352,10,0,0,1975,1307,4,188,7,24,4,17,38,45,367,125,17,63,436,91,1974
190,1564,11,815,256,1425,3455,840,496,68,185,514,16,0,0,1959,1242,5,243,10,82,11,24,86,71,425,91,34,28,563,92,1975
275,2230,10,745,349,1361,2935,708,465,55,105,399,10,0,0,1868,1342,6,220,11,60,5,45,92,56,470,95,27,27,460,81,1976
303,2727,129,914,267,1959,4233,985,984,85,130,752,19,0,0,2119,1904,6,336,9,65,24,47,58,69,593,215,18,117,595,95,1977
304,3040,26,908,165,1918,4326,669,171,38,144,877,11,0,0,2231,2031,10,327,8,36,29,37,67,61,569,285,52,18,553,89,1978
248,2858,36,919,122,1591,3706,670,304,27,206,1021,4,0,0,2497,2102,9,277,18,74,8,40,76,89,576,239,71,35,654,89,1979
251,3197,30,917,153,1848,3393,608,708,19,190,887,22,0,0,2643,2510,5,240,10,42,19,36,61,86,591,248,23,35,698,110,1980
271,2535,30,873,131,1779,4006,923,548,18,177,533,6,0,0,2762,2720,4,256,13,91,3,37,56,119,583,179,10,10,654,100,1981
251,2694,25,690,186,1736,4380,913,466,11,182,451,2,0,0,2601,2715,2,160,13,38,16,37,50,96,553,173,19,11,541,92,1982
247,2690,39,789,161,1757,6659,809,289,16,210,464,58,0,0,2603,2452,5,114,17,60,18,39,44,131,599,253,11,18,497,101,1983
340,3665,28,663,148,1488,6125,861,82,8,199,472,17,0,0,3231,2425,3,191,6,188,29,61,37,103,784,224,5,31,388,100,1984
242,5174,26,730,151,1346,5566,914,62,15,259,476,4,0,0,3215,3273,2,172,8,114,39,57,32,142,962,244,16,14,559,131,1985
368,6384,33,745,219,1583,5795,559,108,16,215,466,1,0,0,3682,3540,7,187,23,102,32,51,43,140,994,260,109,10,681,116,1986
