Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
517,6697,0,1848,0,7464,3325,0,48078,0,284,231,2941,0,0,2564,2153,17,562,166,142,428,67,239,231,3597,152,3411,2530,0,857,1960
599,6240,0,1973,0,8066,3267,0,44059,0,365,288,5014,0,0,3234,2434,22,586,112,226,372,57,265,290,3965,136,3820,2410,0,969,1961
672,6963,0,1878,0,9108,3591,0,46513,0,372,338,6484,0,0,3319,2279,24,686,105,177,342,91,247,308,4502,150,3747,2421,0,1115,1962
818,7428,0,2074,0,8551,3942,0,49592,0,336,733,6562,0,0,3856,2215,52,872,94,206,322,108,238,381,5248,243,3889,2471,0,1118,1963
1103,7744,23,2306,227,9128,4510,10,49988,567,379,457,6368,0,0,5032,2123,40,867,109,304,328,116,339,440,5577,228,3491,2360,899,1277,1964
1090,8050,26,2527,288,10212,5058,13,49966,300,545,733,8337,0,0,5232,3034,41,958,142,374,333,155,364,344,5640,324,3878,2378,871,1427,1965
1345,9356,49,2834,765,11591,5019,32,55541,21,408,1193,7827,0,0,6266,2382,39,1198,187,188,366,194,480,401,5506,364,3478,1809,865,1767,1966
1487,9977,50,3144,710,11305,5103,64,53579,26,423,968,3059,0,0,6325,2357,51,1072,219,109,320,162,504,328,5930,391,3707,3395,995,2289,1967
812,9156,90,2767,326,8813,4076,74,42857,9,402,365,1937,0,0,4918,2217,31,857,164,88,325,113,484,240,4580,283,3887,623,842,1984,1968
1797,10562,83,3388,498,10814,5492,206,56594,23,814,1789,2108,0,0,6746,2615,41,1081,270,160,703,172,716,344,6698,608,4355,1544,1168,2472,1969
1876,13693,67,4229,1608,10876,5394,477,57457,24,778,1957,2276,0,0,8375,2228,40,1274,241,466,1029,220,802,378,6680,791,3972,1753,1211,2571,1970
1700,16784,85,3828,1173,8277,5841,970,53821,26,910,2438,2199,0,0,8158,1724,49,1344,283,440,1845,227,911,388,6806,827,4752,1499,759,2579,1971
1885,17754,70,3192,1360,6975,6690,1448,41684,41,907,2149,2522,0,0,7295,1136,20,1118,310,571,829,253,789,345,5624,820,3250,427,1047,2294,1972
2863,24837,249,6686,3682,10821,9890,4002,52349,32,1276,3167,3063,0,0,14715,1718,62,1650,555,892,1325,278,1510,1791,7389,1623,8628,239,1588,3554,1973
2558,20582,216,5472,1271,10811,13228,4731,55121,83,1403,2567,3333,0,0,11713,2066,146,1137,371,691,1297,341,1206,644,6057,1381,5674,245,1000,3301,1974
2930,26689,191,6244,1086,12435,17570,5105,69129,71,1542,3698,3146,0,0,14396,2431,49,1029,462,694,1244,348,1356,853,6782,1670,4914,199,989,3727,1975
2503,18798,133,4714,667,9326,16190,5375,51257,85,1133,3546,2595,0,0,11103,2757,35,737,307,740,806,273,1043,590,5946,1341,3515,163,953,3009,1976
4114,22733,206,5525,606,9776,22123,6741,53301,95,1468,5299,2103,0,0,12482,2781,39,941,339,1067,637,363,1062,548,6850,1598,2295,171,1221,3196,1977
5835,26359,335,6602,796,10477,24934,7699,64133,165,1450,7023,1991,0,0,15409,3129,38,1402,377,1464,1042,368,1541,607,7021,1906,1104,420,1494,3526,1978
6365,26243,314,6534,861,11121,27482,8442,68206,187,1408,7626,2034,0,0,15020,3337,29,1627,339,1796,682,423,1683,654,6585,2376,885,532,1586,3775,1979
6897,27082,320,7150,669,10209,23310,7522,62614,139,1764,6847,1480,0,0,15920,3320,28,1240,377,1958,647,525,1523,621,6043,2341,488,322,1338,3377,1980
5031,23714,286,6207,575,7686,21205,8788,56288,119,1451,6168,1165,0,0,14466,3131,39,905,316,1712,484,434,1252,557,5549,2212,467,377,1183,2607,1981
5189,23635,277,6223,482,7817,22765,8603,55207,114,1588,6656,859,0,0,13589,3362,41,1494,370,2369,810,542,1551,550,6150,2549,456,471,1058,2943,1982
6894,27711,306,6166,576,8508,25225,7545,53369,183,1470,7880,1337,0,0,18047,3385,28,1323,321,3570,707,495,1815,586,7206,2529,249,231,1328,3212,1983
4633,30212,216,5124,403,6918,23485,5438,48872,79,1574,6596,697,0,0,15369,2463,39,1176,280,1291,710,726,1465,713,7972,2476,373,249,918,2874,1984
3568,21769,212,4294,634,6479,19033,4359,39629,68,1313,3771,496,0,0,14351,1681,34,1418,255,683,695,684,1340,743,6447,2342,158,174,742,2788,1985
3438,18850,194,4019,972,7439,19284,4000,38428,60,1154,2992,393,0,0,13728,2586,36,1660,253,439,415,576,1202,733,5773,2083,79,122,987,3077,1986
3639,20856,209,4063,979,7118,20530,4628,37045,71,1425,4201,313,0,0,13639,2887,8,1669,226,735,448,584,1166,672,6927,2318,81,53,1484,2858,1987
3680,20781,191,3650,1003,6589,20673,4922,35820,78,1293,4792,314,0,0,12717,3027,36,1426,201,731,333,548,935,701,7429,2129,47,65,1486,2844,1988
3563,23320,162,3448,1034,5633,21076,6378,34399,86,1403,4427,268,0,0,12507,4140,53,1454,188,694,499,464,932,518,6607,1798,85,120,1540,2679,1989
3687,25887,212,4143,1632,6998,21965,4846,36639,29,1669,3542,399,0,0,17243,5646,65,843,314,1003,1131,527,1349,411,8623,347,133,100,1984,3147,1990
