Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
4186,42281,0,9396,0,25561,10963,0,143663,0,1925,1913,10281,0,0,15665,8995,124,2861,482,569,3398,348,1239,1668,4976,420,20963,17580,0,3433,1960
4664,44052,0,10609,0,29887,12560,0,161512,0,2077,2032,9424,0,0,18584,11232,117,2954,509,954,2924,462,1190,1955,6375,357,20519,19639,0,3510,1961
4131,42544,0,9866,0,27556,12867,0,142020,0,1863,1852,8518,0,0,17565,10066,115,2818,455,556,3369,423,1077,1968,6487,404,21060,17987,0,3389,1962
5454,46501,0,10043,0,25108,14590,0,141201,0,2189,2567,7627,0,0,20088,10866,144,3293,542,784,3195,508,1188,2366,7836,372,20379,20213,0,3727,1963
5664,42634,245,11376,1545,25913,14248,875,137166,823,2458,1972,9064,0,0,23635,13131,149,4103,539,849,3734,502,1456,2458,7625,462,22600,19819,3555,4381,1964
6084,44158,189,11453,1464,25315,14660,989,137501,1231,2278,2429,9291,0,0,25822,14681,112,4008,551,1063,4252,523,1458,2424,7540,347,18779,19393,4524,4505,1965
5863,44135,203,11993,1760,25113,16428,1094,143921,1331,2021,2170,7347,0,0,28014,19100,157,4457,686,1107,3924,584,1643,2251,7667,357,18982,15476,4332,4993,1966
6016,43150,270,12348,2569,25633,16218,1846,145143,579,2084,1831,6920,0,0,29762,20971,108,4598,699,752,4647,609,1814,1869,7230,363,18451,15998,4933,5710,1967
6337,39498,228,13751,2092,22806,15934,3279,143350,745,2051,1710,7090,0,0,30144,22688,143,5286,785,633,6471,643,2091,1770,7437,490,17725,13933,4891,6203,1968
6707,46208,313,14576,2786,23815,18474,5610,143543,642,2245,1718,6949,0,0,33958,21890,222,6024,787,606,6656,718,2641,1817,8372,470,19012,17723,4868,6483,1969
7311,50601,346,16434,2213,29909,25592,12002,139579,256,3072,2594,8241,0,0,42426,18983,218,6176,940,907,7707,801,3056,2160,8568,695,17994,8492,4490,7122,1970
7613,54041,359,16491,1545,32063,31098,12222,148336,315,2487,3096,9492,0,0,39417,18243,163,5359,954,785,8249,863,2945,2256,8544,693,9586,6655,4746,7917,1971
8590,58061,466,17234,2039,29535,42777,20070,148475,410,2398,2845,9287,0,0,40972,18164,339,5170,998,556,6571,1093,3477,2247,7956,988,10234,3461,5233,8472,1972
9618,73221,611,26961,3562,34485,42111,31061,154226,474,2648,2557,7545,0,0,63684,17110,201,8366,1090,616,6171,1562,4889,2321,8738,1288,13838,3515,7333,9464,1973
8466,68565,395,25090,1142,32872,46008,34065,152223,376,3088,3160,4741,0,0,59769,8641,152,6122,1182,1289,5558,1234,5269,2188,9938,1074,9396,1658,6340,10593,1974
9247,71473,533,30542,1246,36653,57450,37865,179631,257,3436,3671,4690,0,0,76429,8798,236,6806,1493,1614,4823,1454,6238,2351,12474,1069,7799,1189,7079,11712,1975
9055,78597,509,27983,1149,35890,63104,52606,192214,94,3880,5826,4477,0,0,75784,9445,192,6792,1389,1951,4843,1527,5370,2540,14066,817,7764,694,7253,11115,1976
10683,90758,629,31163,1658,39279,80723,59694,214032,124,4579,7794,3349,0,0,77243,12446,234,8784,1727,2119,5668,1804,6234,3493,16805,1373,7177,749,8542,12359,1977
11388,92332,642,31593,1312,39558,90614,59807,219549,106,4621,9681,3146,0,0,79362,12646,281,10746,2016,2419,5226,1917,6741,3757,18565,1576,6823,602,9093,13519,1978
12769,92345,709,30859,1526,41117,88616,47855,235151,126,4937,9858,3072,0,0,84419,11246,294,10923,2048,2711,4616,1970,6540,3698,19131,953,6711,665,9299,14843,1979
10746,79593,648,26293,1320,31997,69810,42995,199817,102,4381,7642,2978,0,0,72412,8762,233,8039,1753,1901,3825,1662,5896,2894,15776,1026,4294,499,8281,13416,1980
13611,91441,814,32024,1644,40601,85965,50263,250537,130,6158,9957,2629,0,0,90913,14186,293,9671,1984,2397,4619,2182,6546,3209,19274,1484,4285,1601,9663,16537,1981
14774,104517,725,36554,1165,42432,110750,51661,280297,125,7120,11101,2970,0,0,102332,19638,355,10726,2162,1978,7204,2364,8364,3721,22951,1482,2475,928,10508,20204,1982
13752,109992,841,32348,1763,37628,148199,50542,266882,100,6572,11685,3626,0,0,96062,17321,326,9475,2042,1847,7728,2132,7223,3985,23138,1516,2534,544,9966,20137,1983
13873,118986,857,31271,2029,39997,132732,56254,248133,132,6774,10927,3401,0,0,94257,15566,324,10312,1902,2415,6977,2091,6647,4966,25575,1430,2236,542,10122,20759,1984
14787,123397,845,33939,2194,40303,130608,60125,226336,184,7070,10847,2952,0,0,105479,14974,306,11024,1900,3032,8082,2108,6853,4841,28123,1489,2500,582,10896,21257,1985
16962,121104,887,36216,2063,40270,120708,57790,214379,195,8158,10357,2577,0,0,115584,20164,291,12243,1709,3381,6405,2208,7982,4864,34891,1778,2413,553,11471,22310,1986
16390,124494,877,36002,1864,33964,113803,61574,181151,240,8073,11186,1534,0,0,116665,23895,258,12800,1593,2702,6031,2154,7620,4810,42202,1923,2207,377,10966,19521,1987
16674,139392,921,33537,1702,27788,101199,61188,155620,265,7804,11074,867,0,0,114048,22943,282,13263,1625,3232,4997,2097,7147,4738,44145,2302,1818,750,11163,17466,1988
18574,162441,1004,33348,1697,29197,102798,71654,165040,388,7982,11981,990,0,0,115626,23481,220,15289,1547,4119,7751,2119,7654,5325,48649,2371,4648,672,12442,18661,1989
22912,179539,1107,32054,3116,31867,112422,62230,201558,231,7364,12033,1173,0,0,119736,25130,269,15786,1775,5132,7995,2585,8894,5672,60588,2117,7406,1419,14756,20285,1990
24329,179769,1067,32116,3676,31723,111925,61709,193515,273,7927,12078,893,0,0,122523,23110,259,17044,2013,5516,8127,2702,9662,6001,67038,2041,5550,834,15297,22222,1991
26469,200020,1083,29386,4032,33455,110009,69962,194900,227,8143,11967,1005,0,0,114620,21148,232,16298,1932,6822,7676,2765,9738,7109,77360,2280,6559,1121,14989,25152,1992
