Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
97,2860,0,836,0,450,1231,0,7050,0,165,327,29,0,0,1868,536,13,363,6,78,5,29,98,271,525,59,739,473,0,52,1960
97,2874,0,811,0,529,1584,0,7935,0,164,287,45,0,0,2193,705,3,452,6,135,24,22,242,274,654,102,719,375,0,70,1961
114,3942,0,751,0,474,1356,0,7055,0,128,319,22,0,0,2721,627,3,390,8,99,7,44,106,264,796,45,42,426,0,100,1963
127,2766,15,840,651,451,1264,11,5543,34,166,276,0,0,0,2670,606,8,451,8,89,20,34,93,199,825,81,58,601,549,88,1964
117,2815,16,738,490,633,1186,57,6407,27,151,275,9,0,0,2542,842,5,315,11,80,25,10,74,213,554,70,39,537,614,70,1965
119,2867,18,826,558,538,1218,105,5576,25,124,330,6,0,0,2379,1086,6,404,11,104,39,24,86,248,641,77,20,400,479,111,1966
295,3796,44,1084,812,621,1743,77,6694,27,222,387,11,0,0,2659,1438,16,551,25,220,45,25,146,271,795,90,19,474,531,159,1967
224,5460,29,1313,768,762,2049,304,6213,60,300,299,18,0,0,3593,1268,7,578,19,97,108,50,118,294,875,89,17,538,629,179,1968
281,4301,25,1368,682,901,2046,642,6107,67,338,369,8,0,0,4229,1315,12,617,22,116,242,68,221,297,1082,110,21,530,568,221,1969
286,4629,30,1373,728,739,2076,970,6457,78,275,382,2,0,0,4743,1180,16,641,23,108,121,45,196,252,1169,144,19,384,775,211,1970
