Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
1922,18126,0,2833,0,17050,4216,0,44435,0,649,1853,2636,0,0,5537,3784,87,1073,163,3721,132,141,446,5182,9388,288,300,1771,0,881,1960
2155,18960,0,2856,0,18285,4560,0,47113,0,731,2303,2512,0,0,6487,4392,76,1095,130,4250,130,209,436,4774,9769,340,120,1813,0,962,1961
2224,23058,0,3203,0,21203,4594,0,47203,0,747,2517,2826,0,0,7012,3957,93,1169,183,5761,142,279,587,6333,11566,469,84,1751,0,1061,1963
2686,22717,73,3412,160,22538,4085,51,54195,662,867,2100,2940,0,0,7836,4093,115,1524,221,5813,196,267,450,4947,11744,429,83,1810,667,1432,1964
2407,21838,141,3132,366,21630,3680,66,52554,509,734,2376,2824,0,0,7424,4138,145,1696,209,4377,167,283,563,4542,12961,415,121,1590,800,1347,1965
2627,26303,139,3780,476,22516,6687,101,57161,513,823,2951,3004,0,0,8970,4275,257,2073,274,4748,221,312,673,3802,14474,591,170,1691,1568,1759,1966
2683,32498,157,3874,612,20927,6879,73,55737,550,785,2972,2989,0,0,9151,3530,273,2142,278,4805,351,358,724,3309,14220,725,316,1512,1897,1787,1967
2540,29190,181,3899,664,17806,6908,186,48395,516,757,2935,2082,0,0,8771,2912,276,1939,305,4098,128,288,775,2291,13808,646,21,878,1862,1727,1968
2621,25583,126,4406,720,18949,4717,407,49048,689,896,3196,1533,0,0,9882,2880,127,1958,292,5498,175,375,984,2529,14856,770,47,195,1650,1861,1969
2782,31262,167,4902,576,21638,7574,1310,54048,783,1132,4228,2079,0,0,11927,2736,256,1911,299,4523,253,399,1125,2371,15708,776,115,88,1748,2321,1970
3054,38916,264,5790,1142,19957,8628,3892,50528,149,1101,6206,2047,0,0,14683,3026,188,2296,386,3671,199,484,1347,2149,18925,922,107,82,1939,2211,1971
3078,40799,231,6437,1069,18954,12707,4333,50865,164,1198,6678,2219,0,0,15680,2867,249,2267,440,3452,179,503,1603,1850,19060,823,54,65,2366,2730,1972
4397,41721,253,7366,2396,16098,14200,10042,42853,144,1143,7965,1687,0,0,18924,2247,227,2633,391,3238,284,451,1731,1610,18791,1124,29,52,3319,2538,1973
3765,41520,253,7195,1710,15265,15696,10975,42818,128,1442,11122,1764,0,0,18193,2633,158,1956,430,3555,317,532,1825,1602,19005,1178,149,76,2629,2703,1974
