Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
1,312,0,21,0,205,125,0,683,0,12,35,0,0,0,98,74,1,30,0,28,0,0,9,16,10,4,0,36,0,0,1960
2,327,0,65,0,207,174,0,878,0,19,39,4,0,0,142,103,0,38,2,44,2,2,1,23,56,1,0,40,0,1,1961
2,293,0,54,0,199,111,0,667,0,16,46,0,0,0,105,81,1,23,0,29,0,1,3,13,12,3,0,38,0,0,1963
12,215,1,72,0,269,117,0,763,1,15,44,0,0,0,129,142,2,38,1,46,1,1,5,18,7,2,0,33,25,2,1964
3,234,1,35,0,208,81,0,558,2,14,26,0,0,0,104,126,0,19,0,25,0,3,1,10,12,1,8,30,9,0,1965
4,200,1,41,1,283,109,1,655,2,2,27,0,0,0,154,186,1,49,1,26,0,2,2,12,19,5,13,20,20,3,1966
12,243,1,61,1,386,169,0,775,3,17,27,0,0,0,87,186,0,56,3,27,0,3,1,16,45,17,10,37,5,8,1967
12,296,1,110,8,558,232,17,852,8,17,27,0,0,0,234,117,0,45,2,33,0,4,7,15,122,25,15,24,69,0,1968
34,293,2,73,0,540,275,44,557,1,27,54,4,0,0,199,228,1,56,0,28,0,7,7,22,96,17,3,78,33,2,1969
99,576,2,94,18,548,315,96,542,2,26,48,0,0,0,227,271,0,40,2,28,0,1,7,16,158,17,12,51,28,2,1970
64,493,2,151,20,734,421,115,470,7,34,59,0,0,0,393,188,1,55,0,7,0,4,4,17,155,38,41,28,68,5,1971
117,766,4,160,32,899,682,117,490,3,26,57,0,0,0,406,82,1,39,2,5,0,3,0,23,157,65,9,11,150,5,1972
64,792,7,245,83,835,588,195,365,1,54,128,0,0,0,655,35,3,67,1,5,0,6,4,28,217,68,12,7,156,5,1973
81,883,8,258,16,735,782,169,250,4,78,172,0,0,0,678,81,1,80,4,21,4,7,10,23,176,62,9,10,137,13,1974
59,655,4,268,3,938,958,75,219,8,47,108,0,0,0,804,109,1,81,3,28,0,9,10,20,237,98,11,6,162,5,1975
55,679,5,191,17,520,660,110,184,1,34,152,3,0,0,607,96,1,62,5,5,0,3,23,11,215,114,3,8,135,1,1976
28,625,9,218,30,482,476,74,186,7,36,168,0,0,0,622,85,2,54,1,9,0,5,11,15,170,73,43,7,156,9,1977
53,1225,51,522,3,441,583,147,102,15,63,332,0,0,0,927,131,4,91,4,14,2,2,8,50,328,204,9,2,244,5,1978
73,723,45,431,1,341,327,99,13,25,49,358,2,0,0,877,84,2,102,4,4,0,2,8,45,291,144,29,10,278,7,1979
65,485,62,406,0,333,123,6,2,20,78,344,0,0,0,765,81,6,58,6,3,0,1,22,53,328,173,4,7,299,1,1980
83,818,47,423,0,340,549,84,13,28,70,335,0,0,0,939,161,3,80,7,2,0,6,39,68,343,159,2,6,257,3,1981
87,1139,27,303,8,489,782,81,29,23,81,415,0,0,0,975,200,3,104,10,4,4,15,28,91,365,143,24,0,335,1,1982
62,1263,57,410,8,453,961,79,19,29,83,328,0,0,0,999,194,2,86,11,6,1,9,29,95,386,172,7,0,338,11,1983
92,311,8,204,0,390,1769,109,3,11,42,197,0,0,0,578,137,0,21,3,11,19,15,7,90,229,53,11,2,171,9,1984
227,757,18,484,0,779,4072,485,0,35,119,533,1,0,0,1234,274,0,61,7,19,1,31,50,189,650,172,0,1,453,14,1985
264,755,22,459,0,800,4004,410,0,31,175,600,0,0,0,1371,333,0,57,6,18,0,40,34,224,864,195,0,1,505,12,1986
236,839,15,579,0,771,3483,543,0,22,140,692,1,0,0,1543,293,0,62,3,35,0,38,21,164,839,218,0,0,498,9,1987
240,805,21,464,0,784,3353,665,0,37,174,762,0,0,0,1422,457,1,69,5,23,1,42,24,218,913,174,0,0,554,5,1988
247,777,22,502,0,658,3339,485,1,35,194,617,1,0,0,1331,559,1,74,2,18,0,32,35,233,996,195,0,0,593,8,1989
246,611,31,558,0,558,2436,456,3,37,101,475,1,0,0,1154,521,0,66,5,27,0,34,21,195,1047,175,0,5,470,11,1990
166,460,23,398,0,367,2395,303,0,11,81,351,0,0,0,832,361,3,32,11,119,2,28,27,161,874,161,0,0,339,5,1991
125,418,13,398,0,309,2130,221,0,14,73,279,0,0,0,758,354,1,21,5,145,1,25,16,157,808,111,0,0,282,0,1992
119,831,29,241,0,53,1136,383,2,12,33,146,0,0,0,750,190,0,46,6,243,2,84,4,116,195,110,0,0,231,3,1993
63,224,14,171,0,174,1467,0,0,11,18,115,0,0,0,349,144,0,15,1,140,0,28,2,16,428,35,0,0,83,3,1994
89,257,23,168,0,225,1501,285,0,12,21,136,0,0,0,337,224,0,20,3,144,0,34,0,17,519,53,0,0,86,2,1995
43,205,18,106,0,145,1014,184,0,10,30,93,0,0,0,252,218,0,10,1,113,0,20,0,9,324,28,0,0,49,0,1996
90,1592,20,170,1,437,2092,508,0,13,59,373,0,0,0,751,1233,0,39,3,303,1,34,0,18,756,69,0,1,236,6,1998
217,2544,15,321,1,879,3096,1072,0,22,69,363,0,0,0,967,2445,0,79,7,435,2,70,4,29,1406,143,0,1,291,9,1999
237,2462,8,285,0,892,3037,1117,1,38,152,462,0,0,0,1158,1461,0,67,7,388,0,53,5,35,1331,128,0,0,393,13,2000
245,2398,36,269,1,976,3208,1345,7,20,148,497,0,0,0,1159,637,0,103,2,317,5,47,3,18,1432,136,0,0,371,19,2001
266,2911,20,339,0,871,3221,1512,3,35,153,614,0,0,0,1118,738,1,118,9,344,2,67,6,28,1467,138,0,4,393,11,2002
272,3017,24,266,1,945,3072,1444,1,30,129,473,0,0,0,988,789,1,74,10,349,5,53,13,33,1483,142,0,1,368,12,2003
280,3166,22,303,0,1022,3887,1538,0,35,119,525,0,0,0,1074,700,0,99,9,367,3,81,10,55,1498,183,0,0,419,17,2004
314,2796,17,274,0,1014,3964,1533,8,34,108,566,0,0,0,1157,790,2,100,11,312,3,66,13,67,1653,150,0,1,482,14,2005
379,3874,19,376,2,1167,4160,1846,10,46,129,522,0,0,0,1377,824,0,118,7,380,3,74,24,53,1861,173,0,2,485,18,2006
350,3930,19,358,0,1072,3673,1602,5,42,121,422,0,0,0,1353,855,3,103,9,339,2,40,24,53,1692,168,0,2,448,27,2007
439,3582,28,386,0,994,3343,1391,9,49,101,392,0,0,0,1485,746,0,115,13,358,6,81,24,36,1677,146,0,2,484,32,2008
459,3357,19,360,0,849,3442,1423,5,51,76,332,0,0,0,1699,692,5,105,6,366,7,68,27,41,1824,147,0,0,480,25,2009
436,3020,21,330,0,760,2766,1335,6,42,64,269,0,0,0,1454,454,1,98,7,316,6,81,30,18,1661,135,0,0,415,14,2010
523,3165,17,384,0,917,2945,1332,4,57,72,309,0,0,0,1490,405,1,120,7,369,2,58,18,39,1875,173,0,1,461,27,2011
512,4002,28,389,0,862,2921,1599,9,63,72,305,0,0,0,1701,459,2,93,8,348,3,68,26,35,1802,178,0,0,456,29,2012
462,4044,29,303,0,824,2753,1339,3,55,65,293,0,0,0,1730,269,0,68,6,265,10,60,31,39,1590,203,0,0,362,22,2013
416,4026,15,223,0,711,2404,713,1,48,39,225,0,0,0,1291,112,0,32,12,207,14,43,26,34,1363,114,0,0,280,20,2014
444,4106,10,216,0,783,2303,713,1,65,39,215,0,0,0,1356,125,0,35,7,179,4,46,42,27,1346,103,0,0,310,20,2015
428,4323,12,247,0,821,2365,859,1,71,36,194,0,0,0,1340,106,0,29,5,189,10,54,34,36,1314,114,0,0,321,24,2016
570,5030,18,291,0,875,2694,1203,0,51,64,277,0,0,0,1409,130,3,33,13,195,4,79,40,45,1438,103,0,0,393,31,2017
537,5058,20,220,0,856,2634,887,0,58,58,323,0,1,0,1350,87,2,56,13,205,1,89,40,42,1507,95,0,0,322,38,2018
686,5262,14,252,0,933,2698,917,0,58,50,316,0,1,0,1620,63,10,75,10,221,3,95,53,35,1691,96,0,0,429,40,2019
642,3764,29,204,0,641,1954,757,0,37,41,183,0,0,0,1011,52,3,63,11,211,1,72,38,35,1480,80,0,0,350,22,2020
704,2676,25,195,0,466,1459,781,0,36,35,146,0,0,0,940,36,3,83,9,163,5,80,35,28,1464,83,0,0,502,29,2021
728,4066,15,210,0,427,2254,704,0,36,52,172,0,0,0,1347,46,6,103,11,15,1,90,56,40,1541,85,0,0,354,29,2022
