Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
266,6282,0,1715,0,4231,4984,0,31960,0,553,577,97,0,0,5321,3592,32,1080,32,368,140,60,232,885,1344,101,2115,1981,0,284,1960
225,5966,0,1954,0,4551,5133,0,33735,0,595,627,85,0,0,5829,5118,22,1352,38,658,172,65,258,973,1673,216,2543,2770,0,277,1961
315,7842,0,2025,0,4876,5988,0,38427,0,640,637,81,0,0,6940,6438,27,1508,44,543,200,66,283,988,1815,265,2099,2459,0,242,1963
445,7003,80,2351,1300,4084,4566,142,35699,67,578,560,75,0,0,7564,5485,37,1929,40,1010,179,39,265,1107,1628,416,1883,1512,1709,292,1964
507,5465,147,2495,1324,4904,4638,163,34640,53,655,720,51,0,0,6822,6604,35,1600,37,402,304,65,257,906,1604,556,1436,1952,1746,267,1965
623,5832,142,2862,1689,5090,5460,264,35034,54,578,689,42,0,0,7818,8471,43,2052,50,408,274,66,286,884,1648,517,1330,1605,1866,421,1966
811,6010,164,3139,3121,6167,5325,857,37581,53,669,641,48,0,0,10040,9227,33,2189,49,360,418,64,408,964,1954,493,1648,1684,1994,517,1967
807,5866,127,2904,1714,4968,4282,1710,25296,50,567,304,55,0,0,8404,7848,34,1775,50,342,79,82,264,746,1203,356,1408,1225,1377,341,1968
767,7674,123,3164,2057,4190,6975,2391,24007,19,540,422,65,0,0,9696,7712,31,1534,44,321,170,72,400,752,1540,362,1017,1172,1362,327,1969
1036,14097,194,4645,2347,4109,7998,4395,33973,69,876,726,114,0,0,13429,6702,46,2130,88,860,479,94,713,1135,2843,709,2221,1519,1763,751,1970
1094,18885,182,5017,2429,4637,9947,5099,32119,36,889,720,126,0,0,17210,8824,33,2237,95,730,368,108,888,1265,3140,654,2650,1676,1897,803,1971
1094,12088,170,3433,1616,3654,7819,4224,19352,20,550,569,52,0,0,12373,7990,29,1390,56,221,182,103,380,605,1514,481,905,544,1439,497,1972
1280,17839,370,7502,4414,5441,9567,8007,26857,54,744,1067,58,0,0,23428,11901,29,3728,80,236,854,189,1234,948,3954,1135,3034,1210,3542,1081,1973
1495,17843,300,6851,1400,5033,11182,8929,25590,59,997,1306,38,0,0,19881,10418,31,2475,123,311,853,202,1062,1169,3580,930,2332,1590,2791,1151,1974
1774,18536,292,7733,1078,5624,13144,7696,504,65,986,1503,132,0,0,19976,12278,78,2436,107,552,1071,298,1122,1209,5184,1024,2190,1633,3258,1151,1975
1841,21638,328,7132,1008,5281,14532,8938,518,71,1093,1581,129,0,0,23245,13675,45,2310,124,216,1071,375,961,1433,5905,1227,1857,682,3621,1266,1976
1493,15074,232,5969,769,4607,13393,6455,458,29,970,1251,61,0,0,17282,12823,59,1886,98,199,342,292,655,779,3934,1224,281,408,2737,764,1977
1817,26227,314,7295,388,4559,14358,5133,218,15,1155,1442,96,0,0,24366,16503,58,2553,122,236,1176,374,1019,1521,6845,1686,1811,334,3351,1272,1978
1767,21006,324,6355,169,4031,10591,4880,388,35,975,1442,19,0,0,19679,12315,54,2062,107,160,504,351,774,807,4887,1427,359,189,3132,864,1979
2022,20437,266,6839,109,4774,24786,5878,869,35,1112,1838,23,0,0,22756,16305,73,1893,120,157,615,468,863,1065,7485,1839,273,256,3056,1097,1980
1865,24207,270,6362,106,3989,22598,5624,556,42,1277,1350,48,0,0,22285,14452,43,1465,99,118,768,372,705,1070,7317,1693,275,210,2974,1009,1981
2146,29487,282,7073,102,3552,30465,6281,538,16,1214,1661,38,0,0,25147,17184,72,1515,103,169,662,416,762,1346,7429,1836,469,220,2987,1139,1982
2299,26813,307,6553,71,3037,31883,6941,558,18,1348,1600,15,0,0,27389,16663,113,1296,88,152,961,500,667,1504,7990,2109,441,194,3071,1301,1983
2754,29452,281,6692,84,3192,28914,6244,467,18,1370,1241,34,0,0,27834,14240,70,1496,110,253,1230,526,716,1628,14275,1957,280,229,3648,1206,1984
3619,41426,269,7398,136,2832,27871,6578,329,17,1430,1547,41,0,0,30298,13769,74,1955,91,375,1256,662,806,1798,20972,2194,228,147,4124,1355,1985
2784,37938,299,6795,230,2798,28905,7366,156,15,1393,1295,19,0,0,31417,10506,58,1619,133,352,1560,558,845,1664,21230,2459,201,172,4279,1559,1986
2864,34500,335,6660,166,3987,27924,10245,132,14,1558,1317,48,0,0,32205,14198,54,1961,127,272,1622,601,824,1656,22119,2917,199,224,4106,1863,1987
3741,41220,298,6906,268,3273,30394,13069,113,24,1814,1191,13,0,0,33648,16038,70,2034,158,381,1313,756,1038,1678,23526,3200,173,244,4643,2072,1988
3504,48086,292,6655,118,3462,33224,12223,148,30,1549,1440,13,0,0,33576,17393,39,2194,136,489,1712,817,1129,1999,26323,3080,254,122,4963,1973,1989
4222,55980,253,6101,77,3662,35661,10132,102,27,1409,1640,26,0,0,35289,17656,42,2265,147,473,1448,882,1044,2181,30608,3216,424,112,5693,2130,1990
