Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
328,13592,0,1601,0,11020,4467,0,28339,0,537,1183,284,0,0,6175,2246,37,2126,47,2564,257,82,226,2125,1754,182,3222,2395,0,831,1960
359,13915,0,2790,0,11086,4255,0,26611,0,618,1246,355,0,0,6604,2259,30,1781,42,1566,253,63,255,2199,1904,274,3637,2143,0,909,1961
330,16903,0,3025,0,12825,3454,0,24355,0,770,1136,286,0,0,8528,3736,48,2494,49,1731,227,68,409,2237,1769,306,3042,2143,0,890,1963
554,14420,139,3602,1595,14696,3708,136,25932,62,759,1309,236,0,0,10156,4053,35,3072,50,1906,189,81,353,2634,2277,340,2749,2056,3185,1032,1964
566,15949,124,4006,1625,15858,3807,111,26126,57,881,1421,252,0,0,10484,5057,22,3169,62,1940,167,74,366,2391,2100,358,2515,1863,3709,1069,1965
575,16461,198,3939,2599,17380,3329,175,25990,12,711,1278,291,0,0,11812,5991,30,3246,67,1546,125,82,372,2065,2000,401,2168,1331,3667,1194,1966
752,17805,186,4915,3324,17322,3332,442,25078,23,851,1304,286,0,0,13219,6867,27,3646,54,1594,94,99,622,1824,2207,435,3344,1222,4499,1395,1967
878,18077,333,5454,3660,16914,3498,885,25909,17,1042,1281,553,0,0,13306,7829,24,2938,80,1869,92,137,913,1755,2385,441,2478,1084,4448,1652,1968
925,20091,195,5015,4279,17754,4064,1371,27180,21,855,1330,672,0,0,14419,7905,35,3186,74,1992,171,133,764,1899,2307,593,3316,1299,3921,1475,1969
1102,21280,303,5512,4587,18941,3946,2620,26318,18,1141,1684,788,0,0,19522,8439,32,3118,123,2170,183,162,842,1641,2470,674,3593,1236,4327,1614,1970
1229,26439,334,6644,4940,19786,5319,4225,25322,32,1270,2442,518,0,0,23573,9956,35,3154,131,3123,190,194,806,1572,2483,1075,0,801,5118,1839,1971
1351,28819,335,6005,4412,20701,7474,5511,24257,19,1236,2595,348,0,0,24835,10691,49,3217,152,3072,264,188,1017,1426,2688,929,0,396,5632,1942,1972
1778,43367,534,12620,10480,29618,11744,12738,27267,25,1333,3251,306,0,0,42178,18969,64,6136,173,3086,321,365,1730,1968,3862,1795,0,315,12328,3186,1973
1569,31152,388,9128,5179,23206,14112,10557,13544,10,1186,3064,333,0,0,27407,11974,53,3444,184,4030,405,297,1597,1477,3061,1261,0,200,7951,2866,1974
1908,33461,441,9486,5396,25898,15555,9074,0,18,1526,3340,346,0,0,27988,14177,46,3414,164,3941,431,264,1924,1389,3383,1481,0,134,7868,3010,1975
1848,32530,450,8840,4443,25932,18537,10371,0,31,1493,3471,338,0,0,28322,13650,41,3105,194,3883,539,409,1582,1323,3516,1453,0,116,7521,3177,1976
1824,32321,421,8704,4004,27080,20572,11044,0,28,1425,4080,239,0,0,28204,13876,27,3408,163,2977,803,366,1374,1266,3446,1318,0,126,7771,3128,1977
1759,33348,425,8498,3718,26882,27211,12827,0,20,1403,3747,300,0,0,28282,14870,13,3511,132,2960,1145,475,1315,1405,3324,1242,0,49,8222,2991,1978
2210,32832,440,8881,3637,31287,29013,10939,0,34,1486,3458,314,0,0,29975,15483,10,3711,156,2443,1091,383,1511,1445,3943,1345,0,49,9114,3630,1979
2239,41958,459,9474,3914,34733,31893,10820,0,27,1484,4171,204,0,0,33445,19390,11,3393,140,2342,1469,334,1694,1616,4881,1506,0,127,9626,3767,1980
2276,37752,426,8739,3145,30395,28323,9728,11,33,1548,4257,210,0,0,34267,18572,27,2545,153,2269,1508,350,1480,1707,5011,1324,3,108,9024,4152,1981
2624,40023,363,8503,4169,31166,25640,9729,286,53,1675,4608,329,0,0,37941,19186,29,2138,178,2494,1668,358,1733,1559,5233,1375,427,183,8262,4154,1982
2492,54759,388,7863,4688,31545,30509,9251,372,40,1410,4137,336,0,0,37282,20857,19,2320,151,1197,1714,402,1713,1773,5922,1269,317,137,8908,4336,1983
2866,59535,409,6990,5501,32876,35870,9642,222,39,1775,4204,384,0,0,37782,19636,28,2545,137,2528,1724,431,1735,2505,7130,1352,322,112,9679,5260,1984
3116,63700,419,7391,5526,32751,37266,9402,200,40,1698,4877,311,0,0,39100,23367,42,2460,171,1100,1663,499,1535,2786,7730,1238,326,62,9547,5233,1985
3902,66175,443,6776,5811,34051,38984,7125,246,42,1596,5046,205,0,0,38586,26607,48,2869,174,1291,1270,550,1292,2661,11426,1223,343,84,9420,5090,1986
4422,72275,389,6736,5104,38981,35864,7522,225,64,1662,5295,216,0,0,40520,32033,44,3150,266,1552,1543,728,1295,2515,14592,1303,455,83,10535,5524,1987
4200,78207,487,6327,5634,40111,32919,8023,266,72,1822,7046,298,0,0,40138,38604,29,3512,172,1702,1421,593,1312,2903,15947,1359,367,108,10742,5855,1988
5189,77663,501,6673,5378,50093,33408,9872,261,74,1997,7344,331,0,0,42804,42036,52,4893,329,2426,1789,657,1380,3142,25177,1353,273,124,11370,6538,1989
4654,81163,480,6560,6122,52151,35703,9413,307,71,1856,8601,153,0,0,43623,42588,53,4900,370,3343,1836,638,1928,3685,26337,1307,320,161,12288,6231,1990
4326,85716,462,7082,6520,56897,35141,9469,172,134,2063,10012,212,0,0,46842,37361,44,5087,441,4153,1583,719,2280,4052,26376,1584,310,264,12236,6803,1991
4506,89893,519,7032,6399,59037,35296,11408,254,163,1873,9470,310,0,0,46002,33931,41,4870,448,5001,1230,689,2426,4137,26381,1574,236,145,12993,7471,1992
4454,95027,546,6925,7091,63674,35167,12637,281,156,1918,10451,317,0,0,47711,32882,39,4954,521,4567,1557,689,2300,4637,27953,1571,260,193,13643,8272,1993
5947,103746,612,6729,10213,66122,34950,16810,502,174,2227,9737,340,0,0,47175,35292,51,5045,419,5195,1702,695,2257,3893,27376,1689,229,151,14098,7955,1994
6150,112180,547,6260,11113,68475,35354,19956,206,146,2268,10363,249,0,0,45948,36446,43,5307,424,3788,1960,644,2277,3649,25346,1860,210,211,13597,6836,1995
6113,123936,516,6834,11551,73037,37594,21298,138,131,2650,11420,244,0,0,46198,42406,55,4975,478,4080,2134,697,2055,3944,24835,1955,394,152,14187,6352,1996
6189,134787,460,6591,13457,73480,37354,21508,111,192,2424,11423,363,0,0,43115,42807,69,4653,391,4793,1907,660,2012,4001,24369,1870,256,236,14241,6644,1997
1738,28758,93,944,2578,22789,3190,5614,0,1,347,391,224,0,0,8942,4388,8,266,293,1095,881,282,970,988,7670,1151,0,31,3570,2012,2001
7733,120401,338,5278,8635,74528,36726,25628,393,238,2611,10540,332,0,0,36186,45194,56,2323,359,4145,1106,809,1703,4139,18268,2385,269,211,12576,4647,2002
7137,123423,313,5131,7811,77159,36841,26142,273,275,2303,10161,354,0,0,36533,43612,55,2227,394,3519,1525,768,1650,3922,18183,2359,162,379,13700,4761,2003
3770,96281,231,4107,5048,54568,39863,20601,507,237,2328,9637,45,0,0,28255,40492,44,1947,109,2114,149,727,745,3387,14859,1453,186,237,9039,3043,2004
4546,123260,293,4390,6530,63001,39999,23796,10,169,2551,10084,27,0,0,27339,43201,48,2512,257,2194,654,803,1364,3207,16640,1208,149,3240,9153,4236,2005
5626,128765,435,5113,7261,65720,42789,25837,5,200,2492,8457,157,0,0,31259,44871,34,2621,191,2517,691,764,1640,3229,19473,1349,5,3529,11356,5182,2006
5114,128127,265,5034,7692,66509,43871,25968,5,251,2057,7451,153,0,0,34078,44272,52,2235,210,2903,826,787,1993,3074,20333,1697,0,3054,10818,4941,2007
5203,124109,403,4719,7090,65534,42075,25224,0,271,1856,6498,137,0,0,35896,42195,33,1681,197,2801,688,713,2008,2770,19926,1844,0,2795,10560,5026,2008
5411,118675,188,4548,5601,61222,40472,25215,0,231,1437,5356,214,0,0,35567,37852,29,1263,144,2697,377,650,1687,2745,18549,1700,0,3116,9799,4224,2009
