Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
256,3836,0,1242,0,742,1898,0,13772,0,177,39,411,0,0,1166,666,74,319,64,235,102,6,111,103,759,94,113,118,0,192,1960
320,4218,0,1588,0,919,1949,0,18480,0,231,87,549,0,0,1531,773,57,303,63,301,162,12,128,124,1008,106,123,111,0,213,1961
342,4685,0,1254,0,556,1858,0,15080,0,163,36,321,0,0,1433,610,71,359,59,302,68,46,126,144,1104,45,57,99,0,292,1963
406,4648,44,1520,211,385,1871,0,14599,19,180,23,396,0,0,1593,607,92,453,52,270,86,52,145,124,1151,83,161,108,103,335,1964
257,2973,26,1285,112,415,1722,0,11409,20,124,33,582,0,0,1235,578,74,352,42,222,13,39,73,86,1113,74,12,77,432,269,1965
146,1237,16,430,63,321,748,9,7668,6,47,31,122,0,0,607,279,8,202,24,99,79,13,31,39,395,53,40,101,181,117,1966
446,5190,42,1334,103,334,1950,6,14841,12,185,48,238,0,0,1729,395,56,410,78,343,28,62,130,66,1351,110,2,74,879,428,1967
851,8312,27,1226,107,373,2286,8,14860,8,115,893,287,0,0,1268,462,72,267,89,419,51,51,174,77,1372,111,18,39,790,559,1968
445,8245,31,920,103,540,3032,19,15541,17,137,930,408,0,0,1595,402,78,162,84,286,43,50,140,65,1528,114,18,37,542,576,1969
683,15334,38,1092,166,743,5301,57,24246,16,258,2680,514,0,0,2514,641,115,432,163,638,89,89,194,594,2930,223,4,27,929,1024,1970
