Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
101,1512,0,255,0,1216,876,0,2539,0,112,135,29,0,0,551,841,6,143,12,73,46,19,51,89,296,34,199,785,0,36,1960
59,1614,0,303,0,1059,810,0,2948,0,155,127,30,0,0,636,971,1,137,8,62,105,21,32,88,271,21,164,810,0,42,1961
38,1310,0,261,0,782,636,0,2258,0,68,123,32,0,0,555,658,4,131,8,51,28,12,33,77,299,13,181,506,0,36,1963
68,1113,7,271,160,825,559,4,2341,33,82,154,40,0,0,600,891,3,151,12,57,60,23,36,132,271,22,102,560,72,23,1964
86,1247,4,307,378,973,649,5,2931,4,64,163,20,0,0,717,1483,4,166,10,42,85,24,36,81,355,21,429,425,83,34,1965
90,1069,6,202,237,1075,673,3,2257,5,51,113,13,0,0,663,1180,1,150,8,33,8,17,32,55,289,29,88,412,55,25,1966
81,907,6,249,113,894,645,46,2280,2,65,120,8,0,0,896,1330,2,141,6,39,23,14,17,37,277,38,100,364,59,26,1967
87,1290,5,365,133,1142,636,120,2534,11,43,156,57,0,0,838,1566,6,161,13,10,15,18,20,56,375,31,49,332,77,37,1968
74,1374,5,280,212,1259,665,140,2209,4,47,140,0,0,0,832,1831,3,149,21,22,44,18,19,51,499,35,171,323,69,41,1969
179,1462,14,345,133,1064,580,235,1836,14,72,286,12,0,0,969,1471,8,138,16,52,15,16,65,44,404,63,61,408,92,46,1970
152,1623,13,472,255,1066,749,335,1909,6,86,261,14,0,0,1147,1543,4,224,22,20,12,33,47,50,350,85,50,261,96,43,1971
157,1431,12,375,123,722,827,498,1751,7,88,227,6,0,0,1142,1092,2,184,8,44,14,41,47,58,326,40,32,204,70,41,1972
242,1937,27,474,304,1319,1044,764,2442,25,107,143,14,0,0,1699,1218,8,271,17,33,10,34,82,76,449,47,58,198,242,94,1973
202,1421,13,439,250,1209,1329,1030,2154,19,85,263,5,0,0,1192,950,13,219,19,24,64,36,74,100,336,67,44,61,138,80,1974
279,3239,21,629,135,1088,1661,906,2345,34,137,293,2,0,0,1325,1458,13,280,44,38,81,49,144,75,470,124,35,94,172,63,1975
215,3667,28,427,105,1073,1899,908,2385,36,146,280,6,0,0,1179,1584,7,259,25,37,36,45,62,78,479,102,88,27,246,93,1976
274,4184,13,547,142,1266,2597,815,2665,35,99,301,3,0,0,1180,1995,11,324,21,31,63,39,84,91,404,74,75,68,328,141,1977
378,4905,18,521,264,1345,3014,855,3220,51,142,247,2,0,0,1502,2595,7,395,24,40,29,42,90,89,487,96,34,18,232,137,1978
504,5235,24,630,150,1911,3849,974,3288,66,112,263,5,0,0,1884,2894,9,423,29,56,48,50,88,90,498,159,47,20,352,169,1979
559,5743,30,648,130,2276,4321,1186,3666,74,172,529,18,0,0,1707,3473,11,347,33,39,85,62,91,102,577,311,27,17,359,169,1980
532,5091,30,690,140,2469,4892,1436,4004,92,192,647,11,0,0,2331,3047,5,273,21,68,53,76,62,125,629,102,17,17,346,183,1981
393,5730,25,581,201,2339,5093,1410,4058,38,160,289,7,0,0,2436,2811,8,240,27,50,27,68,70,119,697,111,7,24,302,220,1982
375,5844,33,536,184,1970,5472,1047,3113,53,132,328,11,0,0,2353,2367,7,143,26,60,21,47,54,155,591,95,9,17,252,121,1983
330,5280,32,506,175,1946,5394,922,3053,22,101,220,18,0,0,2256,2592,10,141,16,78,25,46,47,187,607,57,13,21,250,116,1984
324,5871,29,520,207,1694,5452,948,2845,23,123,181,1,0,0,2238,2735,12,168,15,102,8,50,42,165,710,56,16,13,216,146,1985
321,5649,33,528,189,1578,5186,684,2608,21,108,176,8,0,0,2510,2440,6,179,26,78,20,37,39,140,770,60,27,78,327,121,1986
363,5048,27,486,120,1389,4049,724,2317,22,106,162,1,0,0,2334,2289,6,138,6,78,3,59,36,137,686,69,42,67,263,91,1987
553,5181,17,519,179,1322,3835,812,2129,18,100,190,0,0,0,2074,2731,3,132,11,77,10,40,44,122,939,73,53,37,269,89,1988
462,5267,23,451,201,1404,3702,800,1963,23,96,171,0,0,0,2068,3821,2,169,22,103,8,47,23,105,1112,47,7,13,258,91,1989
475,5260,35,380,161,1489,4488,519,1871,16,96,161,6,0,0,2439,4076,6,149,11,143,1,42,27,125,1245,55,8,7,320,91,1990
491,6038,33,379,156,1356,5437,442,2176,19,92,141,1,0,0,2589,4020,2,154,13,162,7,27,38,117,1359,58,25,6,371,108,1991
508,6524,35,398,180,1405,5181,592,1857,8,135,197,0,0,0,2640,3995,5,149,18,254,3,43,30,145,1597,72,13,56,401,132,1992
470,7420,22,379,281,1482,4855,856,1750,12,141,194,2,0,0,2635,3527,5,176,9,348,5,43,25,147,1882,80,17,5,419,175,1993
451,8775,47,421,411,1658,4900,1191,1709,8,190,221,1,0,0,2924,3882,6,142,16,134,6,41,52,131,2325,95,18,74,496,273,1994
451,9579,45,382,364,1757,4772,1530,1645,17,167,266,0,0,0,3133,4325,3,181,14,171,2,46,43,128,2267,87,37,12,458,247,1995
501,9254,23,460,511,1850,4244,1515,1673,19,189,241,0,0,0,2851,4409,7,173,12,221,5,44,44,116,2191,102,122,21,477,223,1996
550,10908,30,518,533,1829,4183,1863,1597,13,142,319,2,0,0,2975,5085,0,193,21,236,8,50,41,140,2387,96,62,35,602,263,1997
506,11282,30,481,672,1702,4388,2220,1725,10,135,234,2,0,0,2741,5786,3,181,8,322,5,40,34,142,2296,95,140,51,552,173,1998
426,10119,9,388,632,1615,4391,2371,1665,9,110,249,1,0,0,2725,6148,7,147,9,229,9,47,35,118,2236,83,137,34,611,161,1999
549,10049,29,396,762,1477,4488,2310,1451,2,128,227,1,0,0,2309,5658,6,136,11,210,4,45,38,147,2591,91,117,12,540,146,2000
533,11078,51,415,532,1566,4698,2729,1385,6,122,272,1,0,0,2269,5208,4,114,8,194,2,42,39,153,2617,76,104,72,702,146,2001
514,11651,60,354,429,1426,4378,2738,1265,11,138,238,2,0,0,2137,4573,9,119,8,166,2,60,45,138,2645,113,59,13,603,127,2002
497,11849,32,326,367,1237,4347,2666,1453,4,117,202,3,0,0,2111,4261,3,118,11,254,2,31,34,116,2645,109,80,12,591,123,2003
480,12483,61,351,438,1286,4708,3044,1456,12,157,182,2,0,0,2070,4131,4,113,14,259,35,30,26,126,3049,87,98,19,696,140,2004
495,12830,20,334,387,1350,5082,3284,1774,7,145,180,19,0,0,2200,3930,4,121,14,307,3,35,35,152,3070,74,100,29,817,202,2005
518,13593,16,316,359,1363,5423,3163,2005,14,135,167,1,0,0,1889,4471,5,121,4,256,6,25,26,157,3227,102,118,16,864,145,2006
553,12951,23,292,461,1477,6126,3128,2515,7,93,182,5,0,0,2283,4415,3,138,13,230,4,37,43,159,3415,74,92,22,814,137,2007
539,11999,22,334,428,1469,7159,2965,2754,5,113,226,7,0,0,2592,4617,6,125,14,267,34,45,35,173,3408,75,31,34,889,136,2008
488,11643,12,286,479,1329,6662,2807,2700,13,114,225,3,0,0,2645,3934,4,118,16,215,14,43,30,164,3370,63,30,50,765,113,2009
422,10269,19,350,429,1313,5810,3103,2374,4,74,200,0,0,0,2418,3760,5,84,6,194,7,38,23,148,3168,68,15,27,748,99,2010
499,10622,32,248,341,1257,5033,3236,2711,3,85,196,2,0,0,2372,3287,10,95,8,216,13,32,28,152,2912,56,9,27,666,118,2011
429,10001,38,272,319,1057,4428,3230,2834,4,54,188,1,0,0,2378,3286,3,88,17,251,18,31,29,129,2825,54,12,16,646,97,2012
461,10116,30,237,269,1026,3971,3590,2539,9,59,203,0,0,0,2693,2727,7,107,13,206,32,37,24,141,2754,64,40,54,562,91,2013
404,9072,44,233,223,1014,3847,3503,2586,13,48,171,1,0,0,2609,2151,2,96,21,320,56,42,24,136,2734,66,13,63,572,92,2014
514,8978,61,251,196,1058,3460,3959,2472,10,57,170,1,0,0,2383,2101,6,99,12,392,40,37,36,146,2239,54,258,67,531,82,2015
518,9192,48,251,156,981,3256,4495,2671,12,49,198,1,0,0,2198,2001,5,118,13,397,56,33,19,111,2154,45,7,31,545,86,2016
556,8537,39,219,90,851,3402,4665,2942,18,50,158,0,1,0,2002,2020,0,136,10,398,48,45,29,110,2072,94,6,36,498,81,2017
547,8211,19,243,86,835,3446,4885,3073,6,36,128,0,0,0,1822,1735,4,129,12,434,53,26,21,112,1926,83,17,166,425,52,2018
367,7293,27,230,177,812,3220,4650,2324,1,29,112,1,0,0,1566,1802,3,104,7,348,19,39,23,102,2101,55,13,168,467,66,2019
435,5575,19,221,108,880,3034,3728,1415,3,22,99,0,12,3,1695,1650,2,156,8,307,3,43,18,78,2046,52,5,84,556,66,2020
279,3839,13,119,79,833,2187,2513,0,0,12,36,0,0,1,764,932,2,111,13,93,4,38,12,28,1494,10,0,4,311,41,2021
232,4401,6,93,84,964,2215,2271,0,6,3,28,0,1,2,861,1005,0,88,5,87,5,33,8,22,1540,11,0,5,294,54,2022
