Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
64358,543446,0,146907,0,478166,193498,0,1504453,0,27712,42980,127760,0,0,243489,109567,2463,67911,5925,52974,30377,8584,37517,53630,155845,12068,137572,156565,0,39229,1960
64692,572276,0,158914,0,467505,204846,0,1504507,0,29583,46893,113215,0,0,264910,121945,2446,68968,5862,53971,27504,9130,37284,52888,163668,13085,136134,158042,0,40227,1961
63358,545111,0,150051,0,472786,196634,0,1432564,0,26567,44320,106355,0,0,260796,110438,2251,71953,5649,48288,26771,9030,38230,49233,160035,12805,114361,139738,0,40323,1962
72015,662318,0,176933,0,544918,221875,0,1576507,0,30807,55071,108654,0,0,326086,131698,2763,89296,6531,60608,28651,9885,42002,62043,198410,15524,92678,151553,0,46830,1963
84426,527835,5595,194736,68886,536870,237587,34670,1569845,8648,31220,49632,115914,0,0,385757,157206,2783,105331,7013,61588,36484,10704,45703,62843,207813,19137,94812,134438,82435,51647,1964
84695,535016,6197,198427,72495,572262,242233,39686,1542912,7699,30782,52100,114489,0,0,385577,179663,2826,102048,7378,61180,33991,10779,45972,58476,207908,19138,78019,121031,89944,53919,1965
101081,559577,7038,205514,84238,539177,258661,53077,1545597,6504,30288,52745,98628,0,0,408866,195992,2976,109001,8085,57330,36633,11883,49534,55948,203102,21772,93002,105313,97138,59380,1966
107170,650752,7883,236498,96230,554008,279677,88227,1536583,6061,33450,56011,84933,0,0,448249,209819,2987,117879,9104,55325,41471,12525,60141,53357,222887,28758,99613,107297,108516,72455,1967
106968,638661,9067,253861,98567,590995,304515,136326,1435036,5828,34119,55026,76919,0,0,474562,215259,3118,125117,10408,51094,42868,12603,68672,47192,237250,37593,89054,100283,109254,83733,1968
116020,664109,8636,257612,103014,582065,350581,199319,1473291,6354,37742,61934,79055,0,0,516914,215455,3109,128296,11737,50745,49089,14474,78055,50746,257662,46728,94349,108057,107429,91547,1969
125110,798628,9353,282909,105540,583121,424581,309402,1520861,8181,43538,76100,85186,0,0,608431,221689,3116,126476,12799,56184,49390,15177,86752,49086,281780,61666,69966,102319,110204,103066,1970
141741,883941,11252,319409,103571,627849,497248,355927,1505864,7412,46116,96306,87257,0,0,683784,235382,2813,132485,14693,57216,53063,16800,102581,50995,309859,76668,55524,81128,122917,115496,1971
157878,984416,10976,323358,117450,590661,629269,410525,1419226,6798,45870,98651,74619,0,0,698323,212670,3280,124783,15859,53394,48735,19726,111370,52879,314180,76704,46426,58074,132246,124243,1972
187108,1116239,18137,507420,240701,684505,688356,591478,1305935,6127,47921,96930,65722,0,0,1004146,263163,4915,189314,17193,47897,55230,23783,141463,61096,354731,96645,55785,60365,215433,146619,1973
205821,1027440,14100,446823,125864,659447,888039,583632,1255244,7545,53914,132637,61835,0,0,933981,249476,3264,135764,18328,56488,62534,23189,135281,55288,347616,98686,44381,46608,181620,152751,1974
221447,1138719,15833,494574,123060,677225,985139,482787,1278028,10253,63443,162690,53738,0,0,1029056,286021,3342,130666,18037,59755,53285,23922,139421,54599,380057,111531,35795,61082,190598,143477,1975
215899,1424419,16073,465093,103394,689302,1026245,556587,1188068,8790,60733,171551,72369,0,0,1036408,324892,3036,131286,17696,62339,70642,24612,127598,59342,401443,107291,31903,36971,196694,141022,1976
225905,1512956,16839,463319,88509,633851,1122267,576196,1229965,6795,69505,221787,53089,0,0,1024144,329135,3005,137874,17444,55415,77441,26171,123966,62021,408429,106198,23819,44528,201248,138517,1977
258027,1753313,18185,487423,79195,679865,1210937,594521,1124127,7678,73471,243623,53132,0,0,1085020,359003,3098,153729,18685,54367,89328,28335,140771,65508,445537,112400,21907,44453,223502,149965,1978
262032,1680631,18658,476334,78718,721757,1244055,525426,1099860,8061,72076,246090,52318,0,0,1113833,406317,3159,146950,18584,53765,85772,29682,134789,63454,457030,109971,18368,36356,242729,156815,1979
265198,1701741,18994,490111,67582,740652,1326050,535585,1073742,8012,74416,268357,47725,0,0,1146932,435692,3289,132253,19192,52675,87013,30240,141819,64589,468128,118112,17464,29591,238489,160208,1980
268866,1813890,19516,493495,90960,752236,1417441,561321,1094570,8222,82066,273996,41085,0,0,1205404,455907,3209,122985,20545,52227,103741,30326,148263,68759,468965,123278,15534,31764,230479,171463,1981
280524,2098987,19226,474919,83541,825648,1552044,580235,1093137,7938,86527,287295,39012,0,0,1251804,473695,2859,117985,19795,51948,114670,30634,145995,71794,491283,123472,13561,33266,224418,175824,1982
273483,2114603,18130,436822,70108,710513,1712380,607025,1019801,7964,78702,273205,40310,0,0,1224147,453963,2640,109608,18732,50856,121367,31496,138135,80088,501661,118283,12856,32536,225298,166311,1983
282508,2179615,17641,404636,74070,661727,1702231,635387,973738,8636,79113,275474,36397,0,0,1215941,460194,2631,113665,18043,53850,116729,34036,131250,92131,550343,114902,17491,32951,235961,166374,1984
280781,2301133,18090,409990,74567,679961,1599465,721253,877963,10304,80544,301410,33105,0,0,1276266,495148,2527,124808,17495,54913,116776,35093,130797,93511,615630,119079,12228,31657,246630,170701,1985
318994,2483483,17356,410997,80573,679506,1586116,734042,838793,11146,84167,306434,30305,0,0,1317257,536030,2698,142684,18029,55583,109426,34764,136787,92645,683944,124682,13179,34987,253045,179433,1986
325931,2616139,16584,401405,82232,655148,1527435,818297,753798,11478,85568,302728,23930,0,0,1347674,556052,2401,155951,17826,55982,104038,33972,130348,92216,717820,129756,12324,33685,249195,173484,1987
332260,2391137,16057,361671,73079,640074,1414129,865368,658847,12461,80368,278937,19294,0,0,1266980,543781,2261,169189,17516,56579,85668,31565,123455,84910,742685,135782,12558,32309,247950,174181,1988
374427,2591076,15622,375736,68667,702296,1476529,1095346,713333,14047,87812,315259,17037,0,0,1325358,559640,2098,188463,18700,64346,90087,32302,137640,88815,815948,150830,14683,31584,265681,188920,1989
427264,2867705,16892,385069,75047,678419,1595407,952542,789812,14265,85153,315291,16858,0,0,1396639,627966,2176,188803,20471,74081,99063,35327,154663,94452,886061,148736,18247,33531,284957,195533,1990
412704,2826892,16634,372055,77644,627967,1453697,843114,698816,12741,86651,318654,14393,0,0,1364855,518190,2005,177263,20203,82148,91078,34123,154391,91511,871007,144932,16183,34271,277304,195483,1991
472146,3227278,17737,389675,79443,724387,1429345,945277,697790,12500,95580,367644,18387,0,0,1421674,495181,1916,187806,21363,91919,98750,35787,165480,101959,1028605,149495,16036,32125,296514,230066,1992
460271,3028555,16861,354167,85638,695902,1281795,957646,630370,11213,93512,346665,18049,0,0,1316389,438397,1895,180143,21605,96917,95990,34306,159907,93223,1021086,139708,11488,25908,279577,238452,1993
469743,3209928,17496,336730,110940,649309,1213467,1107034,609169,12205,99486,354027,16446,0,0,1301097,455278,1846,171991,19537,99852,88633,31431,151603,86170,1041887,142286,11824,22642,274419,224480,1994
