data_year,state_id,state_abbr,total_population
2022,1,AK,738329
2021,1,AK,737794
2020,1,AK,736282
2019,1,AK,736704
2018,1,AK,742552
2017,1,AK,744849
2016,1,AK,747188
2015,1,AK,743350
2014,1,AK,740644
2013,1,AK,739005
2012,1,AK,735190
2011,1,AK,725910
2010,1,AK,711456
2009,1,AK,698901
2008,1,AK,686732
2007,1,AK,683918
2006,1,AK,670527
2005,1,AK,664150
2004,1,AK,655932
2003,1,AK,648921
2002,1,AK,643893
2001,1,AK,634892
2000,1,AK,626932
1999,1,AK,619000
1998,1,AK,614000
1997,1,AK,609000
1996,1,AK,607000
1995,1,AK,604000
1994,1,AK,606000
1993,1,AK,599000
1992,1,AK,587000
1991,1,AK,570000
1990,1,AK,550043
1989,1,AK,527000
1988,1,AK,513000
1987,1,AK,525000
1986,1,AK,534000
1985,1,AK,579424
1984,1,AK,557682
1983,1,AK,525359
1982,1,AK,480391
1981,1,AK,451875
1980,1,AK,438869
1979,1,AK,445294
1978,1,AK,442004
1977,1,AK,446004
1976,1,AK,382000
1975,1,AK,352000
1974,1,AK,337000
1973,1,AK,330000
1972,1,AK,325000
1971,1,AK,313000
1970,1,AK,302173
1969,1,AK,282000
1968,1,AK,277000
1967,1,AK,272000
1966,1,AK,263131
1965,1,AK,253000
1964,1,AK,250000
1963,1,AK,248000
1961,1,AK,226167
1960,1,AK,226167
