data_year,state_id,state_abbr,total_population
2022,2,AL,5088690
2021,2,AL,5055712
2020,2,AL,4940622
2019,2,AL,4922404
2018,2,AL,4906885
2017,2,AL,4894285
2016,2,AL,4885591
2015,2,AL,4883134
2014,2,AL,4861676
2013,2,AL,4845981
2012,2,AL,4834334
2011,2,AL,4815348
2010,2,AL,4792630
2009,2,AL,4732747
2008,2,AL,4684189
2007,2,AL,4646319
2006,2,AL,4616525
2005,2,AL,4575157
2004,2,AL,4550680
2003,2,AL,4531274
2002,2,AL,4516995
2001,2,AL,4502059
2000,2,AL,4488050
1999,2,AL,4416008
1998,2,AL,4397943
1997,2,AL,4388086
1996,2,AL,4341388
1995,2,AL,4319212
1994,2,AL,4293105
1993,2,AL,4260591
1992,2,AL,4209409
1991,2,AL,4161618
1990,2,AL,4114708
1989,2,AL,4194689
1988,2,AL,4199336
1987,2,AL,4149862
1986,2,AL,4120193
1985,2,AL,4086156
1984,2,AL,4047951
1983,2,AL,4018684
1982,2,AL,4007808
1981,2,AL,3947449
1980,2,AL,3881325
1979,2,AL,3770191
1978,2,AL,3743158
1977,2,AL,3691158
1976,2,AL,3665000
1975,2,AL,3667918
1974,2,AL,3643905
1973,2,AL,3634737
1972,2,AL,3613207
1971,2,AL,3581147
1970,2,AL,3543767
1969,2,AL,3642285
1968,2,AL,3670070
1967,2,AL,3623460
1966,2,AL,3608224
1965,2,AL,3582883
1964,2,AL,3461181
1963,2,AL,3432484
1962,2,AL,3418635
1961,2,AL,3324840
1960,2,AL,3324840
