data_year,state_id,state_abbr,total_population
2022,3,AR,3071960
2021,3,AR,3050003
2020,3,AR,3055549
2019,3,AR,3037105
2018,3,AR,3031153
2017,3,AR,3021597
2016,3,AR,3005677
2015,3,AR,2997267
2014,3,AR,2996166
2013,3,AR,2984729
2012,3,AR,2981157
2011,3,AR,2963414
2010,3,AR,2941161
2009,3,AR,2914733
2008,3,AR,2881714
2007,3,AR,2862582
2006,3,AR,2850710
2005,3,AR,2808844
2004,3,AR,2781633
2003,3,AR,2773659
2002,3,AR,2766823
2001,3,AR,2752264
2000,3,AR,2737887
1999,3,AR,2608974
1998,3,AR,2599923
1997,3,AR,2584697
1996,3,AR,2569763
1995,3,AR,2540304
1994,3,AR,2510009
1993,3,AR,2482991
1992,3,AR,2460041
1991,3,AR,2432370
1990,3,AR,2407377
1989,3,AR,2465686
1988,3,AR,2476263
1987,3,AR,2439566
1986,3,AR,2418887
1985,3,AR,2402908
1984,3,AR,2379533
1983,3,AR,2357259
1982,3,AR,2309406
1981,3,AR,2309660
1980,3,AR,2284037
1979,3,AR,2180000
1978,3,AR,2186000
1977,3,AR,2144777
1976,3,AR,2112736
1975,3,AR,2119736
1974,3,AR,2065221
1973,3,AR,2057887
1972,3,AR,2017765
1971,3,AR,1982508
1970,3,AR,1960132
1969,3,AR,2033649
1968,3,AR,2050883
1967,3,AR,2001184
1966,3,AR,2001198
1965,3,AR,1940620
1964,3,AR,1978395
1963,3,AR,1901985
1962,3,AR,1864019
1961,3,AR,1824258
1960,3,AR,1810544
