data_year,state_id,state_abbr,total_population
2022,5,AZ,7366395
2021,5,AZ,7284112
2020,5,AZ,7428216
2019,5,AZ,7299940
2018,5,AZ,7192613
2017,5,AZ,7037119
2016,5,AZ,6951468
2015,5,AZ,6848298
2014,5,AZ,6751280
2013,5,AZ,6646289
2012,5,AZ,6572455
2011,5,AZ,6501532
2010,5,AZ,6404623
2009,5,AZ,6609085
2008,5,AZ,6513235
2007,5,AZ,6351417
2006,5,AZ,6179065
2005,5,AZ,5961525
2004,5,AZ,5765872
2003,5,AZ,5602641
2002,5,AZ,5468832
2001,5,AZ,5323460
2000,5,AZ,5142271
1999,5,AZ,4790537
1998,5,AZ,4689134
1997,5,AZ,4575422
1996,5,AZ,4447854
1995,5,AZ,4236915
1994,5,AZ,4090962
1993,5,AZ,3951420
1992,5,AZ,3847312
1991,5,AZ,3764985
1990,5,AZ,3679876
1989,5,AZ,3565734
1988,5,AZ,3475852
1987,5,AZ,3395685
1986,5,AZ,3326187
1985,5,AZ,3195861
1984,5,AZ,3061489
1983,5,AZ,2975728
1982,5,AZ,2872286
1981,5,AZ,2804998
1980,5,AZ,2725962
1979,5,AZ,2458127
1978,5,AZ,2361705
1977,5,AZ,2303705
1976,5,AZ,2283597
1975,5,AZ,2237597
1974,5,AZ,2167891
1973,5,AZ,2075141
1972,5,AZ,1959532
1971,5,AZ,1862947
1970,5,AZ,1785535
1969,5,AZ,1707880
1968,5,AZ,1684883
1967,5,AZ,1648432
1966,5,AZ,1682457
1965,5,AZ,1643624
1964,5,AZ,1595225
1963,5,AZ,1573945
1962,5,AZ,1514938
1961,5,AZ,1306352
1960,5,AZ,1306352
