data_year,state_id,state_abbr,total_population
2022,6,CA,39206225
2021,6,CA,39419746
2020,6,CA,39549090
2019,6,CA,39691571
2018,6,CA,39735951
2017,6,CA,39713887
2016,6,CA,39421283
2015,6,CA,39315550
2014,6,CA,38970399
2013,6,CA,38498377
2012,6,CA,38183375
2011,6,CA,37819249
2010,6,CA,37346022
2009,6,CA,37061435
2008,6,CA,36876276
2007,6,CA,36672767
2006,6,CA,36572532
2005,6,CA,36243236
2004,6,CA,36003471
2003,6,CA,35592667
2002,6,CA,35222901
2001,6,CA,34608064
2000,6,CA,33974269
1999,6,CA,33243480
1998,6,CA,32763349
1997,6,CA,32362913
1996,6,CA,32131922
1995,6,CA,31854695
1994,6,CA,31674969
1993,6,CA,31453274
1992,6,CA,31102927
1991,6,CA,30612217
1990,6,CA,30047608
1989,6,CA,29323401
1988,6,CA,28413241
1987,6,CA,27885070
1986,6,CA,27193441
1985,6,CA,26566282
1984,6,CA,25824263
1983,6,CA,25457775
1982,6,CA,24902595
1981,6,CA,24273613
1980,6,CA,23644324
1979,6,CA,22802669
1978,6,CA,22380357
1977,6,CA,22011627
1976,6,CA,21717727
1975,6,CA,21459670
1974,6,CA,21158834
1973,6,CA,20842166
1972,6,CA,20732725
1971,6,CA,20461218
1970,6,CA,20895538
1969,6,CA,20391297
1968,6,CA,20157325
1967,6,CA,19776944
1966,6,CA,19761236
1965,6,CA,19305039
1964,6,CA,18595539
1963,6,CA,18110168
1962,6,CA,17447000
1961,6,CA,16170757
1960,6,CA,16190816
