data_year,state_id,state_abbr,total_population
2022,7,CO,5904159
2021,7,CO,5872981
2020,7,CO,5867786
2019,7,CO,5818723
2018,7,CO,5754756
2017,7,CO,5662274
2016,7,CO,5590124
2015,7,CO,5505856
2014,7,CO,5402555
2013,7,CO,5308236
2012,7,CO,5227884
2011,7,CO,5155993
2010,7,CO,5067746
2009,7,CO,5062934
2008,7,CO,4978873
2007,7,CO,4900222
2006,7,CO,4790446
2005,7,CO,4702789
2004,7,CO,4638693
2003,7,CO,4584627
2002,7,CO,4539943
2001,7,CO,4449380
2000,7,CO,4333212
1999,7,CO,4081250
1998,7,CO,3995806
1997,7,CO,3930817
1996,7,CO,3859457
1995,7,CO,3778017
1994,7,CO,3686505
1993,7,CO,3597405
1992,7,CO,3502092
1991,7,CO,3408245
1990,7,CO,3328664
1989,7,CO,3353058
1988,7,CO,3320311
1987,7,CO,3328320
1986,7,CO,3299695
1985,7,CO,3254888
1984,7,CO,3198225
1983,7,CO,3160502
1982,7,CO,3063569
1981,7,CO,2981143
1980,7,CO,2896033
1979,7,CO,2788170
1978,7,CO,2688170
1977,7,CO,2636753
1976,7,CO,2602973
1975,7,CO,2558434
1974,7,CO,2526738
1973,7,CO,2467587
1972,7,CO,2379398
1971,7,CO,2305187
1970,7,CO,2246563
1969,7,CO,2160491
1968,7,CO,2107541
1967,7,CO,2037441
1966,7,CO,2042031
1965,7,CO,2031589
1964,7,CO,2003460
1963,7,CO,1995959
1962,7,CO,1934622
1961,7,CO,1774226
1960,7,CO,1774226
