data_year,state_id,state_abbr,total_population
2022,8,CT,3682043
2021,8,CT,3662022
2020,8,CT,3613442
2019,8,CT,3622038
2018,8,CT,3630004
2017,8,CT,3645220
2016,8,CT,3653221
2015,8,CT,3682921
2014,8,CT,3688552
2013,8,CT,3687931
2012,8,CT,3682267
2011,8,CT,3672721
2010,8,CT,3665941
2009,8,CT,3609641
2008,8,CT,3592331
2007,8,CT,3584852
2006,8,CT,3587033
2005,8,CT,3593240
2004,8,CT,3586296
2003,8,CT,3565135
2002,8,CT,3541286
2001,8,CT,3505041
2000,8,CT,3485100
1999,8,CT,3357532
1998,8,CT,3350286
1997,8,CT,3343253
1996,8,CT,3355827
1995,8,CT,3356858
1994,8,CT,3356789
1993,8,CT,3355486
1992,8,CT,3360593
1991,8,CT,3370840
1990,8,CT,3366867
1989,8,CT,3324648
1988,8,CT,3326040
1987,8,CT,3285408
1986,8,CT,3257504
1985,8,CT,3242075
1984,8,CT,3221649
1983,8,CT,3205164
1982,8,CT,3230948
1981,8,CT,3209430
1980,8,CT,3171744
1979,8,CT,3196285
1978,8,CT,3174430
1977,8,CT,3183430
1976,8,CT,3232032
1975,8,CT,3215664
1974,8,CT,3209957
1973,8,CT,3212115
1972,8,CT,3215454
1971,8,CT,3215454
1970,8,CT,3161040
1969,8,CT,3121100
1968,8,CT,3077500
1967,8,CT,3040500
1966,8,CT,2968700
1965,8,CT,2916000
1964,8,CT,2848504
1963,8,CT,2744140
1962,8,CT,2670948
1961,8,CT,2541084
1960,8,CT,2557022
