data_year,state_id,state_abbr,total_population
2022,10,DC,671803
2021,10,DC,670050
2020,10,DC,712816
2019,10,DC,705749
2018,10,DC,702455
2017,10,DC,693972
2016,10,DC,681170
2015,10,DC,672228
2014,10,DC,658893
2013,10,DC,646449
2012,10,DC,632323
2011,10,DC,617996
2010,10,DC,601723
2009,10,DC,599657
2008,10,DC,591833
2007,10,DC,588292
2006,10,DC,581530
2005,10,DC,550521
2004,10,DC,553523
2003,10,DC,563384
2002,10,DC,570898
2001,10,DC,571822
2000,10,DC,572059
1999,10,DC,519000
1998,10,DC,523000
1997,10,DC,529000
1996,10,DC,543000
1995,10,DC,554000
1994,10,DC,570000
1993,10,DC,578000
1992,10,DC,589000
1991,10,DC,598000
1990,10,DC,606900
1989,10,DC,604000
1988,10,DC,620000
1987,10,DC,622000
1986,10,DC,626000
1985,10,DC,626000
1984,10,DC,623000
1983,10,DC,623000
1982,10,DC,631000
1981,10,DC,636000
1980,10,DC,635233
1979,10,DC,656000
1978,10,DC,674000
1977,10,DC,690000
1976,10,DC,702000
1975,10,DC,716000
1974,10,DC,723000
1973,10,DC,746000
1972,10,DC,748000
1971,10,DC,741000
1970,10,DC,756510
1969,10,DC,798000
1968,10,DC,809000
1967,10,DC,809000
1966,10,DC,808000
1965,10,DC,803000
1964,10,DC,808000
1963,10,DC,798000
1962,10,DC,784000
1961,10,DC,763956
1960,10,DC,763956
