data_year,state_id,state_abbr,total_population
2022,11,DE,1034511
2021,11,DE,1019453
2020,11,DE,1002682
2019,11,DE,990883
2018,11,DE,984141
2017,11,DE,978771
2016,11,DE,968738
2015,11,DE,962461
2014,11,DE,951985
2013,11,DE,941932
2012,11,DE,933909
2011,11,DE,923759
2010,11,DE,914390
2009,11,DE,904124
2008,11,DE,892606
2007,11,DE,884060
2006,11,DE,881748
2005,11,DE,870075
2004,11,DE,854779
2003,11,DE,841448
2002,11,DE,832091
2001,11,DE,818643
2000,11,DE,806621
1999,11,DE,774931
1998,11,DE,764381
1997,11,DE,751970
1996,11,DE,744781
1995,11,DE,736565
1994,11,DE,725292
1993,11,DE,719130
1992,11,DE,707864
1991,11,DE,699396
1990,11,DE,685172
1989,11,DE,692488
1988,11,DE,679081
1987,11,DE,662642
1986,11,DE,651392
1985,11,DE,639650
1984,11,DE,614795
1983,11,DE,607678
1982,11,DE,603669
1981,11,DE,598000
1980,11,DE,594779
1979,11,DE,582000
1978,11,DE,583354
1977,11,DE,582510
1976,11,DE,582510
1975,11,DE,580744
1974,11,DE,573889
1973,11,DE,576000
1972,11,DE,565000
1971,11,DE,558000
1970,11,DE,556519
1969,11,DE,548078
1968,11,DE,541987
1967,11,DE,532973
1966,11,DE,520955
1965,11,DE,513885
1964,11,DE,499265
1963,11,DE,484459
1962,11,DE,476802
1961,11,DE,453611
1960,11,DE,453611
