data_year,state_id,state_abbr,total_population
2022,12,FL,22383331
2021,12,FL,21924490
2020,12,FL,21877225
2019,12,FL,21621980
2018,12,FL,21441679
2017,12,FL,21124801
2016,12,FL,20750677
2015,12,FL,20388277
2014,12,FL,20007473
2013,12,FL,19672665
2012,12,FL,19434305
2011,12,FL,19173658
2010,12,FL,18910325
2009,12,FL,18646709
2008,12,FL,18427925
2007,12,FL,18341214
2006,12,FL,18186529
2005,12,FL,17883830
2004,12,FL,17489500
2003,12,FL,17102484
2002,12,FL,16790087
2001,12,FL,16465493
2000,12,FL,16049613
1999,12,FL,15178289
1998,12,FL,14966475
1997,12,FL,15007458
1996,12,FL,14746642
1995,12,FL,14214968
1994,12,FL,13987109
1993,12,FL,13718467
1992,12,FL,13525227
1991,12,FL,13313659
1990,12,FL,12973660
1989,12,FL,12706303
1988,12,FL,12412311
1987,12,FL,12051914
1986,12,FL,11703727
1985,12,FL,11393898
1984,12,FL,11004237
1983,12,FL,10806691
1982,12,FL,10542211
1981,12,FL,10242064
1980,12,FL,9633870
1979,12,FL,8924302
1978,12,FL,8658320
1977,12,FL,8502707
1976,12,FL,8453003
1975,12,FL,8369590
1974,12,FL,8111852
1973,12,FL,7696604
1972,12,FL,7270420
1971,12,FL,7052218
1970,12,FL,6892005
1969,12,FL,6499524
1968,12,FL,6301242
1967,12,FL,6112587
1966,12,FL,6263826
1965,12,FL,5931510
1964,12,FL,5807588
1963,12,FL,5751537
1962,12,FL,5533089
1961,12,FL,5020502
1960,12,FL,5021308
