data_year,state_id,state_abbr,total_population
2022,13,GA,11162061
2021,13,GA,11074446
2020,13,GA,10985907
2019,13,GA,10887362
2018,13,GA,10798647
2017,13,GA,10694367
2016,13,GA,10572283
2015,13,GA,10475611
2014,13,GA,10166148
2013,13,GA,10059139
2012,13,GA,9986384
2011,13,GA,9880945
2010,13,GA,9752532
2009,13,GA,9886620
2008,13,GA,9742376
2007,13,GA,9603810
2006,13,GA,9414191
2005,13,GA,9111910
2004,13,GA,8865341
2003,13,GA,8719493
2002,13,GA,8593897
2001,13,GA,8403421
2000,13,GA,8200086
1999,13,GA,7845726
1998,13,GA,7745797
1997,13,GA,7592819
1996,13,GA,7457929
1995,13,GA,7259408
1994,13,GA,7110933
1993,13,GA,6971848
1992,13,GA,6804598
1991,13,GA,6675591
1990,13,GA,6573238
1989,13,GA,6484989
1988,13,GA,6449325
1987,13,GA,6269031
1986,13,GA,6149745
1985,13,GA,6014671
1984,13,GA,5874774
1983,13,GA,5764320
1982,13,GA,5670797
1981,13,GA,5600401
1980,13,GA,5431039
1979,13,GA,5145108
1978,13,GA,5111299
1977,13,GA,5083587
1976,13,GA,5054136
1975,13,GA,5016136
1974,13,GA,4987157
1973,13,GA,4886696
1972,13,GA,4818946
1971,13,GA,4752514
1970,13,GA,4677127
1969,13,GA,4728515
1968,13,GA,4673214
1967,13,GA,4594214
1966,13,GA,4536216
1965,13,GA,4405667
1964,13,GA,4373008
1963,13,GA,4215302
1962,13,GA,4151178
1961,13,GA,3984144
1960,13,GA,3984144
