data_year,state_id,state_abbr,total_population
2022,15,HI,1440196
2021,15,HI,1441553
2020,15,HI,1407006
2019,15,HI,1415872
2018,15,HI,1420491
2017,15,HI,1427538
2016,15,HI,1428557
2015,15,HI,1556738
2014,15,HI,1543705
2013,15,HI,1527273
2012,15,HI,1514307
2011,15,HI,1495625
2010,15,HI,1479842
2009,15,HI,1405431
2008,15,HI,1397856
2007,15,HI,1392635
2006,15,HI,1394924
2005,15,HI,1383742
2004,15,HI,1370337
2003,15,HI,1364659
2002,15,HI,1350867
2001,15,HI,1328623
2000,15,HI,1314665
1999,15,HI,1281793
1998,15,HI,1289793
1997,15,HI,1241657
1996,15,HI,1238524
1995,15,HI,1241665
1994,15,HI,1233301
1993,15,HI,1225983
1992,15,HI,1213250
1991,15,HI,1187105
1990,15,HI,1159108
1989,15,HI,1162879
1988,15,HI,1143879
1987,15,HI,1133879
1986,15,HI,1111930
1985,15,HI,1103930
1984,15,HI,1088227
1983,15,HI,1072227
1982,15,HI,1041835
1981,15,HI,1026095
1980,15,HI,1011103
1979,15,HI,946842
1978,15,HI,928842
1977,15,HI,926842
1976,15,HI,918842
1975,15,HI,896842
1974,15,HI,881824
1973,15,HI,865974
1972,15,HI,840737
1971,15,HI,791801
1970,15,HI,772576
1969,15,HI,800387
1968,15,HI,784085
1967,15,HI,744571
1966,15,HI,719083
1965,15,HI,707238
1964,15,HI,706652
1963,15,HI,699619
1961,15,HI,636977
1960,15,HI,636977
