data_year,state_id,state_abbr,total_population
2022,16,IA,3241839
2021,16,IA,3233868
2020,16,IA,3201745
2019,16,IA,3189026
2018,16,IA,3189115
2017,16,IA,3179051
2016,16,IA,3165023
2015,16,IA,3153349
2014,16,IA,3131021
2013,16,IA,3114347
2012,16,IA,3098112
2011,16,IA,3088691
2010,16,IA,3072601
2009,16,IA,3033600
2008,16,IA,3028304
2007,16,IA,3015918
2006,16,IA,3009709
2005,16,IA,2993509
2004,16,IA,2981527
2003,16,IA,2973146
2002,16,IA,2963614
2001,16,IA,2944852
2000,16,IA,2950043
1999,16,IA,2890876
1998,16,IA,2874801
1997,16,IA,2865360
1996,16,IA,2865360
1995,16,IA,2855316
1994,16,IA,2841718
1993,16,IA,2826653
1992,16,IA,2824694
1991,16,IA,2807619
1990,16,IA,2789295
1989,16,IA,2851865
1988,16,IA,2845958
1987,16,IA,2846018
1986,16,IA,2863256
1985,16,IA,2896470
1984,16,IA,2922583
1983,16,IA,2917664
1982,16,IA,2917664
1981,16,IA,2905854
1980,16,IA,2916690
1979,16,IA,2911703
1978,16,IA,2902611
1977,16,IA,2885611
1976,16,IA,2876611
1975,16,IA,2872381
1974,16,IA,2867843
1973,16,IA,2916959
1972,16,IA,2895776
1971,16,IA,2864773
1970,16,IA,2837692
1969,16,IA,2794921
1968,16,IA,2761565
1967,16,IA,2766257
1966,16,IA,2781707
1965,16,IA,2787395
1964,16,IA,2768105
1963,16,IA,2792207
1962,16,IA,2785762
1961,16,IA,2766036
1960,16,IA,2766036
