data_year,state_id,state_abbr,total_population
2022,17,ID,2024650
2021,17,ID,1977567
2020,17,ID,1898763
2019,17,ID,1856399
2018,17,ID,1819181
2017,17,ID,1779810
2016,17,ID,1741411
2015,17,ID,1712771
2014,17,ID,1691496
2013,17,ID,1668485
2012,17,ID,1651515
2011,17,ID,1640433
2010,17,ID,1622423
2009,17,ID,1599174
2008,17,ID,1575635
2007,17,ID,1549218
2006,17,ID,1514779
2005,17,ID,1474282
2004,17,ID,1437770
2003,17,ID,1407177
2002,17,ID,1378653
2001,17,ID,1358864
2000,17,ID,1326951
1999,17,ID,1289082
1998,17,ID,1264195
1997,17,ID,1245332
1996,17,ID,1223729
1995,17,ID,1196047
1994,17,ID,1164612
1993,17,ID,1129671
1992,17,ID,1100327
1991,17,ID,1071462
1990,17,ID,1040226
1989,17,ID,1048197
1988,17,ID,1031963
1987,17,ID,1028254
1986,17,ID,1036521
1985,17,ID,1028987
1984,17,ID,1024888
1983,17,ID,1011239
1982,17,ID,987754
1981,17,ID,980821
1980,17,ID,960309
1979,17,ID,924370
1978,17,ID,898164
1977,17,ID,877500
1976,17,ID,851500
1975,17,ID,837108
1974,17,ID,811671
1973,17,ID,787509
1972,17,ID,768888
1971,17,ID,736293
1970,17,ID,717224
1969,17,ID,722518
1968,17,ID,709518
1967,17,ID,703182
1966,17,ID,716272
1965,17,ID,696173
1964,17,ID,696173
1963,17,ID,717188
1962,17,ID,700318
1961,17,ID,658805
1960,17,ID,658805
