data_year,state_id,state_abbr,total_population
2022,18,IL,12667260
2021,18,IL,12746501
2020,18,IL,12658321
2019,18,IL,12743596
2018,18,IL,12810671
2017,18,IL,12871768
2016,18,IL,12857720
2015,18,IL,12920809
2014,18,IL,12938060
2013,18,IL,12940590
2012,18,IL,12934012
2011,18,IL,12923112
2010,18,IL,12888247
2009,18,IL,12965589
2008,18,IL,12973710
2007,18,IL,12923835
2006,18,IL,12903652
2005,18,IL,12826171
2004,18,IL,12779604
2003,18,IL,12719599
2002,18,IL,12671130
2001,18,IL,12558378
2000,18,IL,12499777
1999,18,IL,12246219
1998,18,IL,12163478
1997,18,IL,12016058
1996,18,IL,11966611
1995,18,IL,11949487
1994,18,IL,11868943
1993,18,IL,11803051
1992,18,IL,11736479
1991,18,IL,11649720
1990,18,IL,11549939
1989,18,IL,11781259
1988,18,IL,11667531
1987,18,IL,11686765
1986,18,IL,11659357
1985,18,IL,11667537
1984,18,IL,11612480
1983,18,IL,11588790
1982,18,IL,11553548
1981,18,IL,11494936
1980,18,IL,11392481
1979,18,IL,11264721
1978,18,IL,11281489
1977,18,IL,11286565
1976,18,IL,11274849
1975,18,IL,11196047
1974,18,IL,11193676
1973,18,IL,11295022
1972,18,IL,11325367
1971,18,IL,11216864
1970,18,IL,11189081
1969,18,IL,11131362
1968,18,IL,11051444
1967,18,IL,10953157
1966,18,IL,10779327
1965,18,IL,10638859
1964,18,IL,10541401
1963,18,IL,10206746
1962,18,IL,10170866
1961,18,IL,10105315
1960,18,IL,10125616
