data_year,state_id,state_abbr,total_population
2022,19,IN,6841585
2021,19,IN,6814268
2020,19,IN,6763283
2019,19,IN,6740561
2018,19,IN,6702735
2017,19,IN,6677713
2016,19,IN,6644024
2015,19,IN,6630731
2014,19,IN,6607982
2013,19,IN,6582010
2012,19,IN,6548541
2011,19,IN,6528075
2010,19,IN,6494899
2009,19,IN,6434990
2008,19,IN,6388695
2007,19,IN,6357333
2006,19,IN,6325730
2005,19,IN,6284182
2004,19,IN,6256746
2003,19,IN,6214751
2002,19,IN,6174803
2001,19,IN,6130368
2000,19,IN,6096020
1999,19,IN,5957410
1998,19,IN,5913427
1997,19,IN,5878552
1996,19,IN,5855497
1995,19,IN,5817404
1994,19,IN,5765827
1993,19,IN,5726735
1992,19,IN,5675479
1991,19,IN,5623357
1990,19,IN,5557361
1989,19,IN,5607665
1988,19,IN,5589356
1987,19,IN,5545171
1986,19,IN,5517626
1985,19,IN,5512510
1984,19,IN,5511510
1983,19,IN,5492393
1982,19,IN,5484374
1981,19,IN,5479361
1980,19,IN,5474534
1979,19,IN,5413499
1978,19,IN,5386789
1977,19,IN,5342789
1976,19,IN,5314810
1975,19,IN,5323810
1974,19,IN,5342706
1973,19,IN,5328601
1972,19,IN,5305985
1971,19,IN,5291410
1970,19,IN,5219700
1969,19,IN,5128416
1968,19,IN,5077215
1967,19,IN,5009146
1966,19,IN,4927252
1965,19,IN,4851257
1964,19,IN,4834259
1963,19,IN,4700179
1962,19,IN,4718227
1961,19,IN,4665785
1960,19,IN,4665785
