data_year,state_id,state_abbr,total_population
2022,20,KS,3035700
2021,20,KS,3034446
2020,20,KS,3005854
2019,20,KS,3007917
2018,20,KS,3005652
2017,20,KS,3006891
2016,20,KS,3002385
2015,20,KS,3006918
2014,20,KS,2998407
2013,20,KS,2982300
2012,20,KS,2971399
2011,20,KS,2955412
2010,20,KS,2937014
2009,20,KS,2900426
2008,20,KS,2883377
2007,20,KS,2856095
2006,20,KS,2842603
2005,20,KS,2819342
2004,20,KS,2808073
2003,20,KS,2794304
2002,20,KS,2786107
2001,20,KS,2717796
2000,20,KS,2761829
1999,20,KS,2654899
1998,20,KS,2629938
1997,20,KS,2596039
1996,20,KS,2573031
1995,20,KS,2566030
1994,20,KS,2555019
1993,20,KS,2532011
1992,20,KS,2524061
1991,20,KS,2496051
1990,20,KS,2479255
1989,20,KS,2514672
1988,20,KS,2490770
1987,20,KS,2489404
1986,20,KS,2476142
1985,20,KS,2487754
1984,20,KS,2469215
1983,20,KS,2457371
1982,20,KS,2442269
1981,20,KS,2410957
1980,20,KS,2388998
1979,20,KS,2370328
1978,20,KS,2349415
1977,20,KS,2327396
1976,20,KS,2311214
1975,20,KS,2268214
1974,20,KS,2287937
1973,20,KS,2296660
1972,20,KS,2278171
1971,20,KS,2275350
1970,20,KS,2265966
1969,20,KS,2334377
1968,20,KS,2324380
1967,20,KS,2291707
1966,20,KS,2255467
1965,20,KS,2241683
1964,20,KS,2241894
1963,20,KS,2241371
1962,20,KS,2229579
1961,20,KS,2189131
1960,20,KS,2189131
