data_year,state_id,state_abbr,total_population
2022,21,KY,4558755
2021,21,KY,4555929
2020,21,KY,4523678
2019,21,KY,4514743
2018,21,KY,4515472
2017,21,KY,4494059
2016,21,KY,4478739
2015,21,KY,4463784
2014,21,KY,4450843
2013,21,KY,4430595
2012,21,KY,4413259
2011,21,KY,4407173
2010,21,KY,4376436
2009,21,KY,4350981
2008,21,KY,4301078
2007,21,KY,4269523
2006,21,KY,4232421
2005,21,KY,4198940
2004,21,KY,4174200
2003,21,KY,4145297
2002,21,KY,4118154
2001,21,KY,4101396
2000,21,KY,4066838
1999,21,KY,3971951
1998,21,KY,3945918
1997,21,KY,3919004
1996,21,KY,3894939
1995,21,KY,3870874
1994,21,KY,3835056
1993,21,KY,3796549
1992,21,KY,3773313
1991,21,KY,3731114
1990,21,KY,3704741
1989,21,KY,3746539
1988,21,KY,3740136
1987,21,KY,3745872
1986,21,KY,3740656
1985,21,KY,3740524
1984,21,KY,3754759
1983,21,KY,3725773
1982,21,KY,3678626
1981,21,KY,3673284
1980,21,KY,3653024
1979,21,KY,3537205
1978,21,KY,3506432
1977,21,KY,3466432
1976,21,KY,3434464
1975,21,KY,3401092
1974,21,KY,3362172
1973,21,KY,3347082
1972,21,KY,3304149
1971,21,KY,3282000
1970,21,KY,3219311
1969,21,KY,3232000
1968,21,KY,3229000
1967,21,KY,3189000
1966,21,KY,3147195
1965,21,KY,3103039
1964,21,KY,3159131
1963,21,KY,3094883
1962,21,KY,3082135
1961,21,KY,3038156
1960,21,KY,3042326
