data_year,state_id,state_abbr,total_population
2022,22,LA,4646161
2021,22,LA,4685733
2020,22,LA,4707331
2019,22,LA,4711000
2018,22,LA,4719808
2017,22,LA,4819273
2016,22,LA,4817513
2015,22,LA,4806495
2014,22,LA,4733799
2013,22,LA,4697384
2012,22,LA,4674734
2011,22,LA,4648451
2010,22,LA,4607610
2009,22,LA,4574351
2008,22,LA,4492956
2007,22,LA,4375963
2006,22,LA,4364276
2005,22,LA,4613033
2004,22,LA,4561336
2003,22,LA,4542081
2002,22,LA,4529119
2001,22,LA,4518855
2000,22,LA,4522112
1999,22,LA,4422198
1998,22,LA,4385359
1997,22,LA,4370705
1996,22,LA,4369704
1995,22,LA,4360669
1994,22,LA,4339929
1993,22,LA,4319452
1992,22,LA,4311357
1991,22,LA,4276163
1990,22,LA,4243959
1989,22,LA,4408399
1988,22,LA,4446242
1987,22,LA,4487402
1986,22,LA,4527564
1985,22,LA,4499550
1984,22,LA,4480197
1983,22,LA,4456297
1982,22,LA,4379987
1981,22,LA,4322753
1980,22,LA,4214030
1979,22,LA,4039736
1978,22,LA,3978191
1977,22,LA,3933348
1976,22,LA,3853348
1975,22,LA,3983885
1974,22,LA,3997696
1973,22,LA,4012149
1972,22,LA,3967309
1971,22,LA,3927464
1970,22,LA,3882239
1969,22,LA,3992206
1968,22,LA,3972456
1967,22,LA,3914752
1966,22,LA,3837238
1965,22,LA,3792822
1964,22,LA,3683184
1963,22,LA,3615386
1962,22,LA,3480589
1961,22,LA,3394657
1960,22,LA,3394657
