data_year,state_id,state_abbr,total_population
2022,23,MA,6990326
2021,23,MA,6994071
2020,23,MA,6902954
2019,23,MA,6903724
2018,23,MA,6913325
2017,23,MA,6872032
2016,23,MA,6824031
2015,23,MA,6805699
2014,23,MA,6756717
2013,23,MA,6704173
2012,23,MA,6657600
2011,23,MA,6598979
2010,23,MA,6559003
2009,23,MA,6604959
2008,23,MA,6509197
2007,23,MA,6461073
2006,23,MA,6449866
2005,23,MA,6413161
2004,23,MA,6430871
2003,23,MA,6447698
2002,23,MA,6442064
2001,23,MA,6395204
2000,23,MA,6365273
1999,23,MA,6190355
1998,23,MA,6164413
1997,23,MA,6145292
1996,23,MA,6119184
1995,23,MA,6100843
1994,23,MA,6072045
1993,23,MA,6042905
1992,23,MA,6028332
1991,23,MA,6026328
1990,23,MA,6046866
1989,23,MA,5943089
1988,23,MA,5900227
1987,23,MA,5884226
1986,23,MA,5860271
1985,23,MA,5849832
1984,23,MA,5814655
1983,23,MA,5783341
1982,23,MA,5786183
1981,23,MA,5774998
1980,23,MA,5733250
1979,23,MA,5780498
1978,23,MA,5785320
1977,23,MA,5789000
1976,23,MA,5830444
1975,23,MA,5849444
1974,23,MA,5821531
1973,23,MA,5839586
1972,23,MA,5808423
1971,23,MA,5779426
1970,23,MA,5710123
1969,23,MA,5487846
1968,23,MA,5457576
1967,23,MA,5440839
1966,23,MA,5403194
1965,23,MA,5367405
1964,23,MA,5360565
1963,23,MA,5240551
1962,23,MA,5179161
1961,23,MA,5166360
1960,23,MA,5166360
