data_year,state_id,state_abbr,total_population
2022,24,MD,6366769
2021,24,MD,6366504
2020,24,MD,6255845
2019,24,MD,6246442
2018,24,MD,6243451
2017,24,MD,6249375
2016,24,MD,6213545
2015,24,MD,6202009
2014,24,MD,6167060
2013,24,MD,6114548
2012,24,MD,6067471
2011,24,MD,6006169
2010,24,MD,5949764
2009,24,MD,5870524
2008,24,MD,5800551
2007,24,MD,5788936
2006,24,MD,5782952
2005,24,MD,5769032
2004,24,MD,5726100
2003,24,MD,5672192
2002,24,MD,5615508
2001,24,MD,5530549
2000,24,MD,5449611
1999,24,MD,5329480
1998,24,MD,5285233
1997,24,MD,5240988
1996,24,MD,5213193
1995,24,MD,5182371
1994,24,MD,5140339
1993,24,MD,5096954
1992,24,MD,5044948
1991,24,MD,4994174
1990,24,MD,4915457
1989,24,MD,4826741
1988,24,MD,4775413
1987,24,MD,4614486
1986,24,MD,4540424
1985,24,MD,4482401
1984,24,MD,4438521
1983,24,MD,4385408
1982,24,MD,4343762
1981,24,MD,4336685
1980,24,MD,4266122
1979,24,MD,4232039
1978,24,MD,4225718
1977,24,MD,4195930
1976,24,MD,4200556
1975,24,MD,4131406
1974,24,MD,4204818
1973,24,MD,4179627
1972,24,MD,4163928
1971,24,MD,4104849
1970,24,MD,4025631
1969,24,MD,3866301
1968,24,MD,3855704
1967,24,MD,3780814
1966,24,MD,3733495
1965,24,MD,3608274
1964,24,MD,3519085
1963,24,MD,3370486
1962,24,MD,3267047
1961,24,MD,3172495
1960,24,MD,3172495
