data_year,state_id,state_abbr,total_population
2022,25,ME,1449348
2021,25,ME,1436427
2020,25,ME,1409701
2019,25,ME,1399274
2018,25,ME,1393395
2017,25,ME,1390713
2016,25,ME,1382833
2015,25,ME,1375892
2014,25,ME,1376141
2013,25,ME,1374487
2012,25,ME,1373153
2011,25,ME,1370501
2010,25,ME,1370677
2009,25,ME,1358268
2008,25,ME,1356450
2007,25,ME,1357264
2006,25,ME,1361204
2005,25,ME,1365098
2004,25,ME,1359674
2003,25,ME,1344343
2002,25,ME,1329171
2001,25,ME,1322818
2000,25,ME,1314095
1999,25,ME,1283547
1998,25,ME,1274119
1997,25,ME,1268079
1996,25,ME,1269105
1995,25,ME,1267067
1994,25,ME,1266050
1993,25,ME,1265033
1992,25,ME,1244734
1991,25,ME,1244734
1990,25,ME,1237608
1989,25,ME,1234299
1988,25,ME,1217917
1987,25,ME,1193494
1986,25,ME,1184338
1985,25,ME,1173937
1984,25,ME,1163943
1983,25,ME,1154058
1982,25,ME,1144555
1981,25,ME,1139937
1980,25,ME,1131572
1979,25,ME,1104664
1978,25,ME,1099307
1977,25,ME,1092006
1976,25,ME,1072206
1975,25,ME,1059000
1974,25,ME,1047000
1973,25,ME,1050945
1972,25,ME,1052228
1971,25,ME,1025347
1970,25,ME,1015884
1969,25,ME,1004071
1968,25,ME,1004136
1967,25,ME,991397
1966,25,ME,1024903
1965,25,ME,1023557
1964,25,ME,1011536
1963,25,ME,999185
1962,25,ME,1001733
1961,25,ME,971919
1960,25,ME,971919
