data_year,state_id,state_abbr,total_population
2022,26,MI,10470157
2021,26,MI,10479239
2020,26,MI,10393310
2019,26,MI,10408876
2018,26,MI,10417561
2017,26,MI,10387753
2016,26,MI,10325851
2015,26,MI,10318255
2014,26,MI,10410762
2013,26,MI,10384874
2012,26,MI,10366035
2011,26,MI,10359533
2010,26,MI,10307062
2009,26,MI,10345739
2008,26,MI,10376520
2007,26,MI,10451398
2006,26,MI,10472927
2005,26,MI,10503531
2004,26,MI,10462367
2003,26,MI,10392804
2002,26,MI,10348434
2001,26,MI,10287311
2000,26,MI,10243936
1999,26,MI,10131696
1998,26,MI,10082413
1997,26,MI,10023864
1996,26,MI,9839317
1995,26,MI,9793770
1994,26,MI,9740756
1993,26,MI,9711487
1992,26,MI,9669695
1991,26,MI,9594949
1990,26,MI,9526552
1989,26,MI,9501079
1988,26,MI,9535293
1987,26,MI,9422447
1986,26,MI,9341302
1985,26,MI,9282011
1984,26,MI,9268441
1983,26,MI,9231383
1982,26,MI,9272139
1981,26,MI,9370270
1980,26,MI,9380358
1979,26,MI,9350656
1978,26,MI,9350292
1977,26,MI,9266082
1976,26,MI,9224312
1975,26,MI,9289926
1974,26,MI,9225973
1973,26,MI,9131662
1972,26,MI,9156677
1971,26,MI,8997000
1970,26,MI,8875083
1969,26,MI,8814601
1968,26,MI,8786602
1967,26,MI,8628666
1966,26,MI,8396892
1965,26,MI,8186269
1964,26,MI,8145228
1963,26,MI,8139577
1962,26,MI,8000087
1961,26,MI,7832419
1960,26,MI,7831982
