data_year,state_id,state_abbr,total_population
2022,27,MN,6073518
2021,27,MN,6052891
2020,27,MN,5997061
2019,27,MN,5972409
2018,27,MN,5942285
2017,27,MN,5894269
2016,27,MN,5835395
2015,27,MN,5717579
2014,27,MN,5688135
2013,27,MN,5648628
2012,27,MN,5591233
2011,27,MN,5553912
2010,27,MN,5507486
2009,27,MN,5461876
2008,27,MN,5414468
2007,27,MN,5332183
2006,27,MN,5294340
2005,27,MN,5251641
2004,27,MN,5217233
2003,27,MN,5135884
2002,27,MN,5086860
2001,27,MN,5038797
2000,27,MN,4983365
1999,27,MN,4823751
1998,27,MN,4774354
1997,27,MN,4731674
1996,27,MN,4703408
1995,27,MN,4654947
1994,27,MN,4610322
1993,27,MN,4534740
1992,27,MN,4496409
1991,27,MN,4448238
1990,27,MN,4391132
1989,27,MN,4369480
1988,27,MN,4320534
1987,27,MN,4260244
1986,27,MN,4228232
1985,27,MN,4207040
1984,27,MN,4175935
1983,27,MN,4158158
1982,27,MN,4147125
1981,27,MN,4101608
1980,27,MN,4072762
1979,27,MN,4073921
1978,27,MN,4020237
1977,27,MN,3987237
1976,27,MN,3971033
1975,27,MN,3932033
1974,27,MN,3922805
1973,27,MN,3902593
1972,27,MN,3901524
1971,27,MN,3887124
1970,27,MN,3839690
1969,27,MN,3738256
1968,27,MN,3677859
1967,27,MN,3616375
1966,27,MN,3603742
1965,27,MN,3672699
1964,27,MN,3546560
1963,27,MN,3520659
1962,27,MN,3488592
1961,27,MN,3427591
1960,27,MN,3422563
