data_year,state_id,state_abbr,total_population
2022,28,MO,6274931
2021,28,MO,6272493
2020,28,MO,6250012
2019,28,MO,6223206
2018,28,MO,6211446
2017,28,MO,6200742
2016,28,MO,6171711
2015,28,MO,6136017
2014,28,MO,6112392
2013,28,MO,6092552
2012,28,MO,6064498
2011,28,MO,6053701
2010,28,MO,6031691
2009,28,MO,6031658
2008,28,MO,5950049
2007,28,MO,5918287
2006,28,MO,5878107
2005,28,MO,5833568
2004,28,MO,5784134
2003,28,MO,5732950
2002,28,MO,5684884
2001,28,MO,5701710
2000,28,MO,5666897
1999,28,MO,5543399
1998,28,MO,5526522
1997,28,MO,5491224
1996,28,MO,5440912
1995,28,MO,5405387
1994,28,MO,5358013
1993,28,MO,5308467
1992,28,MO,5266786
1991,28,MO,5225315
1990,28,MO,5183863
1989,28,MO,5228852
1988,28,MO,5210876
1987,28,MO,5174684
1986,28,MO,5136721
1985,28,MO,5101825
1984,28,MO,5080944
1983,28,MO,5042663
1982,28,MO,5034639
1981,28,MO,5009973
1980,28,MO,4979528
1979,28,MO,4942969
1978,28,MO,4938947
1977,28,MO,4879079
1976,28,MO,4873059
1975,28,MO,4858029
1974,28,MO,4864052
1973,28,MO,4836629
1972,28,MO,4831453
1971,28,MO,4828227
1970,28,MO,4765218
1969,28,MO,4750029
1968,28,MO,4719547
1967,28,MO,4684707
1966,28,MO,4618439
1965,28,MO,4578974
1964,28,MO,4488847
1963,28,MO,4406663
1962,28,MO,4421823
1961,28,MO,4375435
1960,28,MO,4385148
