data_year,state_id,state_abbr,total_population
2022,29,MS,2942075
2021,29,MS,2953021
2020,29,MS,2969880
2019,29,MS,2977494
2018,29,MS,2987810
2017,29,MS,2985402
2016,29,MS,2990046
2015,29,MS,2993652
2014,29,MS,2995404
2013,29,MS,2992553
2012,29,MS,2986296
2011,29,MS,2979903
2010,29,MS,2968683
2009,29,MS,2953221
2008,29,MS,2939817
2007,29,MS,2919962
2006,29,MS,2911756
2005,29,MS,2922286
2004,29,MS,2904176
2003,29,MS,2881281
2002,29,MS,2871782
2001,29,MS,2858136
2000,29,MS,2844765
1999,29,MS,2769107
1998,29,MS,2752106
1997,29,MS,2731105
1996,29,MS,2716105
1995,29,MS,2697105
1994,29,MS,2688533
1993,29,MS,2662343
1992,29,MS,2632233
1991,29,MS,2610080
1990,29,MS,2591165
1989,29,MS,2639599
1988,29,MS,2645137
1987,29,MS,2642649
1986,29,MS,2641643
1985,29,MS,2629804
1984,29,MS,2614707
1983,29,MS,2587000
1982,29,MS,2551000
1981,29,MS,2530000
1980,29,MS,2511491
1979,29,MS,2411075
1978,29,MS,2407272
1977,29,MS,2392272
1976,29,MS,2357272
1975,29,MS,2349272
1974,29,MS,2328714
1973,29,MS,2285525
1972,29,MS,2266070
1971,29,MS,2228996
1970,29,MS,2219891
1969,29,MS,2365111
1968,29,MS,2346974
1967,29,MS,2352244
1966,29,MS,2355058
1965,29,MS,2298798
1964,29,MS,2318336
1963,29,MS,2294601
1962,29,MS,2252189
1961,29,MS,2182022
1960,29,MS,2182022
