data_year,state_id,state_abbr,total_population
2022,30,MT,1144837
2021,30,MT,1134131
2020,30,MT,1105634
2019,30,MT,1128358
2018,30,MT,1121837
2017,30,MT,1109109
2016,30,MT,1101927
2015,30,MT,1099717
2014,30,MT,1087522
2013,30,MT,1078577
2012,30,MT,1071788
2011,30,MT,1064639
2010,30,MT,1055270
2009,30,MT,1038840
2008,30,MT,1031083
2007,30,MT,1022745
2006,30,MT,1007609
2005,30,MT,1005339
2004,30,MT,996511
2003,30,MT,987421
2002,30,MT,981132
2001,30,MT,976899
2000,30,MT,979214
1999,30,MT,961317
1998,30,MT,952396
1997,30,MT,952476
1996,30,MT,952476
1995,30,MT,946073
1994,30,MT,931941
1993,30,MT,913444
1992,30,MT,899979
1991,30,MT,882516
1990,30,MT,872769
1989,30,MT,880653
1988,30,MT,889906
1987,30,MT,882767
1986,30,MT,895401
1985,30,MT,916952
1984,30,MT,889032
1983,30,MT,889228
1982,30,MT,870804
1981,30,MT,805348
1980,30,MT,794764
1979,30,MT,798181
1978,30,MT,799191
1977,30,MT,778349
1976,30,MT,764617
1975,30,MT,761305
1974,30,MT,747997
1973,30,MT,729029
1972,30,MT,727234
1971,30,MT,714117
1970,30,MT,700110
1969,30,MT,700635
1968,30,MT,696753
1967,30,MT,704390
1966,30,MT,731644
1965,30,MT,741925
1964,30,MT,712372
1963,30,MT,712374
1962,30,MT,714038
1961,30,MT,679448
1960,30,MT,679448
